产品SKU,产品浏览量,产品加入购物车次数
1891,260,9
1044,107,8
3255,332,11
1057,249,12
262,145,14
355,272,11
1110,312,8
4070,64,14
372,122,15
2167,277,12
2953,106,9
391,141,12
373,199,15
169,98,14
197,97,13
1155,48,11
200,222,13
3514,84,13
68,101,13
124,191,9
339,82,15
1816,121,14
1246,31,8
2022,123,14
2977,112,14
173,168,14
25,120,12
532,301,12
835,153,14
3859,1051,11
329,77,8
1314,160,15
636,342,12
3349,186,10
1932,41,10
439,39,14
3270,97,13
3640,58,8
2506,137,11
175,61,12
210,70,13
3809,233,12
343,90,15
143,113,12
291,285,15
2038,92,11
294,113,12
3832,111,8
2440,288,14
472,421,10
147,156,9
756,160,9
2330,60,9
149,94,11
218,145,15
3171,30,12
351,81,10
3530,44,13
222,94,15
4095,161,8
657,61,8
49,40,14
2537,27,8
1732,75,12
1501,351,7
1733,152,9
1005,99,12
319,100,10
576,102,7
356,257,13
3447,126,13
309,166,11
2165,36,9
168,124,12
1996,173,13
65,78,12
2082,74,12
1209,166,9
1602,66,8
206,209,11
437,79,11
464,90,10
3166,240,9
396,74,8
646,82,8
360,67,7
3928,158,13
242,71,8
209,108,13
3987,126,8
1663,72,11
603,175,12
1671,19,13
1686,251,10
405,569,9
3774,73,10
2083,25,8
90,62,12
1441,155,9
152,72,9
430,58,12
3047,110,12
2056,102,11
4092,28,10
44,23,11
304,46,13
93,124,7
446,42,9
573,102,8
305,50,13
101,279,18
191,135,21
452,244,24
607,159,19
3511,632,14
477,122,13
3051,251,23
3821,117,15
235,234,23
323,249,19
199,276,17
236,249,19
621,345,15
2192,171,15
17,324,17
1826,963,23
549,199,23
587,153,20
3437,690,19
177,156,19
471,181,23
2039,295,17
296,198,21
779,276,19
3965,523,20
1945,166,16
3267,98,19
221,48,17
571,90,15
3947,512,25
4019,65,15
307,101,20
308,125,14
3259,107,20
456,79,23
114,80,16
2076,128,19
61,147,22
3107,153,14
418,145,13
207,126,18
376,150,17
420,199,23
421,78,17
2279,490,21
1326,209,23
468,151,22
379,213,20
140,77,13
3496,355,16
3405,316,19
3901,137,18
3636,502,14
428,166,21
407,133,22
637,528,23
542,173,15
552,141,23
3441,87,19
616,92,22
3817,90,15
736,362,14
582,137,19
631,83,18
189,92,14
633,109,18
512,150,17
575,1470,17
491,128,11
2709,319,11
2393,98,13
459,158,13
833,309,12
1785,92,12
515,94,13
1582,76,13
644,349,14
758,173,19
3114,786,21
3834,221,13
1804,279,12
171,84,14
738,167,18
2517,102,11
289,187,18
470,152,19
3964,390,20
653,62,17
3054,103,18
847,431,11
1476,141,16
256,43,17
594,85,16
1033,389,13
448,113,14
574,248,15
1068,151,19
827,123,11
4000,65,12
1543,1057,18
2154,94,18
310,257,13
2098,76,10
193,162,19
166,223,16
273,174,16
434,128,19
120,143,16
643,77,19
2011,156,14
600,136,10
623,104,11
1240,87,16
567,170,17
488,192,18
400,90,18
3179,248,18
467,68,13
2033,139,13
424,67,10
3994,157,12
403,223,14
1376,341,13
2048,469,10
1942,367,12
429,1256,19
299,224,12
3440,175,15
2090,100,11
367,51,12
253,67,11
629,57,18
656,235,11
316,99,14
257,153,15
450,95,16
1066,313,17
317,656,15
2549,81,16
640,92,15
453,148,10
56,94,13
389,67,14
2385,222,15
1530,361,10
1975,324,15
3970,166,12
2084,176,15
754,285,12
728,52,13
1911,58,17
2182,76,9
13,70,15
2516,122,14
1590,105,10
417,167,12
3450,156,17
362,67,12
3519,175,12
364,141,16
1337,171,11
3864,290,15
2521,160,9
1356,167,13
1360,80,12
345,125,14
248,226,14
37,153,17
652,377,15
1697,104,13
151,101,14
349,96,14
220,153,16
443,109,9
3433,125,16
617,87,16
3446,133,10
562,624,16
711,293,15
726,771,40
2525,92,38
492,415,39
782,212,24
506,175,25
3366,196,32
589,238,22
817,97,26
537,345,29
2131,419,32
2140,132,30
3995,273,25
3109,154,26
528,193,31
3295,527,32
4067,178,31
530,290,31
3906,251,37
2507,665,31
3268,110,31
1710,332,22
385,75,36
846,56,40
3785,58,21
769,121,36
3634,413,25
3356,171,39
558,219,39
541,230,30
3833,103,22
590,184,38
3448,108,34
826,174,24
3449,103,39
521,211,21
522,412,28
539,117,34
378,265,28
174,312,34
212,534,27
38,272,35
219,220,25
3368,137,25
543,86,35
553,54,32
2764,306,29
336,275,35
836,389,34
714,189,32
2434,219,25
496,462,21
3635,113,18
312,410,26
2036,381,33
344,157,21
3178,179,28
563,83,21
604,246,33
620,232,18
1536,380,26
321,227,19
832,218,29
493,721,30
4018,523,20
516,208,24
701,299,30
3439,322,21
497,466,26
3972,134,23
333,95,20
387,214,28
4017,263,25
1111,153,16
564,165,24
645,125,16
3708,216,25
523,80,27
330,200,24
568,193,24
3993,144,19
4020,116,27
2045,643,29
581,373,18
3182,174,23
3262,194,19
655,107,29
482,98,18
595,48,24
632,66,30
610,172,19
514,195,15
322,568,15
486,111,23
1805,288,15
3660,268,26
1823,160,27
340,204,17
613,295,28
614,228,26
1299,310,23
588,92,15
602,330,28
650,219,19
427,118,22
179,201,25
627,88,22
3971,143,27
510,121,22
451,314,18
263,210,15
3915,232,26
276,122,21
2248,166,22
359,198,22
647,242,27
4093,119,15
649,359,18
690,364,18
328,149,26
342,166,18
3674,572,14
3269,96,14
2324,450,16
824,702,14
315,67,25
3049,95,26
352,37,23
2086,26,21
224,66,24
432,225,16
502,153,23
