产品SKU,产品浏览量,产品加入购物车次数
2884,140,10
1951,103,14
619,80,12
1734,224,9
353,146,13
1963,325,12
232,131,15
2703,246,11
1748,84,13
669,171,8
1973,134,14
2388,31,9
598,112,14
309,146,15
1905,96,13
1552,208,10
272,348,9
565,46,10
199,204,13
65,413,10
12,76,8
122,85,10
337,100,10
3426,74,8
2606,71,13
2017,41,10
1234,181,13
172,97,9
23,217,13
131,730,13
556,135,10
77,121,15
399,220,11
1314,129,13
30,60,11
3315,163,10
140,56,12
175,78,15
2517,165,12
211,239,11
426,407,12
2037,96,10
144,745,12
1851,78,15
3224,130,11
249,373,9
472,539,9
570,113,8
473,226,10
90,55,10
1704,52,9
301,59,9
182,184,9
1447,25,13
369,153,10
227,190,10
98,156,9
1732,62,7
231,289,8
2119,126,9
5,251,8
265,103,11
452,208,9
3199,70,11
454,131,13
1532,126,7
1533,149,12
8,186,9
1549,110,11
114,82,9
1129,445,7
1132,562,12
168,136,8
1150,96,8
1782,109,12
2182,48,8
2080,248,9
2516,187,10
3177,127,9
3165,143,11
849,64,7
170,67,7
1811,152,13
74,613,11
1246,39,11
3046,133,13
1298,51,10
808,362,8
3359,93,8
2425,61,7
208,23,7
2069,80,12
3264,232,8
1665,182,13
1934,69,8
1849,78,9
1677,88,11
1852,202,11
214,304,9
180,749,13
91,44,10
3045,149,7
2057,28,13
223,51,8
2520,27,13
1876,26,8
93,181,7
1724,620,12
49,58,12
1885,86,8
1728,41,11
1952,375,8
1955,81,7
1892,65,6
1893,142,8
449,128,7
266,69,9
2937,18,11
162,338,8
1749,337,7
1896,74,8
109,61,10
1530,325,9
269,165,10
112,309,11
2566,206,11
2157,86,7
1767,127,8
1770,72,10
1126,104,10
1556,100,7
1981,28,9
62,122,10
1568,48,9
3163,246,6
1992,330,11
3387,102,7
66,186,9
2512,63,8
17,107,8
1800,88,7
171,110,10
3117,226,10
22,156,11
1924,114,7
2818,607,7
2021,72,8
134,210,8
1929,54,10
3527,773,6
1321,44,8
311,322,11
364,90,11
2072,55,6
139,65,10
210,74,9
2077,343,9
3260,150,8
143,132,11
1858,185,7
1940,274,8
3159,43,11
2919,49,7
252,191,8
1943,70,11
1702,41,8
1867,67,7
181,76,9
299,113,11
149,71,7
2052,31,8
1706,71,8
220,127,7
430,73,7
628,33,6
3049,99,10
3433,90,9
2058,22,7
2059,29,8
305,46,11
95,59,9
256,61,10
2066,99,8
96,65,8
1488,90,10
187,51,7
2389,291,16
2192,96,13
