产品SKU,产品浏览量,产品加入购物车次数
98,96,11
1,111,13
619,65,8
1501,237,12
230,235,11
354,134,12
55,181,15
108,139,13
109,56,13
2749,185,11
2388,119,12
112,141,8
309,121,12
1764,80,12
1126,85,8
1982,85,8
1908,150,8
168,163,8
118,816,11
1911,92,9
3387,69,12
3107,118,13
278,162,13
1593,463,15
358,307,10
2760,66,10
17,139,14
1800,378,13
68,73,10
124,152,9
1218,312,12
2016,225,8
71,165,15
1811,128,15
1234,188,13
419,99,14
1240,106,11
74,463,8
75,116,15
1260,435,15
137,65,10
1839,37,8
2902,113,15
175,101,14
210,123,11
2284,114,13
3269,68,10
3439,203,12
290,144,12
3260,180,14
1934,138,12
2037,74,14
472,555,14
2919,48,14
1868,99,11
151,106,12
3050,107,10
3045,64,12
186,30,15
2520,23,13
1727,81,13
2884,187,12
260,68,13
1734,165,12
353,117,13
232,103,12
1744,40,7
1973,178,7
1762,146,10
1902,155,11
114,93,10
166,208,10
3163,141,12
1142,71,13
1572,91,13
66,64,10
200,256,12
415,197,9
1915,51,9
1916,66,8
15,287,10
2808,127,10
437,141,10
1612,30,13
131,503,11
1246,59,13
556,44,10
25,119,8
76,55,8
1278,61,11
2258,398,10
1319,196,11
1321,117,13
80,131,10
439,34,8
2069,40,9
3048,173,12
246,73,12
2298,172,8
1849,56,7
144,695,8
2038,216,13
346,367,9
347,135,12
295,77,8
406,212,13
1863,369,7
1943,135,9
218,199,7
2090,146,12
431,194,12
1712,22,13
2060,20,8
3261,30,11
49,40,9
2065,106,10
306,84,12
1731,20,9
960,40,8
1492,101,9
1952,213,11
1955,139,7
2916,67,8
1502,48,10
1735,274,10
231,263,10
4,430,9
451,137,10
3259,90,11
265,118,9
452,432,6
1513,46,10
1748,80,8
608,77,8
1083,635,11
611,258,11
1900,183,6
1540,38,6
8,117,11
1549,100,7
1132,390,8
2890,28,11
275,529,6
169,98,7
236,147,8
1190,33,6
3150,67,7
2015,1632,6
1814,101,6
2022,176,6
2023,295,8
1255,204,9
1830,59,7
807,114,8
1297,645,9
422,125,11
2030,69,9
843,101,6
81,33,9
1932,31,7
2072,54,8
140,56,6
2517,162,8
343,126,11
1355,274,10
1672,1168,6
34,345,11
1379,58,9
2074,131,7
366,185,8
249,259,10
1858,227,9
1411,245,8
1697,92,11
148,66,11
1704,69,10
