产品SKU,产品浏览量,产品加入购物车次数
291,423,13
1377,157,15
181,94,9
90,62,10
653,63,16
1946,75,10
3441,109,14
2054,70,15
3526,81,14
444,47,9
629,82,13
185,51,10
1947,34,13
368,39,10
44,43,12
156,42,13
847,343,9
711,263,13
573,160,15
188,47,15
190,111,12
308,96,11
1752,99,12
454,138,12
3995,93,11
4017,213,12
59,193,12
1905,92,13
2393,118,14
2958,187,11
393,86,12
13,99,15
3514,118,14
621,371,10
1182,130,13
1920,117,11
2082,52,8
691,75,10
124,194,8
3364,147,15
1805,159,12
623,166,8
172,159,8
464,140,13
207,140,14
75,44,14
3046,112,14
567,83,11
422,127,13
3931,379,11
175,88,15
210,56,8
3445,207,8
4135,150,8
4158,105,10
560,57,12
2475,106,8
1403,85,8
407,132,14
148,67,12
349,101,15
383,112,13
3443,175,8
221,44,13
3050,85,15
4092,21,14
4134,38,9
409,74,10
316,69,14
97,99,9
4132,74,11
262,154,10
2703,118,11
1748,45,9
453,87,8
576,174,13
1110,630,7
4000,85,13
2154,91,8
3786,40,10
391,162,10
1141,84,8
1991,81,7
3387,82,10
1912,99,9
1152,9,9
1996,108,11
199,274,7
3918,143,8
1913,234,9
643,65,9
1917,70,10
599,67,8
840,27,7
25,152,9
2025,82,9
77,105,10
835,88,7
4080,211,10
421,94,13
2983,92,9
2634,48,12
208,18,8
2072,34,11
468,65,13
2651,177,7
34,174,7
86,147,9
250,271,8
38,150,7
473,215,13
3265,48,8
4083,117,7
2090,100,12
1945,290,9
151,89,9
152,77,7
184,74,12
4054,22,13
255,15,10
4084,15,13
46,30,9
225,298,8
768,555,13
618,131,8
736,448,7
158,40,13
355,148,13
2098,158,20
272,348,19
459,208,22
324,296,24
758,213,23
600,252,13
340,148,24
613,575,25
523,87,15
2638,496,15
3531,683,20
3529,115,19
2733,51,16
403,174,14
405,521,22
3227,582,13
1868,88,20
3262,160,24
628,100,17
4060,55,25
563,104,13
256,53,23
1501,432,22
4,223,22
449,115,23
1066,252,23
1967,152,13
607,148,12
2385,165,20
3893,204,20
309,104,12
456,116,16
193,83,17
2167,234,20
321,232,19
528,123,21
493,150,13
557,162,14
242,88,19
209,105,19
721,186,15
603,240,21
2048,298,14
179,208,12
472,618,20
382,204,14
331,242,23
367,63,13
443,127,21
351,138,17
3268,136,16
3049,77,22
222,103,13
3433,117,18
2520,48,19
304,56,21
482,81,17
502,148,20
1888,129,16
960,52,14
53,170,11
3447,118,13
564,128,21
913,84,11
235,129,12
323,276,16
2182,84,13
236,212,20
3708,120,18
2026,81,18
647,266,13
328,292,21
568,143,16
3349,105,11
3179,184,15
467,91,13
1334,208,20
4057,142,19
1672,553,18
428,192,13
1686,260,11
37,206,21
2324,617,16
756,129,18
1942,233,17
299,340,11
2051,135,13
218,170,12
616,107,21
315,94,19
431,122,11
253,81,12
3446,181,19
2511,26,18
1876,37,21
545,202,19
481,1113,18
510,123,20
1891,176,10
1508,113,16
2704,122,18
1897,107,12
56,105,18
1098,167,11
372,68,12
3915,115,11
61,93,14
118,243,11
