产品SKU,产品浏览量,产品加入购物车次数
1005,134,12
2376,67,8
230,138,10
231,220,13
1961,151,9
233,324,13
265,154,9
1542,94,13
1902,105,9
59,1368,13
1132,490,9
2586,263,15
1160,136,11
13,172,13
1187,102,11
2606,75,10
1609,57,10
1811,130,9
171,128,14
22,289,8
2021,45,13
172,122,15
240,165,14
2022,126,13
935,54,10
287,104,15
2025,117,8
1298,221,14
2423,158,9
79,55,14
2517,118,12
2507,280,12
31,231,14
177,154,11
2293,58,15
2070,112,13
292,189,8
406,119,12
180,510,15
1867,77,8
3171,42,14
1945,158,8
444,77,10
43,30,15
155,48,15
2520,35,15
1447,33,12
158,51,13
1724,227,12
1886,69,10
97,85,10
1492,35,10
619,195,7
266,58,11
106,245,11
1070,135,7
1755,68,8
2388,95,9
269,210,9
1767,51,11
1904,717,12
1552,159,13
1981,112,8
168,198,11
1142,101,10
1782,142,9
2914,119,12
1808,63,11
1812,97,9
1234,157,13
239,404,7
130,571,13
517,14,13
73,132,12
132,50,7
2023,128,13
133,86,8
975,37,13
81,71,12
378,180,9
210,141,7
469,195,12
1845,104,8
1934,67,7
34,303,12
295,113,7
1857,94,11
249,300,10
1862,766,8
2330,67,11
1702,91,13
1868,95,8
1946,98,11
430,119,10
2055,110,13
1947,42,9
2057,25,11
2058,29,12
1875,31,12
255,19,9
302,43,8
848,1864,10
49,86,12
95,55,9
228,105,11
98,163,7
370,273,10
2884,258,6
258,184,11
260,147,6
189,157,11
1737,74,8
1057,145,11
1897,77,10
1522,75,8
58,75,8
8,147,6
1770,52,11
2708,48,7
2921,134,8
274,183,10
1985,114,9
11,83,10
1580,99,9
203,89,6
740,90,11
69,83,6
2503,69,10
2020,77,6
131,262,9
74,691,11
3175,56,6
286,79,7
1259,32,7
3046,146,6
3176,101,11
2081,127,9
288,130,6
30,50,7
2993,29,8
1343,39,6
2077,250,10
1933,53,7
32,38,11
2294,47,10
247,162,11
3169,66,9
570,88,7
2443,396,8
1700,42,11
181,66,6
90,70,10
301,69,10
443,94,10
91,44,11
1725,509,9
187,35,6
1728,47,11
190,83,25
1894,161,16
450,177,17
451,513,25
317,309,19
1900,633,14
112,301,24
1549,199,16
357,395,23
278,257,19
415,542,20
3177,142,22
566,340,14
19,332,16
623,207,25
207,158,14
361,207,14
420,260,13
422,242,13
403,402,25
366,192,20
147,694,16
1430,206,18
40,53,25
182,161,15
222,141,14
2345,36,21
2522,36,23
386,180,24
226,65,22
1739,161,16
55,380,19
453,131,22
389,104,23
356,203,22
310,180,17
113,133,23
272,289,18
1992,476,16
1920,146,15
2016,148,20
931,182,20
1814,158,22
843,401,19
2510,78,20
364,77,15
209,146,18
2523,158,15
1672,570,19
248,2046,19
2048,700,12
442,254,20
1939,603,17
348,130,23
1446,40,20
46,28,21
225,358,20
227,223,13
2066,147,22
353,185,19
411,114,20
449,144,16
262,129,12
1895,208,20
1748,59,11
608,163,11
634,161,20
1975,252,17
111,158,12
61,183,11
1775,331,18
3163,182,19
197,116,18
336,287,17
66,85,21
200,191,15
2011,309,14
1799,138,20
124,146,17
2015,867,16
437,125,13
1821,140,12
774,843,14
242,52,15
244,152,21
1665,164,17
2035,236,14
293,132,13
428,340,20
297,385,12
252,247,11
3178,78,16
42,116,14
183,183,21
3050,144,14
185,112,14
1721,164,12
48,341,21
50,54,19
229,59,19
1951,96,11
4,292,12
103,460,14
527,244,19
2776,265,19
454,149,13
319,198,10
268,133,18
611,198,12
309,236,17
271,65,18
1982,142,19
2795,377,15
169,140,12
118,697,14
463,224,15
645,150,18
376,202,15
2257,368,12
557,102,17
2260,105,15
399,213,12
2633,550,15
243,98,18
2518,191,15
470,84,18
