产品SKU,产品浏览量,产品加入购物车次数
619,89,14
1501,327,12
2916,73,8
308,116,11
1739,78,13
317,231,14
372,100,14
2708,134,12
1905,110,9
2393,103,13
3163,159,13
565,61,12
3298,189,11
3151,123,8
69,161,15
1802,144,12
645,148,11
418,260,12
171,80,11
239,445,15
2818,294,8
623,219,9
172,129,12
25,106,14
3046,131,12
3862,68,11
329,121,8
311,354,8
2510,34,8
470,102,11
33,220,11
2298,213,13
1672,878,14
37,129,14
366,95,8
249,334,8
472,400,15
3896,95,12
858,174,12
429,965,14
1871,90,10
1946,69,14
3438,46,13
806,247,14
95,42,12
1497,503,12
1734,76,10
102,54,8
266,55,13
452,258,10
1751,56,12
1098,211,7
3696,25,11
115,227,9
2795,130,9
1132,308,13
391,139,13
321,96,8
459,234,12
323,159,10
1785,134,11
119,156,7
3444,127,11
3955,55,12
17,277,10
700,39,11
1812,86,9
1814,94,9
1240,145,8
3703,111,7
2025,52,10
956,29,7
624,133,12
2527,27,11
2069,61,11
3314,315,7
210,109,10
290,239,11
3437,177,8
1665,117,13
144,582,13
407,310,9
3159,133,11
2051,190,8
1870,83,7
3892,88,11
152,128,12
3530,53,13
254,37,8
2682,44,7
255,34,7
1449,56,9
618,242,10
1472,93,8
98,73,7
2,252,10
1732,32,6
448,205,7
189,101,8
230,98,7
101,130,7
3259,78,6
2549,109,11
633,139,10
162,283,11
3910,93,6
3911,28,8
56,149,6
412,177,6
3172,166,7
319,62,6
3827,277,10
1768,65,10
3915,109,11
114,104,11
1906,53,10
1982,41,11
197,117,10
3356,104,10
393,61,9
1913,178,7
65,247,11
13,189,9
3547,86,8
1919,62,7
906,150,8
1595,97,9
3150,95,6
1218,184,10
2021,60,6
1816,55,11
1299,84,8
3930,64,7
3931,98,6
3743,62,8
2280,77,6
3521,124,6
81,23,9
439,40,11
174,178,10
1846,315,7
1933,58,6
3678,273,10
2519,121,11
2038,99,9
293,67,8
2044,143,7
297,357,6
1433,78,10
2052,38,11
2335,35,7
1707,72,7
1945,156,8
151,106,9
2479,44,10
223,41,10
2511,24,7
46,12,6
3757,18,9
3946,162,7
158,74,7
305,41,10
1474,233,9
227,73,8
831,221,7
49,30,10
306,31,11
96,63,10
1488,109,8
355,238,16
166,250,24
120,203,21
643,124,20
1182,203,20
397,192,17
420,294,15
614,263,25
421,164,21
3932,160,20
208,38,20
143,159,24
637,706,16
3265,122,23
220,164,23
443,95,13
430,95,19
3526,122,13
2520,53,15
3947,285,20
2685,513,13
256,95,18
1525,327,14
1543,1260,19
3447,118,22
1992,163,22
434,195,23
199,224,16
2012,160,19
493,254,12
206,278,23
3117,283,17
173,142,20
359,344,14
364,100,23
3888,292,16
140,116,21
2518,101,14
2523,157,23
471,184,17
2039,545,21
428,261,21
1686,248,13
