产品SKU,产品浏览量,产品加入购物车次数
1743,319,16
1975,204,14
2167,388,11
2795,165,9
118,396,14
276,118,11
2182,55,15
434,215,17
200,175,17
1213,46,10
124,82,17
968,175,12
3364,115,17
464,149,16
646,107,13
421,126,15
28,74,15
4201,72,14
2638,422,16
311,153,16
3989,271,10
140,55,14
4203,212,11
2523,171,10
4135,97,15
810,176,15
144,473,11
1681,122,12
1686,200,14
179,127,12
250,330,16
429,1128,16
473,143,13
181,96,9
653,63,14
349,71,10
443,61,11
384,144,9
184,42,11
629,49,14
4065,32,11
1888,128,13
1891,144,14
190,103,12
449,105,12
1748,64,13
58,66,15
268,71,15
4043,94,15
3893,72,9
310,223,11
2393,56,13
273,199,9
1187,54,8
1595,130,15
764,203,13
126,66,12
339,125,12
359,365,10
2256,90,9
2260,100,9
4113,156,10
439,44,15
139,79,10
3048,147,8
3437,587,11
291,259,12
34,274,12
1388,96,15
652,264,14
3265,50,8
151,69,15
351,114,14
408,60,9
2056,70,8
4042,25,15
44,49,13
155,25,10
156,24,8
304,40,15
4095,94,10
316,53,12
96,62,12
1501,372,11
2114,50,7
53,108,10
3255,232,13
450,92,11
412,80,7
1752,104,13
459,123,10
197,153,12
2180,174,7
2085,43,13
2968,148,10
3426,66,13
1220,76,13
1814,103,8
375,136,12
3708,129,10
396,230,10
376,127,9
3046,90,9
4080,339,12
3928,54,8
329,70,10
1326,246,12
243,40,12
2069,45,9
2072,33,8
378,303,12
175,96,12
2285,118,7
83,95,7
1846,203,7
470,132,11
312,290,8
2440,336,8
37,146,9
2048,273,10
38,197,12
1942,109,8
90,77,12
3171,23,7
1945,170,7
91,77,12
617,128,12
3446,131,11
4054,15,8
255,21,9
225,163,9
1472,132,13
657,69,8
308,74,19
607,91,22
554,102,22
336,312,25
621,279,15
1915,240,14
528,197,18
239,384,24
360,98,15
557,161,17
588,143,22
533,146,25
523,77,22
1314,216,20
4204,303,25
209,124,15
4082,274,17
471,227,13
472,649,19
3267,108,24
628,142,24
352,59,17
2086,55,17
224,46,25
502,112,13
563,79,19
631,89,20
1033,391,17
452,237,23
512,154,14
3447,182,18
456,136,23
539,222,13
467,83,13
721,159,23
1356,131,17
3901,84,18
3529,167,21
403,210,19
616,88,13
222,82,12
3183,167,16
846,41,14
409,66,20
333,97,16
553,48,15
594,75,23
4046,126,20
262,140,17
1066,368,18
640,103,12
575,542,17
355,136,20
857,187,17
2098,115,13
1547,212,12
564,122,17
372,59,19
193,71,21
373,297,19
3107,57,20
3838,225,15
1590,193,15
279,287,13
206,341,20
418,177,18
73,103,15
2977,128,21
647,150,15
397,172,19
362,72,17
568,137,12
1662,175,14
2651,232,16
344,264,12
2054,97,20
3054,94,16
536,77,19
4205,63,14
253,104,21
368,65,13
303,18,18
545,401,15
618,162,18
2385,93,16
576,182,17
356,224,13
4000,53,10
1111,208,13
514,126,14
1764,231,16
391,204,19
1996,179,15
1913,163,18
12,46,14
1792,60,19
3114,834,10
1604,67,14
487,389,11
172,108,11
2423,487,11
328,175,18
401,115,10
212,297,19
3405,272,16
4020,175,12
405,589,15
2672,351,11
542,114,18
183,120,11
350,51,13
3441,67,15
4206,119,11
430,68,15
3526,81,13
431,127,15
3448,84,13
4060,63,19
3947,136,12
4119,350,14
546,581,17
573,98,11
227,108,15
49,28,16
595,59,15
188,66,19
4017,245,25
3051,265,27
521,178,35
1268,472,24
3439,436,26
4207,149,27
638,430,36
219,126,29
627,127,23
3449,130,26
2381,221,33
3827,377,39
1154,392,31
3185,423,29
1269,201,33
650,240,30
519,192,37
637,863,32
582,194,40
769,105,35
632,53,35
793,567,26
2131,405,29
586,225,20
754,282,29
2709,425,33
504,262,23
1823,155,27
3184,158,35
613,313,35
330,151,32
177,199,29
743,316,29
581,329,34
589,337,31
3268,75,35
826,215,36
2892,712,22
516,270,22
4185,155,32
380,202,29
2526,136,32
993,312,34
661,288,35
520,667,35
590,274,20
552,183,24
3182,136,23
543,85,24
3972,83,30
482,90,21
620,170,33
477,230,18
236,186,33
3295,442,29
4208,387,35
2248,145,22
540,186,26
762,314,31
1693,463,26
3714,288,30
3049,119,26
669,114,18
832,207,19
1785,240,26
3053,169,21
4183,314,20
645,106,23
173,209,33
340,231,30
558,284,30
3263,325,19
342,155,24
244,211,29
4057,156,31
3903,215,29
2045,799,23
2443,625,25
779,292,26
3365,353,26
3971,113,28
537,301,28
1958,1297,30
323,126,20
515,118,28
486,249,17
758,192,17
417,164,26
3660,258,22
532,210,19
3859,1362,17
379,184,31
2521,133,19
4158,123,24
2302,394,17
678,584,27
3178,194,20
299,181,20
4139,138,21
307,157,20
3338,252,19
2764,354,21
597,427,18
503,392,21
2142,216,28
1542,410,26
492,222,16
324,253,16
644,189,29
3166,224,18
549,200,20
587,199,16
420,128,23
649,186,19
3179,249,16
468,128,21
3993,153,20
4064,131,24
3531,618,20
3936,341,26
4138,109,22
4209,333,27
427,162,27
2039,402,27
182,185,27
331,190,17
571,102,19
385,54,24
3817,75,20
510,193,26
574,170,17
101,341,15
491,125,16
457,63,14
321,213,22
833,292,24
