产品SKU,产品浏览量,产品加入购物车次数
1,84,13
1734,205,15
230,149,11
53,270,12
232,111,9
162,290,10
1083,634,11
1971,87,13
192,141,11
1764,63,8
2157,35,8
564,115,12
1905,45,15
195,189,10
2080,200,11
392,245,12
200,170,11
1920,163,14
1196,93,11
1218,206,9
1609,84,11
419,189,12
74,490,14
75,99,13
2719,107,10
2025,102,12
2423,195,10
399,183,15
1833,161,10
843,132,12
242,42,14
211,293,12
1933,56,14
2293,73,9
1665,100,13
1851,49,11
292,97,14
406,147,11
180,566,10
1868,64,9
148,40,13
301,63,10
152,126,11
91,66,13
1874,60,13
155,26,12
3353,21,14
3261,42,8
95,56,13
1496,51,13
2538,63,7
189,171,8
353,142,10
354,208,11
1894,63,10
266,67,11
55,316,10
633,102,7
1070,88,7
1902,83,11
1126,138,12
168,159,9
235,134,12
1141,223,8
2892,349,12
1593,464,11
887,233,13
3177,148,8
68,185,9
127,81,11
1811,129,11
1614,280,9
2825,107,13
2612,242,7
1278,74,9
1319,65,7
1838,35,13
81,29,9
1932,31,10
30,72,12
3363,76,9
426,264,13
2473,143,9
345,185,13
214,309,9
247,92,12
146,400,7
250,542,8
2478,116,7
40,32,9
1706,33,10
42,157,9
153,14,11
2059,24,8
1712,40,12
2511,24,7
1447,22,9
1449,51,10
1885,109,10
1044,59,11
1503,71,10
745,45,8
231,197,11
1893,169,7
2775,308,10
3259,75,10
2549,57,10
106,147,6
2748,53,8
1760,555,9
112,126,8
8,96,8
1904,681,9
1906,69,7
1129,400,10
2168,41,6
1132,312,8
1908,139,6
274,225,11
62,126,10
3163,150,11
13,170,10
1579,29,6
2512,55,11
1596,361,11
2599,64,9
2012,85,7
1805,83,10
2818,508,6
172,54,9
131,427,11
1240,50,10
134,133,7
1633,25,10
2257,339,6
2028,85,7
422,88,6
624,186,8
3157,467,8
2071,57,11
137,96,8
2763,45,8
210,102,8
470,116,10
3001,140,10
2038,155,9
2074,190,9
213,132,7
86,130,11
295,67,7
313,115,7
1420,100,9
570,136,7
1698,85,6
1702,54,11
1433,30,6
2679,4,8
1944,34,11
383,91,11
3047,144,7
1947,39,8
2057,34,8
45,17,6
1450,32,11
96,40,7
229,39,21
1951,136,13
433,322,15
449,158,13
319,179,20
2566,476,19
2084,123,13
236,394,19
2406,170,21
337,87,21
339,137,22
77,206,18
3179,265,21
2072,60,15
2517,129,24
33,222,16
2045,963,20
2048,727,24
297,334,23
407,250,14
182,127,15
1945,170,16
408,138,22
430,70,13
431,109,14
2522,37,19
386,153,22
369,83,25
227,94,13
563,72,15
2,288,17
259,256,14
190,132,15
