产品SKU,产品浏览量,产品加入购物车次数
3255,257,8
1057,107,8
262,116,11
2703,146,9
1973,106,11
538,100,12
2389,132,11
310,125,11
114,90,11
2076,163,14
2795,140,9
169,70,10
1992,82,11
434,101,13
2592,29,14
1913,213,14
3151,101,8
3834,153,12
339,151,8
375,156,11
2022,122,12
420,132,8
329,81,12
3743,99,15
2510,44,15
3490,155,8
138,164,13
31,77,11
83,82,13
4062,70,9
1356,85,8
3567,81,8
2298,186,11
1376,386,14
294,73,11
2475,76,15
147,139,13
3896,213,10
3265,82,10
3877,78,14
3892,100,12
301,77,8
3990,61,12
367,79,15
3047,90,10
3050,83,8
185,64,10
368,69,15
2058,42,13
186,32,14
3261,31,12
711,314,14
256,45,10
96,28,14
188,80,14
1952,232,10
259,297,12
190,71,9
53,130,10
101,126,10
106,148,13
1525,59,12
268,77,13
634,96,11
1110,603,11
4000,87,10
4041,77,9
598,126,8
112,69,8
2167,243,12
272,303,10
273,139,9
61,101,10
63,137,11
196,59,13
197,78,12
276,145,12
1785,108,13
2406,198,7
2082,62,11
1208,50,13
126,75,10
2229,97,9
171,86,13
3450,161,12
2731,248,13
177,155,8
213,108,9
345,147,13
1852,48,12
472,738,9
297,208,9
570,62,13
1700,77,12
149,155,11
3328,124,13
1945,120,13
220,108,10
444,61,7
254,48,8
1947,34,8
2520,28,10
2511,22,8
156,38,7
225,208,12
763,51,12
573,112,10
95,29,8
187,23,10
448,173,11
2916,42,9
353,54,8
1894,62,9
450,60,7
263,136,7
233,137,8
3259,89,7
266,59,6
605,49,11
1513,31,10
1748,85,9
453,82,8
1522,103,10
3199,129,10
1523,32,6
3827,114,11
59,331,9
1549,41,11
1552,165,9
62,69,8
168,105,10
335,177,8
1141,50,9
1991,23,9
1150,54,8
199,372,8
65,112,10
1582,72,8
1595,106,7
2085,38,11
3244,243,6
124,172,10
69,87,9
22,87,8
1814,67,11
464,138,8
1240,100,6
3246,53,9
1623,46,6
25,199,10
421,139,7
3349,122,11
30,53,6
2506,125,7
2517,63,7
2033,123,9
1846,171,9
470,101,10
603,127,11
2519,128,6
4019,56,15
387,207,24
317,300,22
1743,327,14
610,139,24
477,180,15
193,125,14
2953,452,15
323,196,15
2516,196,19
528,122,25
17,157,23
417,164,15
206,283,24
516,362,23
360,65,14
557,178,13
523,136,18
1326,183,19
3496,440,17
3260,449,20
2090,162,21
1441,239,21
315,64,18
184,47,19
3049,46,15
582,193,21
563,94,16
1501,309,16
