产品SKU,产品浏览量,产品加入购物车次数
258,219,15
353,150,12
2119,151,10
1894,115,14
191,114,11
107,88,10
1748,117,9
109,48,9
1522,69,15
412,233,13
271,30,14
322,540,11
357,247,15
118,566,13
1986,43,14
1141,153,8
1992,173,14
392,172,15
13,158,14
2512,158,12
1182,146,10
1220,77,8
3023,71,15
2021,100,11
1240,113,9
2025,71,10
2505,331,14
2280,85,12
439,33,8
244,78,14
441,135,9
88,167,13
147,403,11
250,467,15
298,342,9
180,464,8
2332,54,12
149,95,8
349,196,11
3709,35,11
91,71,10
2086,47,9
3261,19,15
303,33,13
526,980,15
93,111,14
259,189,12
410,257,12
1044,87,7
1735,334,11
1960,43,12
102,62,8
1963,434,12
266,82,9
192,235,10
1761,68,7
1767,74,8
166,195,11
272,536,7
273,219,13
275,521,7
3205,78,7
1780,40,7
393,110,12
281,58,10
68,81,13
968,59,9
3299,120,10
2229,96,7
71,153,9
437,141,10
1236,56,7
797,59,13
1814,97,12
172,96,13
74,395,13
3175,61,11
3359,166,11
3527,603,9
2729,111,9
3349,41,9
2510,45,8
243,47,10
2517,118,8
1348,100,10
426,157,11
33,241,13
1672,725,9
1378,78,13
2037,64,9
144,821,13
1851,51,8
345,214,8
35,118,7
3224,291,7
37,141,10
3159,83,13
382,45,11
181,135,13
90,52,12
3265,68,12
1704,63,12
42,104,12
151,100,9
350,120,10
2054,66,11
2057,25,10
155,28,7
618,181,13
1882,22,13
227,105,11
96,30,11
187,45,8
1496,57,10
583,40,6
260,212,6
1501,117,11
3,103,10
230,169,9
1892,48,8
5,234,6
449,121,8
451,201,8
263,185,11
2748,70,10
734,94,10
1973,110,11
598,186,10
3239,173,8
1549,53,6
1768,239,8
168,121,11
235,232,6
169,187,11
198,62,7
3356,125,8
65,273,6
1920,205,7
1921,78,9
1801,176,11
1804,218,10
1812,98,8
2019,295,11
1925,30,11
131,338,11
132,77,8
1820,21,8
556,75,7
287,102,8
1626,49,10
1629,61,10
328,440,8
3348,177,9
2427,128,8
1321,59,8
81,26,11
2434,87,9
30,31,7
2990,259,7
139,64,11
175,66,6
1662,68,9
2077,180,10
1357,48,8
2733,40,10
2036,283,6
1370,49,6
214,193,8
1858,363,11
1940,122,9
1943,112,6
148,31,10
299,120,10
183,140,9
2682,57,11
1947,33,8
1875,25,10
2060,26,8
2520,27,10
445,828,11
446,56,8
1475,87,9
256,55,7
1885,97,10
372,148,23
391,180,23
1984,109,16
434,148,14
528,292,16
124,149,14
417,196,18
2022,167,14
376,173,22
3249,199,25
602,256,15
342,254,25
177,126,22
179,141,16
407,197,25
590,223,18
2090,70,16
3047,110,20
3433,125,15
385,48,19
2522,20,17
545,367,23
1476,148,25
