产品SKU,产品浏览量,产品加入购物车次数
1497,584,15
4019,42,12
3455,86,9
619,32,9
189,57,15
452,271,9
598,112,11
193,134,10
1770,106,10
114,64,9
2516,230,14
2082,77,14
69,128,12
3967,173,14
126,123,12
71,91,8
172,62,9
421,60,14
399,155,8
328,324,11
523,99,13
3986,67,15
3802,117,10
624,157,14
208,45,9
242,92,11
2524,162,10
210,73,11
1663,100,11
3405,300,9
3994,148,12
3567,107,8
2473,179,14
33,226,15
403,263,8
560,76,15
296,133,8
2048,343,11
1870,32,14
430,86,15
3526,61,12
3530,94,14
3047,125,9
3818,55,15
526,737,11
446,51,11
227,92,8
657,71,12
256,34,11
187,51,13
1888,67,10
230,161,11
190,68,7
449,124,7
191,95,8
2764,340,12
1741,90,7
1746,57,9
640,176,12
412,163,11
1110,469,13
4041,71,11
372,51,9
3915,99,11
115,181,13
273,213,12
1132,196,13
391,135,8
63,84,8
68,98,13
3150,64,9
22,104,10
1240,110,8
1246,30,12
1827,87,8
1286,71,11
3932,169,9
311,250,13
439,63,10
1337,64,10
3496,307,13
289,178,13
424,71,9
3865,259,7
3639,137,11
1360,95,9
1370,69,7
3964,290,7
144,606,10
292,91,12
294,77,9
1411,405,8
407,162,11
216,51,7
473,203,11
3328,100,8
218,107,13
3965,379,11
183,75,12
349,124,10
1946,88,10
408,70,8
221,55,8
91,55,10
254,35,11
2057,48,13
43,11,13
44,25,12
186,43,9
3261,22,12
304,24,11
3585,54,9
545,282,8
481,593,10
1474,176,8
260,81,6
307,83,8
4,205,8
1057,122,8
266,59,7
3511,442,6
389,81,11
192,97,7
319,103,6
1977,28,9
3835,115,11
1902,75,9
3821,57,8
2165,19,11
61,112,9
62,114,9
168,265,8
335,138,6
198,61,8
1992,153,10
2182,55,6
1785,75,8
13,221,7
1914,44,6
3951,19,11
2085,102,9
1922,64,6
282,42,6
2012,174,9
122,49,10
3298,99,9
3922,121,7
129,74,10
1817,705,6
25,111,9
557,94,7
1299,201,11
28,76,10
3743,75,7
2763,29,7
468,113,9
30,84,11
3697,39,11
209,122,10
2731,172,11
2517,70,11
2033,96,7
2077,194,10
1934,59,9
1852,41,7
428,118,8
2044,86,10
651,57,7
37,114,8
297,260,7
89,42,11
252,128,11
149,129,11
3170,102,10
42,118,9
2090,76,8
384,89,6
1947,20,9
1876,16,6
3438,20,9
1455,72,11
1719,83,8
768,476,9
1475,68,7
1726,90,6
1486,150,9
451,195,20
746,25,23
1743,316,13
1967,182,22
634,162,14
356,194,18
833,425,13
3356,116,24
434,206,18
758,207,15
3834,329,23
206,335,24
505,97,20
600,281,22
646,127,23
360,92,20
420,202,17
636,309,13
3901,127,20
2039,479,13
2045,742,21
1441,101,22
3443,70,22
2095,59,25
253,163,23
385,57,18
303,38,25
3947,681,16
510,194,21
632,32,19
745,1032,23
101,206,20
597,472,22
1066,178,15
2704,191,20
4017,159,15
1975,300,12
310,120,17
456,139,14
59,439,22
564,226,14
2795,143,16
357,193,12
3163,222,16
336,248,22
539,143,17
1913,240,22
200,161,22
120,189,13
599,105,15
1804,194,12
3117,354,20
567,329,14
329,137,15
364,100,12
244,142,13
177,151,21
1686,207,14
2051,167,17
3897,83,20
350,91,15
3267,144,19
3971,103,15
184,55,12
3049,60,12
2056,91,19
2086,28,18
3817,113,14
736,553,15
2131,314,15
610,195,17
3447,146,20
2076,121,14
1920,186,19
2011,243,15
1802,125,21
2015,197,15
417,130,15
1805,221,20
418,237,12
239,490,18
1826,1991,19
359,249,16
3859,1147,16
138,369,17
379,224,16
3445,200,13
3636,521,12
2324,431,19
3896,140,18
250,355,19
3171,41,15
1945,90,11
2054,131,13
222,69,13
185,96,15
4042,35,19
259,365,11
574,273,15
450,80,16
317,422,10
355,226,11
268,91,16
2167,249,12
276,97,16
65,124,11
644,275,10
1595,215,10
395,92,17
3151,167,10
464,156,17
243,46,17
2087,216,19
175,91,15
1846,180,11
2523,143,12
471,198,17
179,307,13
653,73,12
152,91,17
3054,100,13
444,55,14
3446,134,10
224,30,18
618,185,12
158,65,15
502,158,16
448,149,14
731,145,14
53,83,12
308,99,17
1055,131,10
2462,344,16
262,197,10
607,161,13
1080,142,11
4016,50,13
4000,105,9
457,78,12
2393,64,15
323,172,13
2406,98,9
3444,119,17
358,325,14
1209,154,13
463,187,9
1231,203,9
2234,351,14
207,126,14
397,124,14
77,177,13
3519,266,10
488,137,14
2272,352,17
2427,214,9
3179,312,14
467,69,13
401,87,16
83,110,9
1348,60,14
343,100,17
3260,380,11
1675,146,9
472,641,12
147,206,14
181,115,16
3440,85,17
220,82,17
153,28,13
255,25,12
156,27,14
409,74,14
95,57,14
491,145,33
321,179,22
515,213,29
3364,340,23
645,135,35
2248,209,31
340,172,23
649,209,35
533,248,40
2434,426,39
3439,414,28
3875,243,39
817,167,33
553,74,25
509,139,30
631,132,30
1891,585,34
3263,480,22
4020,390,37
2294,392,23
497,681,25
3178,205,39
219,133,23
479,125,27
620,292,32
2098,187,28
554,143,36
486,246,32
1224,411,23
516,231,34
530,190,36
602,388,27
729,451,38
824,580,25
382,223,37
3448,127,22
571,82,38
3785,41,27
806,242,31
1501,512,32
917,132,34
827,315,19
492,457,29
3107,386,28
3839,208,28
528,256,35
782,219,33
3708,321,20
588,172,29
3487,1453,24
3833,153,27
142,193,25
910,352,33
519,118,29
581,650,20
3182,110,28
706,195,21
604,312,27
387,254,30
633,159,29
575,461,25
794,456,29
4043,198,32
1978,206,31
587,160,31
614,204,20
2638,385,20
2279,675,18
2518,114,21
3565,805,20
427,179,23
312,412,27
178,282,23
652,413,26
629,128,23
711,578,32
563,105,29
594,97,27
512,134,20
1530,282,18
1543,784,32
373,275,24
322,473,22
1996,261,21
3109,60,17
621,370,19
643,98,22
2977,123,30
3166,233,32
766,238,19
362,155,26
3931,413,33
3906,416,24
342,317,24
1942,512,31
3441,91,18
383,114,23
3433,144,25
352,50,25
316,133,23
333,137,29
576,144,21
514,193,26
324,221,23
2192,136,24
849,142,29
532,511,30
376,203,20
549,170,19
330,197,27
558,270,28
3269,190,21
3495,284,26
2507,721,18
810,212,20
524,943,23
38,234,17
552,187,17
331,158,24
3268,137,18
1476,126,18
477,99,15
2709,280,26
279,261,19
17,219,18
623,194,25
73,101,23
1823,215,20
1326,281,15
378,122,27
496,358,16
3048,153,26
2036,346,28
351,109,23
537,215,17
562,966,19
573,141,20
595,42,23
2385,217,18
3970,325,20
2084,155,15
2953,330,26
199,218,22
339,114,17
173,156,25
647,254,17
174,214,16
140,81,17
650,202,22
3363,154,25
3437,371,20
3635,123,23
143,120,25
1862,3053,17
1943,216,19
299,189,24
2876,461,23
542,101,27
616,69,26
3365,282,17
3262,229,20
3050,119,27
2520,35,26
225,319,19
54,817,60
796,452,62
3640,541,62
707,351,64
3056,446,77
770,380,65
3244,949,43
3660,504,40
3641,391,65
812,269,74
508,362,70
1864,783,52
826,207,40
708,251,50
950,675,57
3903,468,51
3709,221,75
704,933,51
753,228,37
990,371,50
759,384,42
3053,430,37
784,528,46
3270,645,59
3436,322,61
816,151,68
805,448,37
763,550,47
1915,457,52
3490,474,38
3836,299,40
3227,623,48
664,171,53
825,220,53
498,249,60
726,414,67
1965,467,66
2525,183,35
522,361,44
3357,488,47
834,193,42
540,268,40
3905,629,61
678,831,46
829,280,36
493,610,67
3023,334,43
690,391,52
714,294,48
762,321,43
561,301,50
506,218,52
507,151,39
1025,745,54
787,955,40
724,612,59
638,495,34
543,151,36
3266,268,47
769,186,41
3295,487,32
798,458,32
671,649,33
845,341,38
474,337,57
1154,729,51
733,396,56
494,255,46
613,416,55
637,846,45
3368,205,38
3183,170,42
1590,342,46
3809,945,50
3531,992,53
2530,302,52
846,57,50
3634,356,41
764,616,45
3184,593,51
569,363,31
520,796,48
544,139,34
538,324,38
476,388,42
757,698,49
743,573,47
823,261,29
590,264,34
3789,583,36
3449,142,31
3,644,45
3051,292,52
1269,237,48
836,324,42
568,236,35
721,225,44
3934,789,40
2302,670,27
3453,186,29
655,123,30
482,88,42
583,700,43
793,1122,29
503,331,40
267,489,40
521,226,28
236,469,35
701,444,38
3804,428,42
761,245,33
535,287,43
804,597,33
589,173,47
182,177,43
702,92,43
3712,197,38
832,227,27
2892,1149,46
3477,485,43
4018,317,39
1314,519,44
245,346,41
3366,201,30
3180,241,36
1710,237,40
3972,163,30
582,178,32
780,261,29
2381,379,30
2140,221,35
754,229,37
738,407,38
3993,160,36
344,238,41
723,447,27
661,260,23
627,193,42
3714,346,23
725,215,30
617,141,34
2465,1009,155
1026,550,111
977,595,135
673,667,110
3952,646,172
2049,540,141
984,636,144
548,866,176
905,1404,128
971,1009,134
992,835,161
964,1029,122
998,383,151
3841,625,165
965,547,93
1301,883,116
982,585,143
903,1097,148
1024,604,161
993,512,148
720,499,115
975,634,86
2103,894,114
930,718,102
946,869,161
797,778,94
949,503,128
939,490,129
927,544,114
3273,664,158
2006,1671,142
970,1322,157
672,858,88
1182,1033,101
3645,905,136
983,697,85
1695,1306,93
1027,685,87
776,769,143
2739,683,119
955,1070,138
959,812,128
958,536,84
1012,976,100
980,459,82
3907,445,106
987,720,121
973,705,121
682,589,102
783,677,100
2093,760,82
1013,1030,117
981,593,121
791,845,110
861,918,104
666,544,114
3719,598,134
1001,591,120
898,519,126
926,741,99
480,610,70
943,489,69
986,527,82
1007,624,75
1015,345,131
665,232,98
3716,621,69
579,727,99
688,571,124
996,806,109
1002,542,102
3369,429,86
719,571,116
1011,501,122
957,307,94
815,559,93
3452,1109,87
2528,465,111
2100,513,105
978,584,64
3713,703,78
676,378,75
750,234,113
966,441,85
3975,589,114
