产品SKU,产品浏览量,产品加入购物车次数
2884,230,11
3455,78,11
448,177,15
1501,553,14
1005,81,10
574,218,13
53,67,13
451,195,9
2125,112,11
266,66,11
2549,74,8
412,189,9
1530,261,12
2792,133,8
2708,95,10
235,109,14
276,150,10
3292,57,12
2406,156,13
3151,121,13
69,123,15
239,427,12
375,92,13
73,117,14
2234,268,14
1246,58,15
647,255,11
77,127,13
421,120,15
1930,126,13
3932,169,12
2272,278,10
2729,35,9
242,67,8
3264,300,11
3437,153,12
4015,93,10
603,171,12
1671,65,15
2074,105,8
294,84,13
296,141,10
37,139,13
472,468,8
147,137,15
3170,100,8
3440,94,14
1945,149,12
183,109,10
349,112,11
443,79,9
430,79,14
536,34,15
2057,27,13
303,14,14
225,158,9
1719,243,15
736,543,14
96,43,9
353,52,11
449,86,11
263,210,11
3259,134,11
454,130,8
4016,62,10
4017,79,7
2154,86,7
8,63,7
168,89,11
1913,301,7
2204,125,11
124,111,8
1218,130,9
75,106,13
752,127,12
327,78,11
3046,108,13
422,62,7
3928,148,10
2638,552,8
3349,109,8
30,81,10
209,119,10
210,96,8
83,91,11
2077,243,10
1360,56,10
471,188,7
3041,191,10
1675,86,7
428,140,10
1686,231,13
2048,473,10
366,82,9
407,221,9
858,128,12
298,422,8
180,247,12
252,92,10
3265,45,9
1706,62,13
384,103,13
629,97,12
254,28,9
368,31,11
223,30,8
2060,13,10
2511,14,11
386,198,10
618,125,10
226,43,12
227,126,9
502,123,13
230,195,6
2115,19,10
4,159,6
101,166,11
102,44,11
2704,99,11
452,247,10
106,59,11
1896,55,8
3910,76,9
3511,398,9
58,73,9
3893,71,10
3828,56,7
3821,62,9
1905,54,11
2393,94,8
2076,101,9
272,288,10
1984,66,8
321,115,7
335,240,11
13,90,8
3884,37,6
3920,96,10
1182,188,10
2206,576,6
3297,396,11
3776,40,6
3922,85,7
3968,55,10
419,93,9
130,182,6
623,134,9
1826,411,8
397,139,8
835,229,8
3517,36,9
1831,10,9
1299,78,9
1306,201,6
399,139,9
3519,178,7
3861,155,10
343,77,6
470,107,11
246,59,6
3567,105,6
2036,415,10
295,69,7
405,338,9
3169,72,6
756,71,9
3896,147,9
1694,170,6
2052,39,11
2876,101,11
408,75,8
91,48,7
153,27,10
44,14,8
3693,10,11
1877,25,10
95,35,7
188,71,6
387,178,24
640,237,21
355,169,18
59,507,22
193,153,16
323,188,24
1996,223,16
120,188,21
2516,164,21
643,90,23
126,298,13
339,215,13
3117,299,15
132,38,17
359,234,15
3859,2112,25
2279,181,25
244,73,16
379,244,21
3993,337,20
3994,129,15
312,340,20
