产品SKU,产品浏览量,产品加入购物车次数
448,178,13
230,148,15
1739,134,10
597,593,14
56,148,10
389,100,9
454,126,12
1098,231,12
2154,279,8
309,176,10
1549,31,12
193,134,13
1770,51,13
3702,67,8
119,163,12
2512,53,12
839,118,13
337,79,10
1805,200,9
73,98,12
75,103,14
173,160,9
2025,74,8
3046,130,11
399,128,11
3519,78,14
208,27,14
2434,141,13
140,129,14
175,69,9
83,68,10
3437,154,9
560,89,10
144,690,15
346,209,10
1686,153,14
250,352,10
429,979,13
181,67,14
1707,53,14
349,76,8
430,82,8
3526,83,13
3433,138,11
185,85,11
44,21,15
224,24,14
562,651,15
546,607,15
657,61,14
1497,466,8
2,257,9
2916,77,13
189,64,7
3259,113,12
2549,88,10
1748,58,11
108,49,10
3511,204,12
192,147,11
372,115,13
1905,55,7
61,126,8
62,72,8
168,151,7
235,108,8
3163,136,13
198,90,7
1997,27,11
3150,113,12
1802,103,8
2018,59,7
129,54,13
3117,220,9
419,59,7
2818,599,12
623,172,10
172,58,11
2421,37,7
2272,282,9
3743,64,9
2427,244,9
3562,122,10
3442,105,12
138,138,12
2518,91,7
1663,87,11
3678,91,8
471,244,12
1934,74,8
213,68,13
2048,309,11
1939,233,11
1940,121,12
473,156,7
1704,61,10
3049,64,8
2056,108,10
2520,30,11
502,120,13
1886,31,8
187,19,13
2374,164,6
308,138,6
449,107,11
2775,196,7
451,221,8
607,181,9
1896,68,10
3910,44,10
319,110,8
611,70,6
598,91,7
3835,264,6
1766,196,7
1552,205,7
1982,82,11
2796,497,10
272,370,10
1132,286,8
391,170,8
275,359,6
335,236,9
276,221,11
3356,145,10
336,189,9
2206,2827,8
1595,143,10
860,160,10
2490,39,8
1201,267,6
69,129,10
1231,324,7
171,44,6
1240,96,8
557,101,11
808,60,10
2029,56,6
2425,40,10
400,62,7
439,28,7
3887,100,9
210,89,6
2523,91,9
426,104,6
872,167,6
651,88,9
248,68,11
2508,65,10
1938,32,11
88,65,6
147,211,10
252,154,6
3328,49,7
42,100,8
301,41,6
183,144,6
408,42,10
