产品SKU,产品浏览量,产品加入购物车次数
960,114,11
98,175,13
1503,92,9
1893,227,14
5,285,8
2703,211,13
1895,316,10
1079,81,9
1766,109,12
1904,713,10
459,309,14
393,220,14
1201,147,10
2714,91,10
740,150,15
71,136,15
2021,69,12
23,252,13
286,382,13
1625,78,11
3046,174,8
557,86,14
2260,125,9
2423,201,13
288,106,15
378,251,11
1346,352,9
2517,150,12
2077,206,11
1849,64,14
1672,992,12
1379,64,10
2074,127,11
292,321,15
1939,543,12
298,434,8
2919,50,11
40,79,12
41,69,12
218,101,15
183,149,11
1946,73,8
46,35,8
302,83,8
1727,131,12
583,61,8
258,211,8
317,96,13
266,81,7
452,149,9
1966,85,7
1742,115,10
1070,179,12
1748,104,8
163,74,13
1522,126,8
1527,45,11
2921,74,10
1129,587,12
117,86,7
62,147,8
1775,469,10
1985,74,13
1780,112,10
1987,28,13
1996,193,12
392,234,12
13,141,8
1915,67,13
1800,100,11
2220,107,9
950,1492,12
2016,82,8
127,129,7
437,104,7
72,130,9
2019,294,9
1924,110,11
131,443,10
1240,129,12
2023,233,11
25,125,11
79,45,7
30,77,9
175,99,11
143,100,9
291,424,13
1847,168,10
293,100,10
214,312,8
1686,540,11
1859,138,11
1419,44,7
1940,129,13
1420,126,8
652,604,8
1947,40,10
2057,19,12
154,45,9
1446,23,12
1449,73,12
156,49,11
158,74,8
1474,227,12
48,324,12
1885,157,10
1490,230,8
229,37,10
2537,49,7
1733,144,8
1005,93,8
1958,59,8
745,157,6
107,57,7
1095,32,9
1902,201,11
8,132,7
1978,98,6
1767,72,6
1768,149,6
1770,93,11
271,61,10
1126,113,6
1979,86,10
2168,76,7
10,63,8
273,482,8
1774,45,7
2582,61,7
1582,101,8
1187,121,10
1198,83,7
462,93,6
24,261,10
1245,24,7
1248,53,7
1821,131,6
287,212,9
466,99,6
2025,90,8
975,60,9
2278,30,6
138,42,11
210,71,10
1846,256,7
32,138,10
2293,81,11
1377,66,8
144,783,8
2306,43,8
1852,78,8
35,181,10
404,444,11
2044,157,11
778,51,9
88,53,6
216,69,6
1426,71,6
1863,438,8
1697,115,6
1943,122,9
1702,74,9
2051,79,8
1870,36,8
301,68,7
151,127,7
43,16,7
2511,30,8
1876,26,10
1882,28,8
2066,125,6
50,31,6
257,264,21
1951,146,15
2,620,16
259,359,14
449,146,16
634,225,19
275,1130,22
324,461,14
642,271,16
2011,445,22
2022,188,24
803,231,14
1321,248,13
244,154,22
379,184,18
209,91,24
2292,145,20
2035,544,18
2038,175,21
297,457,25
250,463,22
1873,116,22
3047,112,22
591,1337,14
1719,630,13
47,234,24
1725,595,22
228,207,24
306,68,14
188,71,15
1,146,23
231,370,16
263,188,15
162,652,21
269,174,23
1544,369,23
1981,112,21
168,251,17
169,138,13
1785,167,19
1799,98,20
2015,408,18
1610,235,18
419,249,12
75,205,22
646,243,23
77,242,16
2257,307,13
399,350,19
439,61,12
364,127,13
140,67,21
1359,259,20
247,163,14
366,294,17
249,404,17
2059,23,18
223,48,23
155,60,13
255,40,12
1720,416,18
95,95,23
619,128,19
1734,228,21
387,203,19
265,180,19
1967,120,15
453,166,13
1973,95,15
2709,276,17
236,513,12
68,96,17
124,171,16
172,89,21
74,466,13
173,385,12
469,467,18
33,421,14
294,155,13
86,454,14
37,223,13
2446,43,18
180,710,21
1700,98,15
473,152,17
1867,150,14
217,216,21
181,110,19
1945,166,19
408,148,18
221,86,13
444,97,14
153,16,19
1875,40,21
224,106,13
3033,121,18
49,46,13
97,99,17
370,127,19
1044,163,14
103,447,16
233,473,13
1075,123,10
56,264,13
164,1481,19
611,328,11
59,2234,16
115,301,17
2393,86,10
272,540,12
1132,504,19
195,236,17
1911,119,14
1912,193,17
1593,341,10
1920,245,12
203,121,14
1231,343,14
240,247,12
465,359,11
807,109,15
376,169,13
2081,150,18
80,239,16
2510,46,15
243,100,18
82,184,12
2523,196,13
177,110,15
442,232,10
2478,355,11
443,131,13
1737,91,12
1508,172,15
232,95,12
451,312,16
1897,104,14
389,91,9
390,513,10
2388,113,15
1764,127,9
2795,234,14
61,261,14
1142,89,16
336,380,17
1994,107,14
2018,99,10
1923,239,10
22,274,15
207,171,9
1255,185,16
1299,200,11
1833,90,10
1650,74,16
2069,132,15
1842,40,11
2089,242,9
3048,274,12
2507,120,17
441,116,14
290,159,17
3041,426,14
345,192,14
2316,271,14
300,70,15
383,206,9
2055,226,16
91,105,12
3049,53,9
368,62,14
2060,40,10
2452,248,15
446,92,10
227,127,17
256,62,10
2538,201,39
448,260,40
584,465,22
607,383,37
454,143,27
192,211,22
774,853,28
843,279,38
2088,418,40
212,926,25
343,173,36
562,1113,41
187,77,23
608,242,34
412,371,34
309,210,36
372,142,37
194,527,21
278,152,23
200,341,39
1805,153,22
1814,209,35
361,366,33
420,310,20
602,866,30
468,137,36
367,208,20
44,63,39
304,94,32
1497,575,37
230,245,21
450,304,29
2764,464,25
267,341,19
622,222,20
2633,870,22
328,372,26
312,481,36
2048,833,35
179,225,21
2054,176,20
431,143,31
2095,126,32
185,179,31
186,47,30
481,1063,24
657,102,24
433,312,29
60,153,35
235,243,25
15,330,21
205,737,25
359,332,28
2509,208,22
650,233,22
2518,283,30
625,349,28
147,711,18
429,2042,35
2330,146,32
1430,149,34
552,252,20
350,221,33
384,157,35
2075,212,31
632,74,30
1501,434,19
264,214,28
598,417,30
81,114,18
242,116,25
1663,700,18
2036,329,31
295,156,32
2083,139,22
430,121,19
386,182,28
1891,410,22
410,364,28
308,304,20
1057,186,19
1975,318,31
118,856,19
1992,707,26
621,190,20
529,573,29
17,239,22
239,823,17
808,180,23
421,313,20
467,144,21
2072,108,26
34,346,21
248,1109,31
472,799,20
1417,355,31
1868,163,23
299,151,31
182,307,19
480,884,28
2884,342,28
307,252,18
190,114,28
414,1249,25
434,243,22
199,455,18
1913,367,15
463,260,15
206,388,16
73,145,16
2422,282,26
406,129,27
407,343,26
653,110,20
220,201,15
152,144,16
3050,91,18
93,205,15
353,146,23
4,380,15
354,261,15
2776,470,26
262,236,15
55,377,21
112,225,27
2566,580,19
458,330,27
64,154,24
197,214,15
1811,166,22
1925,62,23
1298,310,18
422,193,16
2425,204,16
1315,165,23
624,225,18
208,62,17
496,413,14
470,111,27
2733,132,26
2090,108,24
2520,44,22
303,71,21
369,190,14
226,100,14
1721,245,27
1724,179,22
765,673,49
831,404,44
3051,363,74
555,858,56
119,403,69
2526,422,72
427,231,40
38,856,47
597,853,69
521,418,69
504,525,39
530,434,46
327,455,62
649,765,58
330,278,55
402,267,39
498,331,65
543,163,58
617,289,49
563,144,73
697,1221,54
532,901,72
810,341,38
581,830,50
331,473,67
817,273,64
574,696,48
1850,377,49
616,129,53
628,264,37
544,390,48
610,249,43
2516,513,55
464,296,49
816,265,68
655,183,41
482,209,69
1794,399,50
363,446,66
2434,1543,44
541,459,40
785,333,44
313,326,35
590,301,34
545,586,60
553,200,38
483,477,60
575,1554,53
373,557,34
342,583,42
569,629,49
219,228,35
582,488,37
318,352,53
456,194,45
599,137,34
418,494,55
603,497,34
405,925,57
589,236,33
225,462,49
191,238,52
606,546,38
512,309,42
2012,393,53
28,292,45
423,491,31
311,430,37
3052,367,35
409,406,32
768,1084,54
547,689,59
538,340,46
491,215,58
3053,372,53
580,259,46
567,358,54
445,1487,58
502,206,47
457,142,57
322,808,31
374,381,52
395,376,57
417,159,52
819,302,44
375,511,30
648,722,49
2527,198,45
561,187,32
526,1055,50
573,218,49
594,126,52
527,267,40
605,853,39
633,315,45
334,449,51
337,144,30
568,239,44
142,190,35
1942,578,39
520,1401,29
627,158,47
351,163,48
629,221,52
2086,108,33
640,268,35
2525,324,43
193,441,53
802,610,38
636,747,33
550,305,29
403,317,47
1441,197,31
501,1702,28
595,94,50
564,391,28
321,268,44
460,428,40
644,455,37
2085,1948,31
647,485,35
614,255,45
425,209,47
542,240,46
536,150,43
333,166,32
592,151,37
1961,181,43
734,1781,36
355,375,34
268,208,33
1905,456,31
335,715,29
539,192,48
65,695,33
643,144,49
645,350,44
340,287,39
360,125,32
329,151,39
2324,801,44
525,223,45
222,228,45
618,258,31
316,93,37
53,323,35
356,275,26
1900,798,40
310,276,38
484,257,43
276,391,29
358,320,28
849,403,28
339,338,29
362,203,31
2033,247,43
426,516,45
344,319,28
2302,706,29
663,318,35
428,504,46
637,917,45
349,237,29
3054,155,36
385,55,41
2522,44,44
546,1227,44
656,511,25
631,117,41
101,334,27
319,179,38
325,422,26
19,268,36
623,373,28
398,323,39
533,354,38
400,246,29
921,216,42
401,170,23
3055,281,24
440,221,29
761,758,33
471,437,24
178,886,28
2045,1187,24
537,280,42
189,145,43
2084,219,29
166,284,28
391,257,42
357,431,36
415,671,42
838,402,28
394,299,35
69,433,43
397,294,38
613,594,22
424,134,33
346,557,43
253,123,40
352,67,40
801,1571,26
705,577,182
724,1029,115
746,1183,149
1016,2029,98
712,1234,146
2530,740,126
747,1541,170
2029,1044,165
681,657,126
773,776,132
799,775,97
767,507,112
3056,535,117
733,813,150
730,715,167
800,381,96
701,990,165
2519,1932,156
699,2843,109
815,1092,149
659,692,116
771,707,124
706,396,157
1565,2716,131
738,771,131
1018,814,109
784,1473,84
851,772,103
2704,1592,87
759,610,85
830,511,120
668,820,79
678,1736,147
756,1953,90
707,606,125
719,1268,104
673,626,112
722,656,100
723,1162,95
476,771,89
727,2092,119
770,680,108
753,294,146
728,987,98
757,1094,95
714,463,126
474,876,139
818,716,112
1174,986,88
741,802,103
993,617,102
844,551,103
661,863,115
744,728,99
788,1504,123
811,379,78
686,834,121
1554,651,72
792,857,101
775,446,73
809,439,71
751,346,113
609,735,97
715,816,99
2531,396,104
779,437,131
514,750,131
540,438,92
708,699,94
755,783,121
979,1873,75
790,623,115
1181,1893,103
2093,559,71
2192,762,102
732,1010,108
834,715,77
508,987,75
824,1322,122
845,536,63
54,2304,62
798,744,68
786,940,92
510,396,72
1614,1143,99
494,485,105
822,530,75
787,1255,79
1864,980,89
826,364,83
1025,1880,81
804,1701,63
665,361,117
805,465,65
522,891,109
1922,532,99
516,648,105
835,621,61
791,675,65
762,733,110
586,775,58
558,590,73
812,479,74
500,484,63
769,369,110
823,430,85
825,399,65
1790,1005,103
820,636,66
2099,402,93
490,467,77
519,537,83
760,286,69
763,1332,76
2389,714,98
929,1508,66
506,418,105
780,977,100
1914,418,55
737,518,73
772,308,64
766,537,81
742,263,94
2097,558,69
497,620,84
711,1415,85
493,1409,98
782,901,88
2521,501,57
571,289,92
846,188,51
554,365,98
754,403,92
796,531,91
839,278,96
566,545,59
2096,478,84
2094,322,61
551,547,77
848,2385,79
694,1038,59
1963,304,50
492,334,66
1195,1747,52
847,506,52
509,311,79
752,513,92
523,187,86
836,799,79
534,651,48
704,1203,68
833,873,64
515,303,62
588,394,81
572,2626,89
832,357,63
758,470,58
531,591,64
518,724,85
348,576,48
479,304,67
548,211,79
524,2289,47
793,2545,83
827,612,65
794,520,69
477,547,74
2098,358,81
600,458,85
654,204,59
332,408,48
604,945,61
620,484,72
503,584,63
513,317,60
528,305,74
499,1728,51
736,967,78
323,540,74
587,420,82
535,467,71
314,301,83
315,292,68
184,156,55
576,273,61
486,355,68
578,658,57
961,660,61
549,623,67
488,407,68
365,354,75
806,691,55
857,10305,962
911,4584,745
858,5460,1188
852,4121,1108
855,5193,836
885,3870,911
870,3260,1015
860,5556,649
1941,2720,939
853,3670,868
856,4534,822
850,3712,706
865,2709,707
874,2524,690
867,2446,530
861,3695,548
875,5922,492
866,3446,425
863,3650,559
869,2843,583
872,4012,591
883,4251,637
864,2827,523
873,2539,497
879,1970,426
854,2734,395
1949,1803,512
876,2758,520
