产品SKU,订单产品数量,订单产品收入
1497,1,46
4019,1,27
3455,1,30
619,7,201
189,0,0
452,0,0
598,2,72
193,0,0
1770,16,517
114,14,694
2516,13,238
2082,10,379
69,20,624
3967,2,83
126,17,413
71,2,72
172,0,0
421,1,42
399,1,36
328,0,0
523,1,40
3986,1,32
3802,2,63
624,0,0
208,0,0
242,1,28
2524,0,0
210,1,40
1663,9,223
3405,1,48
3994,0,0
3567,1,24
2473,0,0
33,0,0
403,0,0
560,0,0
296,7,338
2048,1,30
1870,2,40
430,1,51
3526,1,42
3530,3,49
3047,2,74
3818,0,0
526,0,0
446,1,27
227,0,0
657,0,0
256,1,20
187,1,18
1888,8,228
230,1,35
190,0,0
449,0,0
191,0,0
2764,2,66
1741,0,0
1746,5,219
640,1,39
412,0,0
1110,1,32
4041,7,303
372,0,0
3915,1,29
115,0,0
273,1,46
1132,1,38
391,0,0
63,5,158
68,10,419
3150,26,654
22,0,0
1240,5,165
1246,0,0
1827,0,0
1286,1,53
3932,12,290
311,3,99
439,3,117
1337,1,46
3496,3,88
289,17,294
424,0,0
3865,0,0
3639,2,101
1360,9,128
1370,7,250
3964,0,0
144,3,88
292,12,421
294,0,0
1411,0,0
407,0,0
216,3,80
473,0,0
3328,2,48
218,1,22
3965,0,0
183,4,135
349,0,0
1946,1,37
408,1,31
221,1,25
91,4,121
254,1,49
2057,3,30
43,0,0
44,0,0
186,2,16
3261,3,12
304,2,23
3585,1,34
545,0,0
481,3,85
1474,5,79
260,2,103
307,3,59
4,1,33
1057,43,1364
266,1,49
3511,12,255
389,1,39
192,0,0
319,0,0
1977,11,268
3835,0,0
1902,1,35
3821,2,82
2165,7,249
61,0,0
62,33,751
168,8,322
335,7,213
198,4,154
1992,1,37
2182,18,367
1785,1,37
13,21,391
1914,0,0
3951,2,93
2085,0,0
1922,6,248
282,11,241
2012,3,98
122,18,436
3298,1,42
3922,15,215
129,0,0
1817,0,0
25,0,0
557,6,175
1299,6,178
28,1,38
3743,2,88
2763,0,0
468,0,0
30,3,74
3697,0,0
209,0,0
2731,2,69
2517,3,68
2033,1,29
2077,0,0
1934,7,150
1852,15,278
428,0,0
2044,0,0
651,16,467
37,0,0
297,0,0
89,3,49
252,0,0
149,1,23
3170,2,42
42,3,83
2090,7,152
384,2,80
1947,1,21
1876,5,43
3438,1,47
1455,0,0
1719,4,99
768,0,0
1475,0,0
1726,1,21
1486,0,0
451,4,108
746,0,0
1743,1,58
1967,0,0
634,6,163
356,0,0
833,2,71
3356,49,1046
434,3,107
758,4,73
3834,0,0
206,40,1848
505,0,0
600,3,156
646,0,0
360,1,31
420,0,0
636,0,0
3901,0,0
2039,1,41
2045,5,112
1441,0,0
3443,1,42
2095,3,105
253,5,98
385,3,25
303,5,27
3947,0,0
510,1,39
632,0,0
745,0,0
101,1,26
597,3,66
1066,0,0
2704,7,259
4017,0,0
1975,16,568
310,23,845
456,0,0
59,1,31
564,3,65
2795,1,44
357,2,68
3163,1,45
336,10,231
539,0,0
1913,15,406
200,7,100
120,27,688
599,1,28
1804,1,42
3117,5,146
567,0,0
329,0,0
364,3,89
244,1,51
177,3,79
1686,44,769
2051,0,0
3897,1,18
350,0,0
3267,4,117
3971,1,20
184,2,85
3049,0,0
2056,0,0
2086,1,7
3817,1,24
736,1,53
2131,2,78
610,1,45
3447,1,37
2076,28,776
1920,3,78
2011,8,230
1802,16,532
2015,3,93
417,2,63
1805,12,588
418,3,82
239,0,0
1826,5,159
359,1,48
3859,1,38
138,2,78
379,1,44
3445,1,52
3636,5,64
2324,5,86
3896,0,0
250,2,89
3171,1,22
1945,1,43
2054,1,28
222,2,62
185,3,60
4042,5,23
259,7,153
574,1,37
450,1,26
317,4,167
355,0,0
268,0,0
2167,7,100
276,0,0
65,0,0
644,7,83
1595,12,351
395,3,54
3151,13,272
464,1,32
243,1,43
2087,5,92
175,0,0
1846,1,32
2523,0,0
471,1,39
179,0,0
653,0,0
152,3,55
3054,0,0
444,1,45
3446,2,109
224,1,11
618,0,0
158,0,0
502,0,0
448,0,0
731,0,0
53,0,0
308,1,31
1055,1,41
2462,1,54
262,2,66
607,1,37
1080,7,250
4016,7,131
4000,13,344
457,3,85
2393,28,1013
323,0,0
2406,3,118
3444,4,176
358,0,0
1209,0,0
463,0,0
1231,3,70
2234,0,0
207,1,35
397,1,37
77,2,86
3519,0,0
488,1,36
2272,0,0
2427,0,0
3179,0,0
467,1,26
401,3,64
83,30,602
1348,0,0
343,0,0
3260,3,86
1675,23,687
472,2,88
147,8,298
181,1,28
3440,1,17
220,1,27
153,0,0
255,0,0
156,5,16
409,9,38
95,0,0
491,0,0
321,0,0
515,2,65
3364,15,476
645,1,41
2248,1,28
340,7,208
649,0,0
533,3,61
2434,5,69
3439,6,167
3875,5,106
817,3,101
553,0,0
509,3,40
631,0,0
1891,4,122
3263,0,0
4020,0,0
2294,8,314
497,3,134
3178,3,55
219,3,54
479,3,93
620,2,71
2098,5,68
554,3,44
486,3,125
1224,4,84
516,0,0
530,2,68
602,0,0
729,5,137
824,2,57
382,0,0
3448,4,103
571,6,144
3785,7,39
806,0,0
1501,5,74
917,1,49
827,1,25
492,1,45
3107,6,197
3839,13,313
528,5,110
782,1,28
3708,15,206
588,0,0
3487,1,33
3833,8,235
142,3,62
910,12,373
519,1,34
581,2,80
3182,6,143
706,4,145
604,0,0
387,1,39
633,4,138
575,1,33
794,2,96
4043,0,0
1978,0,0
587,3,122
614,1,40
2638,1,41
2279,3,78
2518,1,33
3565,4,198
427,1,29
312,1,46
178,2,53
652,5,72
629,6,124
711,1,28
563,1,19
594,0,0
512,0,0
1530,3,69
1543,3,103
373,5,84
322,2,78
1996,3,106
3109,1,26
621,7,372
643,2,58
2977,5,127
3166,0,0
766,1,38
362,0,0
3931,3,133
3906,0,0
342,3,99
1942,15,451
3441,0,0
383,3,79
3433,5,113
352,5,26
316,2,53
333,0,0
576,5,96
514,1,28
324,1,45
2192,25,580
849,2,116
532,0,0
376,0,0
549,2,55
330,1,39
558,6,131
3269,4,144
3495,4,121
2507,2,72
810,3,75
524,1,19
38,27,568
552,5,125
331,3,95
3268,6,117
1476,1,26
477,1,35
2709,0,0
279,5,129
17,17,442
623,8,219
73,0,0
1823,3,62
1326,0,0
378,3,55
496,1,32
3048,0,0
2036,1,37
351,2,54
537,3,93
562,0,0
573,5,88
595,0,0
2385,1,62
3970,1,35
2084,0,0
2953,1,38
199,2,63
339,1,28
173,0,0
647,1,26
174,4,102
140,3,94
650,1,49
3363,1,34
3437,3,98
3635,1,42
143,0,0
1862,1,33
1943,0,0
299,0,0
2876,5,67
542,6,140
616,5,132
3365,8,147
3262,8,228
3050,2,65
2520,9,29
225,0,0
54,12,371
796,6,127
3640,10,181
707,5,93
3056,5,185
770,1,38
3244,9,116
3660,15,286
3641,1,26
812,1,25
508,7,185
1864,4,104
826,10,185
708,5,75
950,9,363
3903,5,157
3709,11,238
704,8,280
753,3,123
990,13,236
759,4,124
3053,38,756
784,42,624
3270,5,193
3436,1,25
816,9,64
805,11,369
763,0,0
1915,4,113
3490,13,394
3836,4,136
3227,10,404
664,4,119
825,12,271
498,5,223
726,3,46
1965,5,118
2525,2,40
522,7,181
3357,3,91
834,2,57
540,11,281
3905,4,105
678,3,54
829,1,54
493,27,810
3023,1,30
690,11,157
714,5,213
762,8,291
561,11,320
506,1,28
507,8,156
1025,6,201
787,4,107
724,7,195
638,11,214
543,7,133
3266,9,169
769,4,107
3295,0,0
798,1,46
671,7,229
845,13,247
474,5,106
1154,1,37
733,6,112
494,1,31
613,3,74
637,4,80
3368,11,340
3183,9,353
1590,15,421
3809,4,195
3531,12,396
2530,1,36
846,12,96
3634,2,40
764,40,904
3184,5,117
569,6,217
520,8,175
544,14,291
538,5,133
476,3,84
757,7,178
743,6,196
823,3,91
590,4,47
3789,5,146
3449,2,55
3,4,162
3051,5,109
1269,9,238
836,7,216
568,0,0
721,29,582
3934,3,83
2302,7,109
3453,10,237
655,14,216
482,0,0
583,5,140
793,9,262
503,3,48
267,31,1192
521,1,42
236,25,1260
701,2,54
3804,5,148
761,3,172
535,2,64
804,5,147
589,5,52
182,6,101
702,3,82
3712,7,164
832,5,135
2892,15,414
3477,14,237
4018,3,51
1314,1,42
245,1,42
3366,4,153
3180,6,188
1710,5,77
3972,4,124
582,5,80
780,6,192
2381,3,87
2140,1,36
754,0,0
738,5,122
3993,3,107
344,9,157
723,3,100
661,5,80
627,6,183
3714,9,270
