产品SKU,订单产品数量,订单产品收入
619,18,516
4,0,0
101,1,46
1057,53,899
1896,15,236
3466,38,884
372,0,0
2708,6,186
2795,1,32
459,0,0
1994,12,438
3388,0,0
2512,16,565
2406,0,0
3390,0,0
3150,16,319
1802,40,1057
463,1,29
2818,0,0
1814,0,0
1240,10,201
132,19,447
1246,1,34
465,3,117
376,0,0
774,0,0
81,7,153
364,1,26
3833,3,60
2523,2,70
470,0,0
3041,1,48
2038,0,0
346,3,104
294,0,0
3832,9,295
37,2,64
2673,17,333
1697,17,602
2332,3,51
299,0,0
3440,1,27
301,1,31
151,1,26
332,2,62
3049,5,72
253,4,96
223,4,30
3818,0,0
158,1,31
1721,0,0
306,0,0
1888,6,139
260,3,122
5,3,62
102,1,27
1739,5,166
3259,0,0
605,26,1067
1966,17,513
107,0,0
1975,9,338
2706,5,127
112,1,23
8,0,0
2393,18,654
1132,1,33
1775,0,0
275,1,40
3356,50,1057
2182,24,550
392,11,232
281,13,442
2012,3,108
337,0,0
3834,3,116
206,45,1393
3708,15,427
1626,6,196
1629,8,249
3527,0,0
843,1,25
3562,1,42
175,0,0
3253,8,236
2036,1,34
2519,2,63
2044,0,0
366,12,522
472,1,27
297,0,0
250,5,78
429,2,77
252,5,170
149,0,0
2051,1,25
1706,1,13
3171,1,22
42,1,33
837,0,0
222,1,28
2059,1,8
385,5,24
303,0,0
225,0,0
93,0,0
1476,1,17
1724,0,0
657,1,18
97,0,0
1496,2,78
2884,1,52
2926,7,165
1497,0,0
258,1,52
1,0,0
1501,0,0
1044,0,0
1736,1,34
353,0,0
2745,0,0
2703,2,86
1511,0,0
1969,4,93
3511,21,439
3537,9,253
1110,3,73
598,6,237
1540,7,216
3239,0,0
3835,0,0
1547,3,78
270,1,45
1127,1,33
115,0,0
2167,1,34
273,3,87
169,0,0
118,2,90
565,2,50
1788,6,184
12,7,289
2193,1,56
358,2,57
1795,5,130
68,3,92
1805,16,314
22,0,0
172,4,75
23,1,49
1816,3,45
207,1,36
2023,6,207
75,3,80
1827,1,27
1258,0,0
807,7,115
76,0,0
3516,0,0
808,3,65
3360,4,119
3519,2,88
2272,0,0
921,0,0
2729,3,107
2278,5,144
137,2,48
2510,1,19
242,2,65
2069,1,28
2072,3,60
2989,1,37
139,0,0
2521,0,0
211,1,31
3584,0,0
2286,1,47
426,5,143
291,1,27
33,0,0
144,1,36
88,8,237
442,3,116
1704,0,0
3328,0,0
2090,0,0
183,5,112
443,1,36
1442,2,45
2479,3,84
1874,0,0
1947,3,71
153,6,35
3434,1,11
3261,1,6
1876,2,24
