产品SKU,订单产品数量,订单产品收入
98,1,37
2884,0,0
1952,0,0
1733,1,46
449,0,0
1967,0,0
56,8,174
1540,3,156
310,103,1989
59,1,25
271,0,0
1126,5,77
1556,0,0
274,14,323
434,1,48
1997,21,493
3107,17,316
1916,8,222
15,1,41
1920,1,34
1799,18,520
1800,5,179
849,1,35
1234,0,0
239,1,27
172,1,36
24,1,49
2612,1,42
465,3,106
77,0,0
1930,1,48
2264,4,194
399,0,0
803,21,306
843,4,134
210,3,81
1348,0,0
2077,3,99
3041,0,0
1672,0,0
144,0,0
213,9,197
292,22,623
295,30,408
1939,0,0
298,2,63
429,0,0
2051,0,0
218,3,91
3171,2,44
301,1,28
1945,0,0
183,4,117
443,4,87
155,12,47
352,4,21
1876,4,61
159,0,0
95,1,17
1057,59,1035
2462,0,0
2776,2,93
2549,41,898
107,1,42
1083,2,93
388,10,256
1753,0,0
319,0,0
1755,17,335
634,0,0
6,3,84
1761,9,305
1902,1,40
309,1,31
273,0,0
1775,1,44
275,2,71
65,0,0
12,10,391
3444,3,164
1593,2,83
2008,0,0
337,0,0
124,3,73
2606,18,370
437,16,466
74,1,45
2023,19,353
423,1,29
3157,0,0
2510,3,69
242,2,77
175,0,0
2290,5,111
470,1,34
246,0,0
3437,0,0
2035,9,329
34,1,33
2038,36,865
347,24,481
2475,0,0
406,0,0
442,0,0
216,9,221
1697,7,160
1943,0,0
299,0,0
3049,3,51
185,0,0
2682,0,0
46,3,22
409,4,18
305,1,30
228,0,0
2067,0,0
1494,9,218
2,0,0
1734,0,0
1503,4,156
353,1,40
2745,0,0
1963,7,158
263,0,0
3259,0,0
1514,1,27
106,9,253
1070,0,0
1071,4,105
1749,0,0
1079,6,229
1969,5,114
57,17,420
1971,7,187
1533,3,133
1762,16,456
269,1,48
456,0,0
1767,2,88
1904,1,45
114,38,574
115,2,81
1129,1,33
272,0,0
1150,15,527
1998,13,559
393,2,73
1788,9,214
1582,7,123
1915,9,187
2200,15,359
3477,10,262
740,9,157
3151,27,435
71,1,31
2018,20,507
