产品SKU,订单产品数量,订单产品收入
3,9,255
263,1,41
452,3,49
1897,36,835
1971,12,419
1761,20,618
1762,13,403
1766,7,139
1767,1,45
61,0,0
62,29,692
414,0,0
118,0,0
1780,13,302
198,23,368
119,8,271
749,1,25
1598,3,59
1796,3,122
68,11,345
700,9,421
1814,1,39
2023,31,627
2509,3,88
136,4,102
81,2,90
2510,2,55
243,1,36
209,1,40
211,5,108
426,2,75
1852,28,939
36,7,310
1395,4,77
405,0,0
2443,22,533
1862,4,181
652,0,0
252,14,288
300,0,0
151,2,64
1874,3,45
254,3,61
155,4,21
2511,5,44
1727,1,16
1892,29,442
4,0,0
103,3,99
2462,1,54
267,58,1753
1744,9,175
108,1,37
389,0,0
1094,6,198
1532,22,397
1975,44,1326
6,11,338
1902,1,43
1122,3,84
274,10,305
11,4,149
1155,14,395
1996,12,250
2512,21,550
1588,14,587
1187,16,491
1921,1,37
1795,8,363
2011,0,0
121,11,254
124,5,83
1811,1,20
1924,13,511
2513,7,138
240,7,226
1926,3,68
1827,0,0
1828,11,205
466,52,970
76,0,0
1833,40,962
139,5,137
2077,1,35
2036,5,165
560,0,0
2038,32,871
213,3,137
294,1,35
35,8,208
1856,0,0
1939,1,31
1940,21,706
39,1,31
41,0,0
1944,0,0
42,1,32
154,3,19
255,3,22
1450,0,0
256,1,21
1728,0,0
1,0,0
259,7,338
1734,0,0
1735,1,25
1961,1,52
1508,58,1756
2497,0,0
1969,8,272
455,6,225
413,1,54
271,0,0
2393,72,3610
2514,0,0
195,1,23
196,13,337
1141,12,213
1991,8,205
1912,0,0
1913,21,717
1594,17,507
281,23,335
203,18,496
1199,3,147
2515,1,32
1210,3,78
1231,0,0
1234,0,0
1815,1,32
23,1,26
131,0,0
1825,26,446
287,1,23
807,12,240
2260,59,1372
1647,3,109
78,0,0
1932,2,49
1842,3,64
30,3,85
1845,0,0
1357,0,0
246,0,0
290,0,0
1934,18,395
2439,3,85
2074,18,442
293,1,29
1680,19,805
1686,41,1472
1857,37,1384
147,43,1027
570,12,365
1449,1,11
156,3,28
93,0,0
1725,2,44
49,0,0
578,30,684
172,1,28
601,3,96
624,1,31
242,5,113
175,0,0
2070,1,35
214,2,56
406,0,0
407,5,117
699,3,64
218,2,71
349,3,48
220,2,63
152,2,67
430,10,179
368,3,44
657,2,45
160,0,0
191,0,0
264,1,42
412,1,48
454,2,66
355,2,134
164,1,52
456,0,0
458,1,40
168,24,705
197,11,364
1992,5,89
13,19,1118
122,53,978
1805,25,734
1610,16,714
2423,22,805
28,1,40
208,5,71
439,7,287
32,15,263
603,4,152
345,3,65
247,13,533
37,3,55
251,5,110
1945,1,30
2055,6,183
221,6,119
222,10,279
2057,7,94
2059,4,29
227,1,20
1724,3,51
2,1,29
190,0,0
268,0,0
611,13,479
371,0,0
1764,19,530
372,1,21
120,9,323
2516,7,161
1593,7,180
416,21,681
740,10,319
173,2,76
361,0,0
77,5,85
1641,20,683
364,1,36
2072,4,73
210,0,0
2517,0,0
2033,14,315
470,3,58
34,1,45
297,1,29
429,6,170
1868,0,0
217,2,64
299,3,55
443,1,23
408,7,148
444,0,0
1446,2,25
303,4,27
2075,3,89
95,2,40
306,1,21
229,1,20
1951,1,42
1739,35,924
265,28,1166
2388,2,73
272,1,33
273,5,118
275,1,29
459,1,35
15,1,34
171,1,39
22,2,68
75,0,0
2025,1,38
843,1,45
1839,0,0
378,2,77
379,0,0
2087,0,0
146,1,28
1873,3,132
1453,0,0
618,0,0
158,1,29
2066,3,44
96,0,0
370,20,449
102,3,56
1894,14,715
450,5,87
233,1,32
266,0,0
