产品SKU,订单产品数量,订单产品收入
291,0,0
1377,12,211
181,0,0
90,1,28
653,1,27
1946,3,100
3441,1,20
2054,2,73
3526,1,40
444,2,47
629,0,0
185,2,61
1947,1,24
368,2,64
44,4,15
156,1,5
847,1,31
711,0,0
573,1,30
188,2,49
190,0,0
308,1,46
1752,10,207
454,0,0
3995,9,392
4017,4,145
59,0,0
1905,5,164
2393,60,1829
2958,1,29
393,1,24
13,26,620
3514,7,135
621,6,133
1182,10,519
1920,7,242
2082,8,260
691,3,112
124,0,0
3364,33,400
1805,17,463
623,0,0
172,0,0
464,0,0
207,1,34
75,3,76
3046,1,41
567,2,80
422,1,44
3931,5,103
175,0,0
210,1,49
3445,1,32
4135,0,0
4158,0,0
560,2,70
2475,1,37
1403,1,48
407,0,0
148,2,71
349,0,0
383,2,45
3443,1,41
221,1,35
3050,2,75
4092,1,7
4134,3,17
409,3,21
316,1,24
97,1,22
4132,3,94
262,1,40
2703,0,0
1748,0,0
453,2,77
576,1,47
1110,1,49
4000,22,397
2154,3,57
3786,0,0
391,0,0
1141,7,129
1991,5,180
3387,49,825
1912,3,139
1152,0,0
1996,1,32
199,1,35
3918,3,82
1913,20,822
643,0,0
1917,2,58
599,1,37
840,17,383
25,1,38
2025,1,30
77,0,0
835,1,36
4080,3,71
421,1,39
2983,0,0
2634,12,318
208,0,0
2072,7,108
468,0,0
2651,3,94
34,0,0
86,3,147
250,0,0
38,23,646
473,3,74
3265,0,0
4083,0,0
2090,0,0
1945,1,40
151,0,0
152,1,37
184,1,48
4054,1,7
255,1,6
4084,2,15
46,3,27
225,0,0
768,0,0
618,0,0
736,0,0
158,0,0
355,0,0
2098,2,60
272,0,0
459,1,25
324,1,28
758,0,0
600,0,0
340,1,46
613,0,0
523,0,0
2638,1,49
3531,7,242
3529,2,41
2733,3,61
403,0,0
405,1,35
3227,6,170
1868,3,76
3262,4,94
628,4,132
4060,1,9
563,0,0
256,0,0
1501,0,0
4,1,33
449,2,77
1066,2,75
1967,0,0
607,2,98
2385,3,123
3893,7,270
309,0,0
456,0,0
193,0,0
2167,3,60
321,1,45
528,0,0
493,33,603
557,10,378
242,3,99
209,0,0
721,9,269
603,8,161
2048,1,26
179,3,64
472,5,180
382,6,74
331,2,50
367,0,0
443,4,129
