产品SKU,订单产品数量,订单产品收入
1957,1,38
190,0,0
1057,32,879
454,1,47
2385,3,114
1525,0,0
4000,18,646
4043,0,0
1767,3,59
1905,13,210
1982,0,0
273,0,0
199,1,45
200,1,37
1917,4,118
171,0,0
239,0,0
2505,0,0
488,1,40
624,0,0
3349,18,377
2510,2,40
211,1,45
2033,13,170
246,0,0
1377,10,239
294,0,0
347,16,414
1857,45,1284
1943,0,0
90,2,51
3265,1,20
2090,2,90
1945,1,56
367,5,124
222,6,177
1947,2,47
44,1,7
4134,0,0
1447,3,17
1876,0,0
768,1,39
618,0,0
711,4,152
1472,1,30
158,0,0
1888,9,277
1733,0,0
1735,0,0
53,1,42
1055,0,0
1893,0,0
451,3,74
1966,16,477
606,4,135
108,1,37
1522,3,69
58,15,346
3980,26,624
4016,2,65
59,0,0
3821,7,223
3915,5,87
275,0,0
169,3,62
1992,1,32
1996,4,150
3918,1,56
12,9,186
2001,9,312
3514,1,59
1919,14,244
2082,9,455
2085,1,43
1201,0,0
2011,0,0
68,8,222
2968,0,0
2412,0,0
2234,1,34
1244,9,188
2023,14,497
75,1,44
173,0,0
835,0,0
2256,23,462
1646,3,74
3986,3,114
2638,0,0
311,0,0
439,0,0
244,3,72
210,0,0
3994,3,126
3041,1,41
2298,8,258
2036,1,44
2519,3,124
3683,0,0
1672,0,0
1675,32,673
213,11,176
295,26,549
1686,54,890
3774,18,469
3170,0,0
2052,0,0
301,0,0
1874,1,23
4114,0,0
2511,1,9
3830,0,0
4119,7,211
847,0,0
502,0,0
2884,3,124
4019,0,0
1501,6,133
1098,2,70
1975,17,303
1543,0,0
276,3,50
336,4,141
236,26,1081
358,0,0
395,1,27
172,0,0
420,3,52
649,0,0
3179,1,37
208,1,43
209,0,0
3635,0,0
471,2,81
2324,0,0
38,29,732
2672,9,228
3054,1,31
3530,2,46
537,2,74
4095,19,833
573,1,19
448,0,0
308,1,36
2704,1,33
575,1,44
598,10,359
8,1,37
1547,3,66
357,3,127
323,2,80
833,1,45
4117,1,46
2516,9,181
3444,4,157
599,0,0
126,10,222
3859,3,83
523,1,40
1314,0,0
242,3,145
296,13,338
2048,1,33
250,1,29
570,7,316
652,1,26
542,4,128
223,1,7
409,5,26
481,3,71
582,0,0
4132,4,135
4046,13,273
607,1,41
1748,1,34
734,1,28
319,1,53
1110,0,0
309,1,25
434,0,0
646,0,0
397,1,38
1299,3,109
364,5,81
650,3,102
3269,1,34
3496,3,138
403,1,33
3964,1,30
2045,4,122
2440,1,33
248,14,386
1942,6,292
298,3,50
1697,11,271
182,5,126
1441,4,85
383,5,61
2054,4,121
431,3,71
444,3,51
253,1,45
255,4,26
2520,3,20
3947,1,28
227,0,0
259,1,69
1967,0,0
2134,4,81
412,0,0
310,88,2132
2084,0,0
10,7,119
391,0,0
373,5,89
118,2,62
3356,34,951
3107,8,204
3151,11,441
206,52,994
1805,22,513
437,1,51
623,1,44
375,1,30
3708,14,495
2977,0,0
3046,1,47
328,0,0
4115,5,174
136,4,131
2069,4,84
468,0,0
496,1,53
3674,1,35
3445,3,62
3437,0,0
3901,1,36
2039,3,63
472,0,0
3896,3,104
181,1,31
3892,0,0
351,3,49
3050,6,163
2056,2,71
3446,4,116
2057,5,41
1476,1,24
257,2,78
1033,0,0
191,0,0
192,0,0
1764,13,608
457,0,0
166,1,40
1132,3,60
335,15,548
1785,0,0
1913,17,550
325,1,23
1209,2,61
337,5,129
69,8,173
73,1,26
464,2,49
1240,8,154
207,1,32
438,1,39
396,66,1613
77,5,97
421,1,33
28,1,36
3931,1,42
1654,1,51
2517,0,0
289,4,127
4135,0,0
143,0,0
2294,0,0
291,0,0
33,1,35
345,2,85
293,3,66
405,1,33
756,7,328
824,5,87
473,1,37
4083,0,0
349,2,76
443,1,29
430,1,48
3443,1,38
221,2,63
3780,1,8
2689,18,617
93,0,0
2131,7,181
2709,1,33
3295,1,36
2473,1,69
552,11,127
156,8,54
576,4,110
3357,9,209
645,1,35
1823,2,47
532,1,25
362,2,76
4113,45,757
558,0,0
2088,3,62
721,7,303
3366,5,149
179,3,69
299,0,0
3182,4,118
3268,2,69
315,3,128
617,1,37
385,3,24
594,1,14
355,0,0
3995,11,305
514,1,43
2098,1,33
4127,0,0
644,4,79
4136,1,44
342,1,35
4062,3,55
4137,2,51
581,3,53
543,8,161
3448,5,101
3449,4,63
563,1,21
1743,2,114
832,1,34
1916,5,124
600,1,38
3660,15,478
2032,1,50
212,6,125
3972,11,232
224,5,54
632,1,25
456,5,164
643,2,43
3364,16,474
3967,4,135
2248,2,91
588,3,90
568,5,81
467,8,164
3833,1,33
3405,0,0
4020,3,111
4138,0,0
177,2,80
2443,19,569
1868,1,32
616,7,145
817,4,116
3433,7,144
4065,7,27
4042,3,18
316,0,0
574,0,0
640,1,48
2140,3,60
3447,1,27
564,5,259
459,1,42
621,10,284
3838,4,75
3114,2,82
17,12,310
359,3,57
376,0,0
360,1,24
541,1,23
3864,6,178
424,1,23
2526,0,0
3636,4,77
603,3,81
627,11,284
628,3,48
571,1,27
629,7,88
826,5,105
4092,3,16
4084,6,27
352,5,18
510,0,0
610,0,0
1111,4,88
515,1,45
417,1,35
516,1,40
418,1,26
4096,12,496
567,2,68
3934,0,0
3993,0,0
245,1,40
3531,2,85
2850,1,35
653,0,0
384,10,230
3971,3,48
303,4,30
304,5,23
188,3,51
101,0,0
54,7,191
597,1,42
633,10,257
372,1,27
193,2,56
61,1,44
321,0,0
235,15,519
528,6,138
759,0,0
4018,3,75
549,0,0
557,6,140
3519,0,0
329,3,85
378,0,0
1862,1,40
382,2,38
2051,0,0
331,6,199
184,7,294
2095,3,74
811,8,163
4060,4,32
307,0,0
450,1,27
262,2,80
2764,0,0
1066,4,138
512,2,70
2142,0,0
356,0,0
2154,1,42
477,0,0
3786,5,143
324,2,92
2406,1,33
339,1,35
3166,0,0
647,0,0
422,2,55
174,6,209
379,1,43
380,0,0
2518,0,0
4057,1,43
2531,0,0
152,5,93
3262,2,84
4139,5,74
3817,0,0
225,0,0
657,3,50
793,14,461
486,1,28
587,2,76
3976,0,0
551,1,71
816,8,93
561,21,353
757,5,101
775,7,140
487,1,22
3902,14,231
704,8,212
503,5,102
504,4,86
2892,9,319
579,3,75
743,8,202
3785,6,39
686,3,50
602,4,175
365,1,40
779,2,106
825,28,486
690,3,59
524,8,231
3180,12,417
1269,1,32
4064,1,45
702,15,200
3712,14,337
725,4,118
3789,8,278
474,10,240
614,1,25
569,3,126
678,2,55
706,4,122
1958,9,230
1915,5,161
3185,3,99
830,1,24
3903,2,73
2086,3,19
2192,11,608
738,5,166
701,1,41
762,8,229
589,7,78
590,8,97
654,5,145
1154,1,32
3373,5,172
3053,46,1004
3263,1,29
550,6,154
344,3,51
959,1,47
823,3,57
718,7,152
638,5,212
476,1,28
754,9,194
834,3,99
836,5,125
3714,12,326
3453,8,193
482,7,118
1590,7,215
764,22,586
613,11,199
1326,1,25
497,4,117
3178,1,19
3369,5,244
479,12,273
3634,7,109
595,3,56
522,15,438
493,22,939
1268,8,180
3184,2,85
3836,1,38
787,8,230
729,10,241
805,3,74
333,0,0
2381,0,0
4067,0,0
766,3,92
540,8,350
533,0,0
559,7,179
3709,6,190
655,8,180
800,3,77
3266,11,172
509,3,106
769,1,32
794,1,28
491,2,57
784,28,848
782,1,32
340,5,88
636,0,0
637,5,142
314,6,157
3183,6,235
631,1,23
387,1,35
4017,0,0
3970,3,104
554,4,64
521,8,234
492,5,190
330,3,51
427,1,27
519,0,0
3227,8,188
520,7,115
219,7,188
553,2,54
829,0,0
530,1,33
2279,2,109
1356,6,142
810,7,157
671,6,205
3441,7,107
498,7,174
4061,4,28
604,0,0
620,6,183
539,2,44
758,4,75
1619,0,0
714,9,221
507,0,0
3439,6,356
312,2,62
2302,3,97
3267,9,108
544,5,103
1087,22,327
1024,8,273
771,32,676
1001,8,133
998,21,528
2529,20,343
2465,19,504
697,6,211
3188,21,710
994,13,363
992,10,287
1027,8,190
435,18,509
996,5,191
906,9,257
666,30,513
963,8,279
943,10,386
747,9,179
1013,7,196
846,15,81
3788,15,349
1007,4,148
3996,12,283
688,10,304
3645,7,163
2739,11,346
982,7,197
861,27,713
999,9,394
797,17,357
682,6,179
3644,10,208
591,0,0
673,6,268
3042,48,1831
940,1,32
1301,11,555
904,20,643
1011,9,185
932,9,260
983,8,297
3273,0,0
3790,5,137
4045,3,116
720,9,283
751,4,99
693,32,840
3975,2,64
1008,7,220
993,5,107
873,8,201
658,10,268
3716,21,643
981,9,227
677,13,262
755,9,257
966,2,66
1018,4,170
2100,9,158
741,3,57
791,8,251
572,0,0
750,12,357
761,12,532
995,4,100
719,7,165
508,9,233
978,13,193
724,11,415
991,20,473
989,11,225
946,1,57
3842,22,578
799,10,235
821,10,229
986,7,266
684,4,130
480,0,0
1719,1,32
732,8,188
957,9,227
3451,10,373
3452,19,421
3974,2,61
1536,1,39
4105,1,46
665,7,80
672,8,333
670,4,142
733,1,31
1028,13,327
483,1,34
1012,2,74
786,6,86
845,34,827
4021,1,43
1010,25,343
804,11,208
1015,5,174
499,0,0
1565,12,381
3713,13,184
3382,4,129
708,3,85
723,5,222
432,13,290
676,7,114
770,1,24
681,5,212
2528,4,73
801,1,55
818,8,251
1136,11,219
3905,5,71
88,10,523
1864,6,147
4039,10,56
3051,7,167
4066,7,175
717,14,337
586,9,208
3719,2,96
3261,4,23
526,0,0
707,4,109
3904,3,64
3109,3,102
4140,5,105
683,7,143
4068,7,128
689,12,245
662,12,535
713,13,266
798,6,109
1025,10,179
500,14,366
1965,6,174
3906,5,100
698,1,38
730,10,181
796,3,128
722,3,84
1016,11,233
1710,13,238
267,57,1141
815,3,58
2525,7,94
948,3,140
667,3,79
777,3,66
675,11,309
726,6,94
3056,1,38
3718,3,50
3023,5,125
2999,2,59
812,2,71
490,10,120
679,6,137
2093,7,169
820,7,210
506,3,110
2530,9,229
664,3,62
753,6,137
3436,1,31
518,7,177
844,3,60
661,5,117
716,1,32
4085,14,90
806,1,57
2922,5,113
857,3,51
4111,56,1873
1004,0,0
3641,4,126
780,7,177
990,9,357
3060,3,88
4022,121,2458
851,54,1633
277,51,2273
862,35,1334
911,55,2658
3998,57,995
870,64,1146
858,91,1999
850,61,2087
868,42,1479
828,19,910
852,46,1564
3057,55,775
853,31,743
1941,27,565
2410,50,1257
872,65,1349
3977,33,1303
901,33,1224
855,29,1072
1019,48,1035
864,32,1212
863,28,796
1949,40,1306
348,58,1128
2708,5,251
3997,24,873
3372,32,904
2101,34,909
866,29,1121
878,54,1322
3978,18,398
883,36,547
877,44,1135
875,47,1297
2102,20,459
1022,35,884
854,26,754
1160,45,1010
856,47,838
879,10,435
548,19,341
1636,13,396
887,46,835
1252,18,861
1649,19,395
511,27,841
871,25,700
919,18,603
865,63,1930
886,19,893
936,18,586
848,1,37
882,23,579
893,22,798
888,27,495
4044,39,647
1014,16,330
3643,27,780
895,36,858
928,22,579
896,31,664
859,11,316
889,29,618
884,29,688
876,40,675
952,18,643
789,2,84
892,23,443
897,13,387
3907,17,563
1219,19,353
2010,23,834
869,15,389
3840,14,417
874,26,617
941,17,522
867,40,921
709,9,307
2222,12,333
3841,23,509
908,19,397
891,61,1564
880,8,171
899,25,673
914,16,291
907,31,781
894,17,498
984,14,542
912,15,422
3187,59,1432
988,17,283
931,29,556
3189,19,624
898,16,619
