产品SKU,订单产品数量,订单产品收入
448,1,46
230,0,0
1739,19,342
597,5,195
56,7,220
389,0,0
454,0,0
1098,0,0
2154,0,0
309,1,42
1549,8,215
193,0,0
1770,14,435
3702,13,354
119,13,220
2512,14,524
839,1,32
337,0,0
1805,22,794
73,0,0
75,0,0
173,0,0
2025,0,0
3046,1,47
399,1,30
3519,0,0
208,0,0
2434,4,169
140,0,0
175,0,0
83,12,281
3437,0,0
560,1,43
144,0,0
346,3,151
1686,31,1003
250,1,24
429,1,39
181,0,0
1707,0,0
349,1,34
430,3,57
3526,2,97
3433,5,99
185,3,96
44,2,10
224,4,21
562,1,47
546,0,0
657,1,16
1497,1,39
2,0,0
2916,0,0
189,0,0
3259,1,27
2549,20,765
1748,1,51
108,0,0
3511,7,260
192,1,39
372,1,35
1905,6,184
61,0,0
62,15,488
168,14,334
235,16,224
3163,0,0
198,3,95
1997,17,236
3150,15,390
1802,20,350
2018,14,318
129,1,39
3117,2,104
419,1,22
2818,0,0
623,1,29
172,0,0
2421,0,0
2272,1,53
3743,1,46
2427,2,87
3562,1,49
3442,1,46
138,1,23
2518,1,28
1663,8,210
3678,0,0
471,1,35
1934,4,122
213,10,356
2048,4,140
1939,0,0
1940,17,403
473,0,0
1704,3,46
3049,3,72
2056,0,0
2520,5,19
502,1,35
1886,1,17
187,0,0
2374,5,144
308,0,0
449,0,0
2775,0,0
451,2,51
607,1,32
1896,13,256
3910,16,469
319,0,0
611,9,187
598,3,88
3835,0,0
1766,3,62
1552,0,0
1982,1,44
2796,0,0
272,0,0
1132,0,0
391,3,109
275,0,0
335,21,584
276,1,48
3356,38,1223
336,7,342
2206,3,76
1595,26,467
860,0,0
2490,0,0
1201,0,0
69,16,375
1231,2,93
171,4,134
1240,18,362
557,6,244
808,1,37
2029,7,305
2425,0,0
400,0,0
439,2,72
3887,1,38
210,1,31
2523,0,0
426,1,44
872,1,54
651,25,637
248,3,78
2508,18,549
1938,9,325
88,5,193
147,11,242
252,2,79
3328,0,0
42,0,0
301,0,0
183,2,74
408,0,0
223,1,13
1875,1,12
155,1,7
2522,1,8
3261,4,37
156,2,19
3438,0,0
445,0,0
93,0,0
1472,1,31
158,1,24
3083,3,128
620,1,36
191,0,0
453,5,174
514,3,56
3447,1,26
457,1,47
460,3,89
833,3,142
643,1,28
358,1,36
375,0,0
782,1,39
580,0,0
376,1,30
360,0,0
549,2,101
420,1,40
523,1,30
364,1,46
468,2,52
541,1,36
209,1,63
3896,1,30
382,0,0
299,0,0
2876,14,232
182,5,86
383,4,115
384,4,75
571,5,124
3449,3,48
307,0,0
450,3,81
605,19,660
878,1,47
3646,3,58
355,0,0
554,3,69
1785,0,0
463,3,66
207,0,0
311,1,34
379,1,35
343,4,209
3901,1,45
2733,7,175
178,1,29
403,0,0
1850,8,215
179,1,38
2090,5,136
351,3,82
3530,2,74
3446,4,140
255,0,0
3947,3,80
656,0,0
446,0,0
595,6,77
2884,0,0
262,1,38
512,0,0
640,3,53
634,1,48
2084,3,81
2167,1,33
434,1,46
1913,21,563
621,19,447
325,1,34
206,41,809
418,3,99
3708,21,404
77,3,57
3359,18,862
329,1,30
636,1,37
467,3,67
1348,0,0
472,1,40
3159,6,185
149,0,0
3265,0,0
350,0,0
616,8,168
3054,4,74
3050,1,20
253,3,78
225,0,0
2685,6,147
256,0,0
594,0,0
188,0,0
633,27,636
3466,48,1318
356,1,25
1975,25,692
59,1,30
2708,4,99
197,2,56
323,1,48
2182,20,314
17,7,320
3053,29,672
397,0,0
421,1,34
243,0,0
3698,1,32
3635,1,49
3783,4,167
1376,1,29
407,0,0
2443,1,40
1868,0,0
221,3,77
3047,1,23
444,2,58
186,8,45
304,5,41
3816,5,37
3817,0,0
386,0,0
1476,2,51
49,1,28
190,0,0
53,1,29
