产品SKU,订单产品数量,订单产品收入
2884,1,48
3455,1,23
448,1,41
1501,2,75
1005,20,685
574,1,48
53,1,43
451,3,82
2125,10,138
266,0,0
2549,27,661
412,0,0
1530,1,39
2792,1,20
2708,10,418
235,5,213
276,0,0
3292,1,35
2406,2,70
3151,14,278
69,35,616
239,0,0
375,0,0
73,0,0
2234,0,0
1246,0,0
647,0,0
77,0,0
421,0,0
1930,0,0
3932,6,181
2272,1,39
2729,0,0
242,4,141
3264,0,0
3437,0,0
4015,2,75
603,12,295
1671,7,103
2074,11,271
294,3,89
296,8,165
37,0,0
472,0,0
147,15,286
3170,0,0
3440,0,0
1945,3,67
183,3,59
349,4,125
443,3,88
430,1,33
536,1,28
2057,2,39
303,5,27
225,0,0
1719,1,33
736,1,33
96,1,22
353,1,41
449,2,57
263,0,0
3259,0,0
454,0,0
4016,6,196
4017,0,0
2154,0,0
8,1,45
168,15,555
1913,24,686
2204,6,360
124,0,0
1218,21,601
75,0,0
752,1,31
327,0,0
3046,0,0
422,1,24
3928,3,81
2638,1,33
3349,15,464
30,1,38
209,0,0
210,2,79
83,25,459
2077,0,0
1360,11,159
471,1,29
3041,0,0
1675,31,510
428,1,21
1686,43,984
2048,3,67
366,9,221
407,0,0
858,1,35
298,0,0
180,1,27
252,2,66
3265,0,0
1706,1,16
384,2,83
629,3,78
254,1,25
368,0,0
223,1,11
2060,2,13
2511,1,6
386,0,0
618,1,51
226,1,21
227,0,0
502,2,40
230,0,0
2115,5,177
4,1,37
101,0,0
102,0,0
2704,3,89
452,0,0
106,15,489
1896,12,272
3910,9,319
3511,10,260
58,8,368
3893,8,145
3828,10,413
3821,3,164
1905,5,207
2393,27,854
2076,20,686
272,0,0
1984,16,621
321,0,0
335,12,411
13,13,295
3884,3,89
3920,2,97
1182,22,1211
2206,1,48
3297,0,0
3776,23,530
3922,5,113
3968,8,314
419,1,26
130,0,0
623,3,76
1826,4,113
397,0,0
835,1,38
3517,19,644
1831,0,0
1299,5,109
1306,1,34
399,0,0
3519,0,0
3861,5,209
343,4,155
470,2,50
246,0,0
3567,1,27
2036,1,24
295,21,872
405,0,0
3169,5,124
756,11,185
3896,1,48
1694,1,58
2052,0,0
2876,13,192
408,1,32
91,0,0
153,0,0
44,3,19
3693,0,0
1877,0,0
95,0,0
188,1,19
387,0,0
640,1,41
355,1,39
59,2,74
193,1,35
323,1,37
1996,5,77
120,29,640
2516,17,433
643,3,46
126,17,644
339,3,61
3117,0,0
