产品SKU,订单产品数量,订单产品收入
258,1,33
5,1,40
1508,31,1445
1753,3,143
1973,10,350
1532,25,522
634,0,0
1764,21,574
1767,6,165
114,28,765
115,3,106
1981,8,253
1775,3,95
434,0,0
621,18,817
2512,21,687
15,2,80
1208,0,0
2016,8,171
170,27,417
129,3,150
23,1,47
131,0,0
842,1,40
1839,2,90
30,2,80
210,3,86
470,0,0
291,4,73
1693,4,184
570,27,798
2919,1,36
1430,2,57
1704,1,23
300,0,0
42,3,58
221,3,57
91,1,39
1947,1,25
2058,1,17
1447,1,10
47,2,43
256,0,0
1886,0,0
50,1,25
1,1,48
232,1,47
451,5,100
263,0,0
1742,2,76
271,1,36
235,39,840
11,10,339
1145,7,147
336,16,317
1598,6,181
204,14,471
1801,11,464
124,1,33
462,0,0
130,0,0
1926,3,50
1820,8,153
2023,39,1488
25,1,32
2025,0,0
1278,16,369
1286,9,356
1295,12,309
1641,30,779
2028,15,551
1833,35,1469
288,0,0
2763,3,78
1344,1,29
1665,29,833
144,1,48
1678,36,977
1680,22,741
347,25,843
249,0,0
146,1,44
1939,0,0
147,23,564
813,3,65
1420,7,307
473,1,34
217,0,0
2920,1,22
408,3,107
2682,1,36
1727,1,17
187,0,0
619,12,580
1733,1,28
1957,5,153
265,29,1211
1966,15,248
1070,0,0
162,1,27
1896,14,292
163,20,458
1522,14,452
1760,3,70
1902,0,0
1978,8,204
1557,0,0
1142,20,339
461,0,0
1166,16,480
416,3,142
281,10,295
1201,4,165
2220,0,0
19,2,51
1220,21,885
1923,0,0
2612,1,53
1818,0,0
2418,14,441
1251,7,126
29,7,178
1321,14,534
2729,0,0
243,1,34
1842,3,68
140,0,0
211,2,97
32,8,169
1847,7,275
2298,23,564
2074,15,502
1852,69,2263
35,8,151
2044,0,0
1403,5,191
1857,51,1109
1410,2,53
1859,3,75
1416,2,77
216,3,82
1696,27,539
252,9,211
1706,3,43
1439,3,73
2055,5,112
154,1,6
1875,1,7
1449,0,0
1450,3,22
1885,0,0
2066,0,0
229,0,0
1734,1,45
53,2,50
262,2,85
264,1,45
413,2,81
1905,21,575
1552,7,223
166,2,86
61,7,186
459,3,50
577,1,45
392,37,1050
324,1,30
200,3,113
68,18,400
205,3,154
463,2,65
71,4,143
172,3,75
2257,1,31
808,1,25
399,2,89
2510,2,44
2069,5,86
425,0,0
33,3,63
345,0,0
404,9,263
214,4,100
1942,29,485
2478,67,1552
39,0,0
183,5,125
430,5,97
155,17,88
156,10,54
618,0,0
305,1,22
257,3,89
353,3,88
1961,3,102
596,0,0
266,0,0
56,19,433
389,2,63
1975,45,1209
269,7,129
2389,17,265
458,1,45
73,1,41
77,0,0
422,2,86
2081,11,406
208,2,54
439,8,151
364,3,118
496,3,97
82,1,28
626,1,29
1850,4,122
2330,12,259
443,1,34
431,7,115
368,2,83
2520,5,28
304,7,68
1721,0,0
370,18,422
2538,16,460
231,1,32
102,1,47
103,4,160
2776,2,87
453,1,43
924,1,27
2393,121,2436
275,1,48
1785,1,37
1593,0,0
394,73,970
1814,0,0
635,1,51
557,13,368
1299,13,176
28,0,0
244,2,76
2517,3,57
441,0,0
2033,9,117
2038,54,1884
1686,79,1340
1943,0,0
1873,6,216
152,4,96
1946,5,183
2057,7,77
2059,2,17
386,0,0
159,1,26
226,5,86
228,4,103
98,0,0
2884,2,105
814,1,39
230,1,37
4,2,66
101,1,26
1894,28,725
233,1,44
454,1,36
2921,7,198
1982,3,97
167,1,33
2176,5,102
169,0,0
414,4,117
1150,15,307
13,29,873
642,40,1083
121,21,520
127,3,171
171,2,68
1813,2,55
240,1,55
287,2,71
466,9,218
843,3,85
80,1,26
212,4,169
1845,0,0
366,18,571
1940,22,1021
1702,0,0
181,4,97
90,4,101
218,1,27
1945,7,197
254,1,28
48,3,74
1725,1,28
97,1,20
2,1,44
1005,19,742
190,1,46
1021,3,84
108,1,50
608,6,80
112,3,72
2566,1,33
272,0,0
195,5,81
168,31,977
1986,0,0
1155,13,359
1799,32,1049
2606,32,480
840,19,613
75,2,50
2423,18,550
2427,1,41
1932,1,43
379,0,0
175,1,49
143,0,0
2293,11,199
1379,8,201
2070,0,0
213,6,225
292,14,589
2045,9,209
2048,3,118
215,2,99
297,1,43
1868,0,0
40,1,28
151,4,71
383,2,43
223,0,0
46,6,61
1876,3,27
446,0,0
1720,0,0
307,1,29
2703,1,37
640,1,36
390,8,269
310,81,3215
456,4,129
1805,17,330
2022,1,29
580,4,100
376,4,109
568,0,0
467,5,83
440,1,43
2035,8,254
653,2,67
591,2,108
656,0,0
189,1,42
191,1,35
415,6,175
529,7,220
645,0,0
647,3,62
588,1,37
1650,32,911
636,2,44
541,1,24
471,1,29
2036,3,61
250,7,110
590,5,40
2054,5,102
1453,5,85
583,1,41
1951,1,46
1057,63,2364
610,0,0
484,0,0
391,5,136
335,24,562
578,37,1150
599,3,56
360,1,43
362,5,186
2434,1,43
469,1,44
581,7,162
182,4,125
629,14,164
409,1,9
450,2,57
412,1,44
192,0,0
356,1,46
320,6,236
309,4,96
1911,13,418
1996,13,211
199,1,49
1160,1,51
1917,9,289
358,1,30
374,11,239
395,2,64
22,3,57
465,2,107
311,3,113
378,2,56
650,3,67
428,7,70
37,3,71
179,4,121
652,2,45
367,9,259
184,9,182
227,3,61
259,5,272
734,1,48
1900,1,50
194,3,127
64,4,97
398,3,78
954,0,0
624,3,70
468,3,76
294,0,0
298,2,58
1864,5,223
301,2,68
2095,1,45
444,7,92
185,8,132
2511,9,60
303,7,69
562,0,0
369,9,101
1497,2,62
598,9,341
59,1,26
273,0,0
2398,5,188
1992,8,228
1920,3,69
17,15,499
1610,15,709
1827,0,0
421,4,77
774,4,159
2089,1,26
2518,1,33
424,2,84
343,0,0
248,32,552
352,13,47
2075,2,66
448,0,0
410,3,69
449,0,0
267,48,1288
318,3,115
611,12,463
321,4,108
197,21,609
643,4,117
2011,3,66
2012,5,96
207,1,29
328,4,141
290,0,0
177,1,35
178,2,77
293,5,176
295,53,996
406,2,49
442,1,47
407,0,0
220,7,166
384,7,193
44,3,17
158,1,26
657,1,18
96,0,0
354,4,154
55,4,129
355,3,149
164,4,253
460,4,148
236,46,1207
419,0,0
623,3,132
74,0,0
340,3,60
359,6,102
807,10,225
242,1,46
2072,1,19
346,34,841
247,7,219
429,3,50
299,6,114
2090,0,0
351,6,172
222,3,104
255,7,43
481,0,0
95,5,44
2192,35,1039
649,4,132
1324,13,167
2088,2,73
490,6,89
817,12,199
794,9,327
832,7,214
492,4,119
2085,5,119
1257,2,100
648,4,114
534,3,98
654,10,321
538,7,174
278,102,2414
1914,5,180
820,5,145
551,1,60
497,1,45
812,1,31
569,5,122
637,12,195
514,6,140
566,14,318
533,1,39
776,14,224
543,13,220
563,6,59
574,1,39
833,9,181
2527,6,133
2094,0,0
2526,7,162
736,3,72
316,0,0
333,3,79
2525,0,0
2709,3,146
119,32,1015
2516,8,271
