产品SKU,产品浏览量,产品加入购物车次数
3,74,13
263,168,10
452,198,15
1897,80,9
1971,105,8
1761,76,14
1762,68,9
1766,51,9
1767,90,12
61,185,8
62,101,8
414,571,10
118,795,8
1780,83,15
198,117,11
119,220,15
749,78,8
1598,37,15
1796,35,10
68,66,15
700,155,8
1814,122,11
2023,151,9
2509,97,13
136,96,13
81,55,14
2510,63,8
243,113,12
209,139,15
211,225,14
426,587,10
1852,93,8
36,144,15
1395,120,12
405,603,9
2443,209,15
1862,193,13
652,395,14
252,120,10
300,122,10
151,110,12
1874,60,14
254,45,14
155,24,9
2511,16,8
1727,92,15
1892,64,13
4,362,10
103,81,8
2462,333,12
267,126,8
1744,31,7
108,70,7
389,80,10
1094,99,12
1532,51,11
1975,257,10
6,88,7
1902,105,8
1122,55,8
274,80,7
11,71,11
1155,62,8
1996,68,8
2512,47,13
1588,97,12
1187,80,10
1921,66,12
1795,62,12
2011,299,11
121,54,7
124,143,11
1811,125,8
1924,74,9
2513,50,10
240,107,12
1926,450,8
1827,91,8
1828,55,7
466,147,13
76,155,7
1833,155,8
139,70,10
2077,205,8
2036,202,13
560,131,13
2038,107,10
213,91,8
294,96,9
35,115,13
1856,131,8
1939,339,9
1940,83,8
39,94,9
41,86,10
1944,42,10
42,122,8
154,26,10
255,31,12
1450,284,12
256,48,12
1728,61,8
1,85,9
259,197,11
1734,157,10
1735,358,6
1961,110,10
1508,241,10
2497,23,11
1969,23,8
455,174,6
413,456,8
271,62,10
2393,76,9
2514,122,9
195,171,7
196,65,10
1141,51,6
1991,45,9
1912,113,6
1913,101,10
1594,63,9
281,51,11
203,140,8
1199,21,7
2515,89,8
1210,28,6
1231,317,9
1234,155,10
1815,127,9
23,232,10
131,355,7
1825,47,11
287,259,7
807,68,6
2260,75,11
1647,121,6
78,173,11
1932,33,6
1842,24,8
30,62,10
1845,101,9
1357,81,6
246,69,10
290,115,10
1934,45,6
2439,81,8
2074,69,9
293,75,11
1680,90,6
1686,112,8
1857,83,8
147,161,8
570,61,8
1449,30,8
156,27,11
93,155,11
1725,317,11
49,48,11
578,393,16
172,61,23
601,103,17
624,221,23
242,426,20
175,83,23
2070,292,13
214,200,23
406,140,17
407,277,22
699,380,18
218,179,13
349,181,23
220,131,14
152,109,13
430,78,23
368,73,19
657,87,25
160,432,12
191,118,13
264,103,14
412,166,12
454,170,18
355,203,21
164,936,19
456,88,16
458,210,23
168,176,13
197,185,15
1992,292,17
13,226,20
122,94,12
1805,213,16
1610,274,13
2423,131,15
28,125,16
208,59,17
439,79,23
32,111,20
603,340,16
345,483,12
247,255,20
37,360,17
251,371,20
1945,183,22
2055,128,22
221,105,15
222,123,13
2057,39,15
2059,31,20
227,183,17
1724,284,20
2,383,13
190,103,14
268,74,19
611,355,17
371,230,16
1764,173,11
372,134,17
120,94,15
2516,124,12
1593,349,11
416,88,18
740,110,11
173,206,17
361,202,12
77,179,12
1641,85,21
364,98,11
2072,53,19
210,82,19
2517,94,12
2033,208,16
470,138,15
34,270,21
297,360,14
429,1101,16
1868,179,14
217,231,11
299,122,18
443,105,11
408,115,17
444,109,14
1446,27,21
303,47,11
2075,335,12
95,36,14
306,71,19
229,44,17
1951,117,19
1739,141,10
265,185,14
2388,129,18
272,298,10
273,165,14
275,748,11
459,222,12
15,326,17
171,105,13
22,161,13
75,160,19
2025,74,19
843,123,17
1839,36,10
378,187,18
379,116,19
2087,118,12
146,428,15
1873,94,17
1453,63,18
618,146,10
158,37,13
2066,120,11
96,80,18
370,128,16
102,53,11
1894,102,12
450,190,10
233,360,15
266,74,14
162,221,13
269,199,13
1552,144,15
1981,181,15
2192,77,12
21,165,15
1821,136,17
420,232,11
362,160,17
377,1645,14
2069,83,16
2518,129,14
143,100,12
292,127,16
1678,113,13
347,271,13
216,125,17
2478,274,17
181,79,16
1947,39,10
2058,24,16
46,29,10
1876,39,10
446,74,13
48,188,15
97,89,9
187,42,9
547,322,23
53,139,26
491,166,33
17,138,35
73,122,34
567,388,34
774,761,34
488,251,26
342,357,28
2089,255,22
650,183,36
424,103,24
469,495,23
346,834,22
637,1247,30
184,137,39
553,85,24
387,271,20
1973,135,27
309,146,31
310,296,28
457,75,28
564,187,25
357,275,36
336,359,31
434,144,38
202,1580,38
464,228,27
398,403,25
559,134,24
626,451,22
2519,604,28
344,244,23
543,109,30
253,84,32
2520,74,27
608,230,20
334,316,27
335,682,30
392,346,27
236,217,31
642,362,20
644,433,30
495,208,36
328,324,25
602,367,26
140,111,25
312,422,35
178,489,23
428,328,25
473,129,31
182,302,24
383,109,37
2054,233,19
433,290,25
192,226,22
598,413,35
112,327,24
2084,206,21
1905,168,32
2076,342,34
374,375,31
418,386,33
623,145,23
2022,237,30
360,150,32
647,278,27
423,207,31
2521,144,21
471,434,21
295,189,22
2095,168,28
2522,54,27
409,162,32
814,154,29
1497,383,24
619,196,20
356,311,22
325,476,26
463,210,18
645,200,25
339,195,32
735,243,32
648,1184,25
27,566,30
401,92,22
1345,164,29
2523,75,31
343,105,24
651,206,32
313,272,31
1697,97,25
44,57,30
386,240,21
546,811,28
316,124,27
333,111,31
448,300,26
353,189,28
262,114,30
453,139,29
734,1740,24
1900,586,20
1982,111,29
169,101,16
461,542,19
324,305,20
400,180,17
1324,195,24
468,97,16
2524,201,20
33,179,26
748,25,25
404,1174,20
472,904,22
382,185,21
616,104,20
431,120,28
91,137,17
537,236,24
223,45,22
231,250,23
354,218,20
449,76,23
1057,153,16
1963,186,22
527,434,24
639,195,23
575,753,22
390,526,17
166,335,22
322,488,15
64,187,22
276,379,22
199,374,22
622,229,24
205,1323,18
19,126,27
419,248,27
207,113,28
376,188,29
588,168,15
422,104,25
174,224,23
2032,503,15
289,81,25
83,313,28
142,87,18
366,447,17
304,39,24
410,135,20
1956,217,21
307,156,19
101,247,14
584,277,27
55,208,18
1895,160,23
607,136,25
320,193,16
373,280,22
321,182,25
460,197,21
358,266,16
67,1002,25
337,110,16
395,211,27
239,383,21
1299,135,16
421,130,20
399,180,20
244,161,18
177,132,24
2048,639,16
215,873,19
2090,89,15
183,204,18
186,39,20
352,54,21
225,250,24
47,229,26
188,91,25
960,60,15
1891,190,17
640,113,22
634,293,17
194,235,24
1142,81,18
393,365,14
278,115,22
1181,301,18
838,466,76
649,523,44
2083,155,75
780,499,44
475,4747,59
476,259,69
515,269,67
758,370,44
782,472,52
742,323,45
497,371,43
736,737,45
989,2263,75
833,601,68
781,540,60
803,561,40
550,193,43
824,930,71
544,305,45
591,2041,60
574,571,50
597,389,53
586,588,50
697,835,52
680,449,62
2029,311,37
519,278,45
524,1312,69
540,365,64
365,295,37
440,587,71
569,555,66
571,140,46
2093,216,57
504,272,49
492,346,35
765,414,44
530,405,53
531,315,63
2099,287,45
638,758,58
817,206,39
827,605,36
534,220,43
2088,341,67
617,160,48
224,456,58
605,611,53
609,501,56
2525,273,36
772,245,58
402,355,58
535,282,35
823,524,61
576,260,58
538,210,48
832,305,44
548,199,37
599,167,45
840,721,54
326,305,49
212,1154,59
518,434,59
573,306,48
596,348,35
802,453,55
521,269,52
485,380,48
621,353,38
566,290,45
835,218,58
311,327,32
810,283,44
403,352,42
628,251,45
655,148,41
846,137,57
445,1896,61
847,571,50
656,235,38
522,430,43
359,277,45
766,281,41
589,215,59
545,409,32
632,93,39
477,322,39
340,277,52
523,181,29
721,292,46
542,209,46
219,560,40
474,305,49
484,191,39
577,320,50
1914,188,34
417,238,41
580,177,55
549,318,31
541,250,46
496,408,34
2302,815,31
581,665,55
520,1091,42
526,790,31
482,170,44
514,203,33
478,255,47
2085,1645,50
614,204,27
330,260,28
558,355,43
185,167,36
592,121,49
502,231,27
631,129,33
308,282,33
167,551,49
600,309,30
635,1501,27
363,415,44
636,691,33
2526,147,50
551,215,49
250,425,48
367,113,36
653,154,51
384,242,30
561,209,45
768,833,51
317,423,28
318,168,46
193,300,40
323,528,30
126,305,27
532,482,27
587,286,35
557,432,43
533,289,26
590,158,31
315,142,37
536,133,32
594,177,48
620,299,47
585,316,28
555,300,32
200,227,46
415,971,26
528,221,42
