产品SKU,产品浏览量,产品加入购物车次数
2698,33,15
257,313,9
1951,110,12
2776,311,11
3259,92,13
1895,202,9
8,104,9
113,61,13
2499,54,13
274,268,11
169,139,11
392,166,13
199,621,10
1916,43,8
1596,580,9
1920,148,10
1600,44,13
2012,182,10
1218,142,11
463,192,8
2016,203,12
1610,217,8
1923,284,10
1811,134,13
239,474,14
1814,95,9
73,95,14
74,614,10
2915,64,15
2022,128,10
25,173,8
1932,21,15
208,45,9
243,53,9
365,28,13
1334,339,8
3134,131,10
2517,145,14
2293,111,13
35,96,8
37,296,9
313,157,14
1697,50,14
299,82,15
3170,74,12
3047,127,15
2682,46,14
154,24,10
223,47,12
302,52,10
1475,149,14
49,34,15
228,137,11
960,45,12
258,220,8
1955,50,9
1737,54,9
1961,87,13
989,163,10
2703,275,7
233,226,11
108,109,13
1969,58,8
1083,429,7
2135,101,8
56,102,12
58,53,13
1094,34,11
319,101,10
1532,82,11
1533,49,12
611,144,13
269,179,8
59,1728,13
1905,81,7
1556,118,9
1129,526,8
458,348,11
1132,323,9
235,76,11
15,263,8
990,141,13
2220,99,11
69,98,7
1812,101,13
1234,179,11
171,87,12
22,208,12
954,59,13
3179,329,9
137,90,9
81,16,9
2072,65,13
426,200,10
290,104,11
3260,245,12
34,341,9
1851,101,13
292,243,10
345,309,8
295,138,13
1402,147,13
366,158,7
1694,692,13
1701,59,9
525,72,9
2054,117,9
2059,31,7
446,66,12
256,40,11
50,24,8
97,72,13
2926,62,7
745,30,10
1735,297,8
1505,152,6
1892,89,10
1893,107,10
102,82,7
3172,101,11
2145,103,6
2157,36,7
271,36,8
115,179,7
272,340,9
1141,183,8
642,121,6
2006,104,9
898,73,7
2010,102,11
849,121,8
71,157,11
2023,57,10
1623,56,6
1629,46,8
3046,86,8
1833,98,7
78,794,11
2729,36,10
140,40,10
210,76,10
2077,284,8
1849,68,9
144,483,6
2074,154,9
2044,98,8
1863,464,7
180,420,11
1698,84,8
1700,74,7
1702,67,11
1867,84,7
41,64,11
2051,72,10
218,103,9
1706,41,9
443,80,7
430,62,6
221,80,9
254,34,11
2057,36,10
1875,28,11
3261,17,7
159,156,9
2065,101,8
2067,97,11
2084,168,17
434,154,25
1580,117,13
325,409,25
394,194,14
374,103,17
1800,111,17
740,301,17
557,120,14
28,166,24
1315,438,14
242,50,23
2287,190,15
177,154,17
2038,125,23
214,221,21
147,377,13
220,104,21
3262,118,25
156,79,23
1476,79,16
259,199,13
1891,354,20
448,211,19
353,93,19
453,115,22
318,185,17
598,190,21
310,129,19
564,215,23
2795,459,19
61,220,15
336,330,13
1155,101,18
236,191,20
578,259,16
2606,71,18
419,127,17
23,227,17
1926,406,21
397,148,22
2423,315,20
362,156,17
921,226,21
175,83,23
469,316,17
2035,487,22
2048,656,14
249,415,16
2478,240,21
181,140,15
1945,129,15
351,64,23
408,151,16
3054,76,21
2060,49,19
303,45,23
225,329,20
526,1403,14
546,1212,22
226,86,20
47,251,21
48,191,23
96,80,20
188,98,21
370,115,14
229,73,17
260,144,12
189,117,12
1734,308,12
230,158,16
231,299,14
4,483,13
1057,80,19
1894,157,19
640,111,20
389,145,15
454,244,15
1762,200,16
456,118,20
1775,1132,15
195,165,14
2512,75,21
17,142,16
124,207,17
421,205,19
3263,260,19
2510,64,14
364,79,18
468,77,19
2518,185,18
3264,303,13
2523,99,21
143,90,13
406,194,19
297,583,17
570,120,17
3265,87,15
2090,107,20
183,139,16
152,110,17
3049,103,17
2520,40,21
1963,226,15
266,109,11
633,176,16
1748,112,12
1753,97,12
1975,169,15
112,208,11
1902,73,13
1764,116,19
1766,264,18
2709,338,13
168,220,12
459,251,10
1150,141,16
1913,214,17
65,575,13
2193,321,12
1919,74,11
1202,859,14
337,103,11
968,79,13
765,151,14
77,138,13
139,105,11
868,405,19
252,256,19
473,152,18
3171,32,10
2345,43,17
1721,261,10
306,86,14
410,301,12
262,201,13
55,429,13
162,211,9
412,361,15
634,261,11
356,373,10
111,77,13
7,72,12
118,735,11
2080,160,17
1799,155,14
395,232,15
131,464,15
361,276,16
1299,107,9
288,162,15
1652,356,16
624,190,15
2069,49,17
211,273,12
441,89,9
3041,367,14
1665,84,14
2307,107,9
293,141,11
347,143,10
247,166,17
146,369,9
442,189,12
1868,76,11
301,55,13
151,101,16
91,54,14
2522,45,11
979,203,9
1720,297,14
305,46,11
227,164,15
657,51,15
187,22,11
307,263,33
584,189,37
191,176,22
477,239,40
2085,1546,37
3177,199,34
2011,409,24
360,123,36
647,216,24
363,339,35
82,207,31
785,356,29
346,342,25
2324,625,21
3178,139,32
616,130,37
3266,96,26
594,166,22
387,172,39
606,253,23
1900,785,21
460,428,32
278,517,27
644,364,39
838,415,37
339,167,38
623,256,36
549,218,33
311,316,31
2989,190,25
31,1185,35
425,105,34
470,199,25
637,1121,38
2877,163,38
350,183,22
409,194,22
2450,296,27
481,1143,32
562,1091,33
190,95,21
2764,385,29
607,165,25
457,89,37
197,221,21
3107,169,35
646,304,31
376,127,23
2526,258,29
33,227,32
405,608,19
858,868,32
384,147,29
617,179,26
185,122,33
595,51,24
433,324,24
449,108,19
450,218,18
554,100,20
464,162,19
207,144,23
340,197,25
399,173,19
328,418,20
342,354,35
810,262,20
652,532,30
3267,106,27
628,139,32
386,341,22
503,268,21
334,258,21
268,94,20
193,249,32
194,525,30
335,548,18
357,377,29
323,306,26
206,164,28
398,329,25
467,95,22
2521,277,26
343,131,25
312,399,20
250,503,32
367,154,32
3268,120,18
222,148,27
352,30,30
618,206,26
1724,949,33
317,371,20
610,246,23
2566,675,29
2098,136,24
372,144,18
2393,86,26
276,478,24
1992,409,24
12,149,19
643,83,29
358,293,19
3053,348,27
851,214,20
2257,267,20
422,149,23
378,186,28
244,159,16
401,168,22
3250,185,18
424,76,29
471,460,18
178,698,16
535,463,25
472,605,24
1940,327,25
182,179,20
552,143,26
2086,59,23
553,68,19
267,168,15
1075,368,26
192,206,25
391,157,20
275,910,23
321,175,23
1785,119,23
200,185,19
1181,1014,27
3117,460,26
807,98,16
420,295,26
2633,558,24
3269,89,26
2294,140,25
294,120,18
428,434,28
248,1343,25
179,402,20
429,1572,20
1430,182,28
40,91,22
431,114,25
184,155,29
3050,107,22
444,88,18
186,71,18
304,51,25
93,165,19
2075,424,29
2,534,14
53,216,22
354,165,20
483,198,15
1070,137,17
390,329,19
309,149,15
166,191,15
273,232,27
373,420,19
324,267,15
621,284,27
1593,660,19
68,164,17
240,131,24
173,274,27
774,687,17
379,182,22
2903,220,19
2732,558,21
407,340,25
542,426,22
383,204,23
369,128,15
770,378,76
504,284,74
1996,611,50
1914,390,47
494,466,66
1025,1570,40
811,371,70
773,453,64
2029,481,63
534,339,60
827,402,62
476,353,62
514,340,61
506,291,64
801,1151,60
632,100,73
54,1585,37
794,436,57
548,219,41
566,622,64
2094,223,55
787,1118,40
711,1184,45
780,336,41
492,307,66
533,337,66
142,239,43
3026,298,59
1195,2622,59
961,879,60
824,1105,41
501,1857,63
547,325,34
586,539,52
512,450,52
754,211,65
486,284,52
1803,458,65
580,354,63
530,357,51
2096,248,57
2087,308,40
518,883,48
38,732,43
520,930,64
816,283,48
536,122,62
479,176,67
597,703,60
531,373,65
648,730,53
551,349,56
561,168,56
629,186,34
582,370,63
3051,336,44
528,168,46
2206,2155,61
2015,2963,57
403,322,42
823,463,47
589,300,63
3182,155,59
793,1181,50
322,732,39
759,281,49
836,651,57
519,354,37
1862,3196,55
349,262,35
3180,254,42
571,127,36
768,593,49
576,239,49
1136,175,59
522,400,58
375,380,48
497,395,40
2302,1025,41
590,212,54
331,329,32
736,601,30
574,772,43
600,387,41
636,531,54
2099,206,36
650,376,47
3055,226,35
2088,208,43
847,694,30
605,417,36
575,592,34
555,473,54
1565,684,31
832,390,46
3270,186,43
2097,206,32
627,189,43
44,46,37
609,452,32
802,430,42
2516,414,43
417,140,32
418,311,46
929,456,52
327,146,39
427,182,37
581,799,39
314,128,34
544,166,32
545,367,48
1497,503,37
2704,195,51
355,369,43
538,336,29
839,329,44
516,518,31
3184,564,40
587,271,50
541,219,27
1850,414,45
508,852,36
569,445,46
524,1674,31
332,407,35
315,111,38
543,85,41
385,87,47
445,938,29
763,939,35
656,300,36
333,182,45
831,486,28
631,89,29
308,241,45
599,226,27
567,360,40
400,261,44
423,506,31
2527,78,26
2434,1026,47
3048,280,49
654,140,44
655,108,46
482,109,45
563,79,47
1501,928,37
620,311,40
326,521,36
532,434,44
614,309,42
488,368,27
489,566,39
602,707,40
209,154,40
1359,449,24
2036,796,34
2095,123,41
253,145,24
806,540,29
499,1810,25
2525,134,27
521,294,45
1782,284,34
539,261,23
645,180,23
359,407,42
540,445,32
568,283,33
603,316,23
344,222,42
1441,191,40
219,249,41
224,48,44
316,165,36
491,238,29
1911,296,31
2192,229,35
622,268,40
588,188,23
329,200,22
330,330,23
2045,818,41
817,187,37
537,309,26
480,727,38
572,1415,23
573,294,35
670,1269,145
683,627,96
2528,763,127
987,741,145
1014,2247,160
679,526,129
1023,924,141
699,3233,143
279,1533,116
821,1263,158
1005,768,104
672,594,127
677,949,94
952,887,166
2076,1457,130
915,1306,132
681,613,131
935,321,86
2079,981,141
676,300,89
669,998,146
1007,928,151
986,786,159
724,1366,132
126,2033,159
696,801,122
1638,900,119
3176,2084,123
1271,1936,135
1004,776,132
687,647,129
719,889,145
665,362,137
2509,1197,132
667,717,136
723,808,109
743,1236,145
747,907,85
690,766,127
702,519,145
695,785,140
3271,553,112
678,1560,120
750,442,73
704,2126,82
668,504,89
119,631,79
722,457,107
3060,418,73
799,985,132
729,753,132
730,624,85
689,913,123
1027,414,107
728,901,70
688,781,107
746,791,113
2389,989,129
60,739,122
1028,628,135
715,908,72
705,638,80
1016,748,115
751,443,94
718,801,106
684,612,123
764,1605,80
1018,581,100
818,562,74
706,344,98
662,908,75
733,426,95
760,363,71
993,296,69
2093,542,105
708,336,105
791,1055,110
716,843,112
804,1755,75
500,700,116
737,320,94
579,848,85
714,692,119
2033,1445,90
815,625,65
659,573,114
800,360,112
720,233,114
820,519,89
771,546,96
510,358,93
686,388,104
701,813,61
661,435,108
845,354,60
2691,1123,73
772,396,62
834,500,110
741,568,102
674,691,80
694,782,85
2530,363,97
509,301,68
753,255,65
732,776,57
809,484,93
664,492,57
744,586,57
2519,1271,89
762,593,76
726,398,72
2747,630,67
796,520,81
758,395,69
2243,584,89
3272,351,70
825,301,52
515,306,58
766,451,74
786,852,94
767,374,80
513,279,90
833,766,55
1319,1017,89
777,242,65
812,286,94
739,735,47
727,1592,90
757,724,86
755,680,72
830,500,87
742,262,64
3052,565,70
792,386,56
822,560,56
3244,359,86
782,436,71
798,467,72
649,476,63
844,547,64
3183,289,82
784,553,81
752,377,71
738,545,57
402,339,60
707,367,48
712,517,51
523,193,80
779,250,44
1864,1332,77
502,430,76
604,721,71
775,554,80
493,750,60
1614,708,51
613,436,70
826,446,79
829,514,62
835,392,46
3273,377,55
697,648,51
558,304,54
490,423,55
805,488,47
769,373,75
857,4433,1516
911,6000,1129
1941,3083,687
855,3092,889
3057,6924,722
852,2511,738
850,2680,432
870,3205,654
853,2181,582
856,4594,538
860,3835,532
861,2969,466
875,4993,638
864,2234,574
872,3959,606
1949,1572,509
883,2524,348
874,2379,372
866,1700,397
873,2525,365
854,2669,549
879,2796,380
867,2933,358
863,2419,554
731,2361,468
905,3088,432
2101,1856,358
277,1940,553
869,2155,497
859,1510,279
2102,1240,508
876,3470,526
892,1366,442
887,1867,326
884,2077,363
885,1448,399
2529,2404,447
877,2667,481
881,2475,283
878,1875,308
2385,2509,313
912,1636,424
913,1136,384
2410,2012,323
1022,2179,240
880,2088,407
900,2414,461
1252,1617,447
828,2226,298
