产品SKU,产品浏览量,产品加入购物车次数
960,49,10
263,221,9
3259,178,14
266,90,14
2704,145,8
3646,174,12
3199,73,8
319,82,12
1552,207,15
115,216,8
61,130,14
322,386,12
357,207,11
1920,128,13
203,93,14
1201,154,11
2012,147,8
1602,112,8
493,221,11
68,88,10
172,68,8
556,40,10
1828,40,15
77,125,10
3519,183,11
329,96,9
624,122,8
2069,86,13
2506,93,8
2521,123,9
2286,73,14
3962,77,9
3636,274,8
3041,216,12
1672,1159,10
294,74,15
428,160,15
2048,396,11
756,107,11
299,124,15
2090,115,13
3050,79,14
1449,32,12
3693,20,11
156,56,15
224,45,10
618,157,14
546,632,9
446,46,8
226,68,14
49,29,11
370,155,13
2,339,12
1955,74,13
2916,77,8
2703,183,10
452,199,7
1741,77,11
605,128,9
3435,177,13
108,60,12
56,178,13
1098,287,8
611,109,7
3835,123,13
8,82,9
372,80,9
1768,79,10
1551,58,10
193,96,12
2708,202,9
3786,101,10
2167,310,13
2393,63,13
272,250,7
273,231,10
1132,276,9
323,164,8
3356,171,11
3106,21,12
1788,59,10
2403,26,12
239,570,12
419,55,7
465,97,11
557,132,11
3359,196,11
488,320,9
2638,227,10
1839,55,13
439,52,9
650,267,12
289,181,9
470,119,9
603,114,7
2036,240,12
345,233,10
659,153,13
1686,217,9
180,514,9
181,125,10
3265,60,12
2052,51,7
1944,35,10
42,177,10
301,31,12
408,48,11
384,140,13
222,104,13
2511,29,12
303,17,9
409,67,9
2063,92,13
305,79,10
98,86,6
257,151,10
1497,423,8
258,113,6
2537,36,8
230,187,10
1055,116,6
450,84,11
1967,139,10
163,65,6
1969,80,11
3910,98,11
598,58,7
1549,83,11
3696,48,11
168,169,9
335,205,9
1992,228,11
2182,66,9
3514,56,8
2516,54,9
1182,173,7
2490,48,10
3165,6,8
122,29,7
1802,101,11
437,116,7
3117,381,11
22,138,10
2234,273,7
207,85,8
3708,105,6
1820,34,10
25,182,6
327,98,11
2025,121,6
2425,34,6
2427,450,8
3521,83,9
208,30,6
2510,42,10
209,147,11
2731,293,6
2517,128,11
3496,212,7
1663,90,7
2035,300,9
2070,155,9
214,209,9
1403,210,9
3896,63,9
570,69,10
1697,49,10
148,57,7
3171,20,7
151,78,6
443,152,6
221,41,11
3047,124,8
2057,23,8
223,45,10
3692,32,7
3946,212,8
2884,253,21
1891,283,22
574,349,18
308,100,15
1739,303,23
668,246,23
355,254,17
634,126,19
477,167,18
321,119,19
459,188,13
197,266,15
120,126,18
2406,217,17
3390,216,21
3244,302,16
623,158,21
464,199,22
3802,152,15
3349,167,22
242,59,24
143,127,14
183,138,14
367,111,16
152,149,21
3441,102,15
526,799,20
763,667,22
847,641,24
736,653,15
256,96,25
101,128,16
