产品SKU,产品浏览量,产品加入购物车次数
1955,64,13
230,164,14
232,148,13
55,286,9
1895,241,8
1966,55,9
106,98,8
108,121,10
163,77,9
165,61,14
371,196,15
1902,108,9
1904,845,9
1906,81,11
1565,49,15
1568,81,14
1985,98,11
1911,138,9
1996,79,15
13,311,13
2068,42,12
1182,147,10
279,137,12
19,144,14
1609,56,8
21,327,15
22,209,15
23,215,8
1926,397,11
1821,116,14
2026,61,10
1299,183,9
398,387,12
288,138,10
2069,101,11
1355,159,8
32,53,9
2070,125,10
293,69,13
37,301,14
1418,189,11
1862,200,9
1947,50,10
302,36,8
158,79,15
305,72,12
2065,129,15
256,42,10
96,99,8
1888,134,10
1951,101,13
1501,93,13
189,115,7
261,225,7
1961,124,12
267,130,13
1751,39,11
388,110,7
57,138,10
455,143,11
1900,210,9
1978,103,11
10,109,11
1775,183,9
1986,82,13
1145,80,7
1152,58,13
1585,113,13
204,123,9
2015,53,9
71,71,12
437,98,8
75,163,9
1623,72,13
287,242,11
1641,76,12
422,191,10
1312,108,11
2071,539,11
2072,32,8
1933,92,13
1664,69,10
1665,51,8
2073,123,8
2036,234,8
1672,590,11
2074,46,9
1852,106,13
247,145,8
2044,147,13
248,45,12
2048,735,9
215,773,9
146,453,10
442,160,9
1694,110,7
42,125,8
1873,80,13
368,68,11
43,25,11
154,38,8
2059,53,8
223,82,8
1875,35,10
46,20,10
1876,14,12
1877,42,7
2062,87,10
369,153,11
2075,125,9
228,162,13
50,41,11
98,172,8
1503,116,7
433,359,11
449,75,11
1510,276,7
1969,66,6
56,167,11
1753,102,6
1759,55,7
1118,93,7
1767,68,11
1556,34,10
194,391,8
2076,46,8
62,110,10
1984,141,8
168,227,8
196,113,8
11,61,10
1991,78,9
1913,172,9
1788,68,8
278,64,7
280,133,7
2008,129,11
1208,473,11
122,73,11
127,103,8
1233,40,11
1239,134,10
2023,132,6
2025,80,6
1929,44,8
1839,33,6
1845,164,11
2077,268,9
143,132,6
1379,53,9
86,602,11
1395,52,9
2043,18,10
2045,190,10
1857,86,7
1937,87,9
249,534,11
406,96,11
1420,85,10
570,60,9
1861,92,6
1698,45,10
1702,55,7
149,116,7
1870,26,10
1706,56,10
150,150,9
254,43,10
92,21,10
1449,44,7
159,110,6
2063,86,7
2064,17,11
95,64,6
257,350,15
160,568,23
4,340,16
1739,137,12
103,141,23
162,405,13
269,122,12
2078,105,13
12,204,17
15,302,22
2012,61,15
463,325,18
1246,58,13
2022,94,20
1827,126,12
421,203,16
342,318,19
295,140,18
1945,222,22
185,99,21
44,71,13
303,72,21
47,271,21
231,145,17
102,99,14
1057,148,13
450,172,17
59,1737,16
114,73,17
166,195,21
235,160,12
169,165,18
459,160,15
643,117,16
374,510,11
1799,200,11
124,173,17
69,134,14
1610,147,16
466,137,15
27,791,19
399,317,18
174,128,15
209,164,16
211,391,14
2033,215,18
33,168,13
347,148,19
145,107,12
1403,62,14
1939,478,12
180,618,12
1943,142,16
301,91,16
219,159,20
152,119,16
350,129,20
91,96,17
2060,35,12
255,50,20
432,631,11
226,51,21
187,59,15
2079,46,17
229,55,10
53,197,13
1893,174,10
1963,161,10
454,168,17
641,960,17
1761,125,11
1762,123,13
112,309,15
1981,183,10
1982,96,16
273,346,15
61,162,19
63,79,10
118,703,16
2080,321,12
1187,80,15
1920,193,14
17,209,19
436,106,19
1220,52,15
25,188,14
808,653,16
377,2077,12
2081,61,19
81,69,18
139,113,14
2032,276,17
246,88,18
603,185,14
2038,126,13
213,122,19
298,516,11
1697,28,13
299,176,16
90,84,19
151,120,12
93,141,19
48,325,16
630,120,11
2,530,16
1891,140,15
619,150,13
1958,61,15
745,38,15
190,74,16
5,171,12
1508,90,10
452,208,16
1070,127,17
1973,167,17
1764,145,16
272,347,9
1992,393,14
392,318,13
199,247,13
393,275,11
1915,74,11
2082,123,14
282,95,12
72,53,10
1812,127,14
239,409,15
1814,92,10
74,554,13
328,258,10
400,110,16
843,240,17
137,63,11
242,85,17
243,64,16
140,76,12
212,463,9
289,150,15
1846,294,13
1850,84,14
1686,47,10
2083,38,16
41,121,10
430,86,14
155,49,11
45,25,9
446,78,9
227,97,15
657,100,14
