产品SKU,产品浏览量,产品加入购物车次数
2,648,14
3,129,10
353,131,10
1893,175,8
3255,216,12
3083,208,8
2546,1069,8
878,24,13
318,148,13
598,137,14
112,80,8
1767,84,9
1768,157,10
1552,281,12
1132,461,10
335,953,13
434,230,10
392,95,15
2403,50,12
882,137,15
2206,1733,8
337,49,15
599,138,9
172,72,13
2022,155,14
646,166,12
361,233,13
1297,562,15
3249,256,15
3360,126,11
311,261,14
467,63,13
439,37,13
2510,43,15
2072,48,11
210,103,11
2521,140,8
441,112,14
603,170,9
872,130,13
2048,597,14
88,97,11
429,1555,11
652,415,14
1868,135,8
90,44,9
3265,48,14
218,106,14
301,44,15
183,103,15
152,125,10
222,131,10
3446,108,12
1712,15,15
352,17,14
225,226,13
1472,142,13
158,62,11
259,142,12
1891,186,7
619,81,10
4,335,11
1963,297,10
2776,285,12
451,175,9
2703,170,9
605,217,12
107,67,8
453,82,8
1522,77,13
1770,33,13
166,296,9
272,436,11
61,123,9
198,93,10
1782,44,7
3243,54,8
13,65,10
66,162,11
2516,92,7
1182,241,8
1201,241,7
3426,128,7
239,329,11
419,112,12
3743,54,9
843,60,8
137,59,10
243,60,9
3137,63,7
3445,321,8
1933,90,11
3437,219,8
143,104,8
2298,174,10
3751,73,11
868,121,12
249,304,13
1411,326,9
1863,253,8
3171,31,7
3530,79,8
2520,30,11
2522,39,9
156,52,11
3624,169,12
446,86,10
1721,98,8
657,86,9
187,49,11
1888,149,8
98,93,8
2884,241,11
583,82,9
1951,65,6
1501,104,9
1892,71,8
449,96,8
3259,161,6
1071,66,7
108,61,8
1897,58,7
1973,125,6
1547,52,11
1905,94,10
271,37,6
118,505,8
2182,50,9
393,111,8
3476,31,11
1915,65,11
1187,52,10
1599,40,8
1210,31,7
17,216,10
3581,33,6
1218,128,9
463,133,7
71,113,10
2413,67,11
1231,320,8
129,72,10
1234,190,8
22,124,8
23,219,7
465,200,7
556,73,8
25,100,8
3046,52,7
2422,81,8
2505,223,7
1298,53,9
3527,604,6
2427,332,7
2729,83,7
3562,117,7
1839,38,7
2903,220,6
3584,328,11
2077,296,9
1846,217,11
343,129,11
2733,139,7
3041,332,9
178,348,10
3029,39,6
292,69,11
3224,150,6
442,216,6
570,108,7
1697,80,11
1701,58,9
181,82,6
1704,69,9
3328,50,8
1946,89,8
3047,158,11
1947,50,6
1875,25,11
155,23,10
255,20,11
1447,17,10
92,19,6
49,30,11
2066,73,9
50,34,7
306,97,11
97,71,6
2704,206,24
2708,139,18
2709,242,20
373,353,25
169,120,18
621,397,21
2406,129,25
3390,155,24
1202,551,20
2011,384,15
395,129,15
339,216,19
326,364,21
807,83,23
774,363,15
422,119,16
624,152,13
3179,203,23
364,94,21
2997,213,17
346,355,15
294,90,13
220,165,23
443,98,16
3785,35,19
546,900,16
553,138,17
595,75,18
229,75,20
410,227,21
101,154,17
3035,975,13
389,109,20
235,205,23
459,324,20
2001,83,23
865,82,22
3058,56,14
3299,111,18
1222,749,14
464,169,20
557,246,23
1306,273,19
3520,460,16
3316,181,15
175,72,12
3260,429,20
349,151,21
184,83,21
304,25,17
562,609,19
93,151,17
257,269,16
1497,606,20
448,193,16
189,82,12
307,134,19
308,157,16
2119,147,16
1969,215,21
7,225,19
565,113,21
124,237,17
3150,80,20
417,103,16
1805,143,21
437,109,17
2021,58,18
207,120,13
1260,305,11
397,129,17
2101,54,11
808,1397,15
362,136,19
208,44,17
2069,39,14
468,126,17
378,227,17
3048,169,13
3439,211,21
2518,155,11
3635,179,17
1665,107,11
2443,267,15
299,138,12
383,124,19
3050,167,20
2095,80,12
444,75,14
185,62,11
409,133,15
5,205,18
262,125,19
2764,358,12
2549,59,15
3466,170,14
1975,494,18
2389,165,19
2796,979,18
119,276,15
1799,265,12
645,145,10
3117,282,16
286,107,11
77,241,15
398,186,12
3487,959,12
209,156,14
289,168,17
3264,227,12
426,220,10
471,358,18
428,222,10
147,281,17
1942,456,17
180,651,14
382,159,16
1943,152,14
42,103,13
1945,170,14
3443,126,14
2511,22,14
46,30,11
526,933,16
736,571,15
230,99,12
233,230,15
266,58,12
1741,146,11
1748,57,15
454,152,17
3725,148,16
356,219,12
309,115,13
8,81,16
1141,75,17
1992,181,13
199,211,13
325,452,16
1600,59,15
69,211,15
1804,301,14
3708,223,9
2915,99,10
2025,93,9
3359,310,12
399,233,9
3485,64,9
81,24,17
30,34,17
139,76,17
2517,148,17
1348,89,16
2523,52,9
3252,228,12
1672,495,9
1378,87,14
144,659,11
37,212,13
1858,406,17
297,281,15
407,231,11
2090,88,9
2054,110,14
303,34,11
545,254,14
445,700,15
806,275,14
656,236,12
226,158,9
831,175,11
256,84,13
191,148,36
1543,1116,29
802,480,27
120,305,39
836,476,24
541,285,40
3269,189,34
245,351,35
425,188,26
427,116,32
810,244,32
519,176,34
637,849,35
3368,185,26
544,207,21
514,329,36
197,297,34
3357,384,24
342,353,37
179,131,34
571,109,32
482,151,26
333,150,20
317,553,31
456,162,36
372,111,27
323,263,36
539,233,27
643,88,27
3244,566,27
839,261,26
558,238,32
2527,75,28
403,358,35
518,442,20
38,754,19
2478,335,23
3178,194,20
182,166,35
3709,157,30
3049,109,19
319,191,32
1530,308,21
3447,108,19
321,175,33
200,214,21
173,251,33
530,261,18
647,236,29
540,338,24
329,123,30
244,99,33
3636,224,19
344,223,33
2302,798,19
2045,547,26
331,293,30
3054,133,18
431,265,27
263,289,18
607,136,33
162,465,24
460,356,31
236,292,32
528,267,29
838,264,23
622,163,25
3151,196,19
623,272,31
359,279,17
400,137,21
472,524,19
2324,838,33
252,196,18
219,194,27
351,86,30
430,133,29
536,109,23
537,186,31
385,66,23
768,458,28
573,251,20
370,265,29
1005,137,30
640,173,16
412,285,31
2706,251,31
2084,225,16
564,281,17
3786,101,31
322,887,29
357,229,28
324,252,30
376,207,22
421,114,16
328,335,22
2989,236,20
140,97,20
470,149,20
312,540,17
367,90,24
3268,109,27
617,141,19
629,124,19
188,83,20
387,185,26
606,291,28
575,458,18
355,243,19
334,180,24
273,389,17
391,216,29
3356,147,19
336,370,26
1785,138,27
3710,308,18
394,473,25
579,228,28
420,266,18
3519,307,22
636,345,17
379,161,19
2990,371,25
2036,307,22
1376,413,22
250,354,27
581,584,19
1441,295,17
253,111,21
186,32,20
224,41,22
574,354,19
53,184,15
450,139,24
633,304,19
56,285,20
634,187,24
610,198,25
2076,144,25
2795,406,19
3163,148,19
1913,206,26
358,349,19
206,280,21
360,71,19
3450,329,27
488,196,17
2425,162,17
2272,439,15
330,283,18
602,382,21
3442,334,17
3371,121,24
33,296,21
213,221,23
405,644,24
542,365,24
384,151,20
3526,92,16
221,72,24
3433,131,19
44,43,20
801,647,21
618,151,23
711,593,26
502,189,17
753,347,62
3184,488,56
742,233,66
479,258,43
503,308,55
504,432,70
773,264,59
3263,290,76
2096,377,40
812,228,49
769,259,57
515,415,46
3660,325,43
766,374,68
28,395,72
1025,1529,38
490,375,49
1403,2429,39
510,212,45
2192,384,66
705,352,57
786,468,61
772,434,68
555,407,56
521,219,49
580,163,65
752,226,62
3363,220,38
497,355,66
659,611,60
508,444,49
3787,308,40
267,503,51
1743,530,54
538,187,46
3788,361,54
835,215,42
692,507,66
2087,329,45
534,277,67
3052,413,40
142,311,58
822,296,35
678,1257,58
729,536,63
3267,194,50
2392,688,41
832,351,53
759,359,60
764,484,44
830,315,44
782,544,47
2294,373,53
535,446,46
780,393,32
3042,230,52
758,404,32
2509,1120,40
3366,182,46
661,560,35
525,240,41
767,351,63
846,125,58
2537,687,49
793,1752,53
668,520,41
2381,571,57
3051,361,49
3640,229,40
3639,285,55
3712,258,41
3452,286,49
340,246,50
560,307,30
524,1298,41
627,127,42
3180,179,47
3714,299,57
2914,707,44
809,319,45
738,492,51
520,582,37
589,238,44
827,190,38
576,301,32
477,203,49
829,312,36
779,204,49
582,283,35
2525,190,43
2892,1078,46
649,231,53
3347,1605,35
3436,182,30
1850,231,36
823,431,51
858,281,40
3365,323,29
563,163,46
594,133,40
604,424,30
1965,281,51
644,311,33
3053,311,36
600,320,48
587,287,32
613,537,35
496,378,45
3262,312,32
480,501,31
794,407,48
457,185,34
59,1933,32
492,358,43
3364,371,28
588,108,40
533,383,42
3451,516,49
543,157,25
3183,292,32
847,602,29
597,467,26
2098,174,41
491,195,25
193,312,37
276,235,27
3107,317,44
549,304,46
3176,600,25
569,347,32
653,96,34
616,118,43
561,152,47
3449,223,36
620,245,24
512,224,45
3382,265,40
513,248,23
268,140,37
833,595,37
516,273,37
418,199,30
375,361,23
532,431,25
327,252,45
614,375,35
567,222,26
523,235,28
568,197,44
3565,421,40
551,216,28
1862,2353,26
824,772,43
3441,125,45
3182,214,42
332,158,45
3453,119,30
3789,499,41
316,83,30
632,74,44
3646,290,43
2154,577,37
554,166,38
493,755,23
1803,354,24
401,126,38
650,259,37
177,155,34
590,346,22
552,294,30
350,121,39
3448,196,39
481,1097,42
631,120,38
1026,615,149
3511,713,112
986,528,177
2093,1200,160
713,911,129
949,1052,106
685,613,122
1015,560,177
666,856,119
1136,452,177
2104,807,131
3531,4289,128
693,812,97
505,916,105
1013,1416,87
682,836,159
1012,1457,136
963,1329,165
947,1022,92
2465,827,144
670,1077,127
946,770,87
3367,1238,108
1004,835,111
1002,685,144
776,790,87
1027,689,103
996,738,110
733,437,114
688,618,149
728,917,118
983,927,150
1018,687,126
1014,1484,98
