产品SKU,产品浏览量,产品加入购物车次数
98,128,10
2884,258,10
1952,251,14
1733,133,15
449,120,13
1967,125,10
56,240,8
1540,82,13
310,213,8
59,2029,13
271,47,9
1126,98,8
1556,122,15
274,128,12
434,183,11
1997,51,12
3107,103,14
1916,71,12
15,260,12
1920,198,12
1799,108,13
1800,225,14
849,129,11
1234,144,14
239,653,13
172,137,15
24,202,9
2612,193,14
465,154,14
77,175,13
1930,208,10
2264,104,12
399,179,13
803,167,14
843,173,13
210,90,10
1348,115,10
2077,173,9
3041,345,8
1672,872,8
144,502,10
213,177,10
292,169,11
295,153,10
1939,502,11
298,437,15
429,1373,12
2051,69,9
218,150,9
3171,36,9
301,59,10
1945,232,14
183,155,8
443,153,11
155,29,14
352,23,15
1876,27,12
159,196,9
95,77,10
1057,302,9
2462,370,11
2776,172,13
2549,42,7
107,63,13
1083,447,7
388,66,7
1753,142,10
319,193,9
1755,64,10
634,252,10
6,271,8
1761,97,12
1902,108,12
309,192,12
273,286,13
1775,654,10
275,792,8
65,333,10
12,104,11
3444,51,9
1593,464,7
2008,120,11
337,59,9
124,151,9
2606,95,8
437,139,11
74,666,11
2023,225,10
423,339,10
3157,450,9
2510,52,9
242,27,10
175,64,7
2290,74,11
470,141,8
246,61,12
3437,62,12
2035,392,11
34,382,10
2038,110,11
347,183,8
2475,53,9
406,223,13
442,154,8
216,107,9
1697,93,11
1943,138,13
299,78,7
3049,35,13
185,104,12
2682,46,10
46,22,9
409,101,8
305,85,11
228,128,13
2067,56,13
1494,29,6
2,470,6
1734,168,8
1503,145,11
353,81,8
2745,47,6
1963,197,11
263,150,7
3259,142,10
1514,44,7
106,213,11
1070,165,11
1071,64,11
1749,285,6
1079,26,6
1969,54,8
57,89,7
1971,135,11
1533,75,9
1762,101,10
269,227,7
456,138,7
1767,68,6
1904,631,6
114,84,7
115,233,6
1129,491,11
272,447,10
1150,100,9
1998,99,7
393,128,6
1788,65,7
1582,56,7
1915,62,10
2200,47,9
3477,51,7
740,188,9
3151,74,8
71,160,10
2018,65,7
1811,117,11
2019,591,6
2814,1205,6
1814,132,6
2021,67,7
2022,160,7
1270,56,8
76,75,10
2025,114,7
1629,110,9
1278,100,8
2027,95,9
2422,158,11
3360,104,9
2425,36,6
3527,1034,7
208,42,11
243,52,10
211,139,6
685,1,9
2523,106,10
2074,149,7
345,253,11
214,173,6
248,2504,10
297,338,11
147,217,8
473,188,6
42,116,8
2059,16,10
186,42,6
226,73,10
1885,105,8
1886,90,9
50,58,10
450,127,17
262,109,25
607,192,21
2749,222,22
355,353,13
457,123,14
1982,137,13
3356,174,25
621,265,14
1805,163,22
207,127,25
646,178,15
420,171,16
1297,583,15
421,267,25
774,613,19
1306,309,13
2633,484,19
363,211,16
2072,36,21
343,152,18
3371,137,19
2733,283,17
37,305,21
180,636,22
367,211,14
3054,144,24
253,104,22
1721,240,20
657,101,19
229,66,16
1975,432,21
2566,201,19
8,180,12
166,298,12
168,196,13
235,232,20
196,157,16
565,141,22
1202,696,19
395,102,22
968,83,16
463,216,23
3359,180,14
28,201,12
468,64,17
3048,154,18
3260,99,14
427,220,23
33,302,22
1852,166,17
1940,283,12
699,332,21
351,162,16
444,90,17
526,1046,18
96,64,13
1497,608,18
259,320,11
448,227,17
410,296,12
231,152,13
4,380,20
1961,150,16
101,255,15
108,92,15
389,146,19
1549,71,20
372,122,21
1905,162,15
61,175,15
198,168,20
1911,264,19
3387,68,11
642,205,14
1218,250,11
171,123,17
75,146,12
1260,338,13
397,193,19
139,107,16
2294,247,17
2048,510,12
1942,412,15
570,141,15
181,112,20
152,121,19
2054,89,15
3180,139,16
430,84,18
431,247,16
221,57,12
