产品SKU,产品浏览量,产品加入购物车次数
1957,316,10
190,79,10
450,72,9
2703,134,8
452,205,12
1068,85,14
607,156,8
1748,108,14
412,194,12
58,158,8
610,186,12
3447,161,8
113,68,13
61,136,14
3387,84,15
2182,82,11
539,191,13
415,192,13
2082,79,14
2011,245,9
337,71,15
419,74,9
2021,96,10
77,160,15
835,130,9
1298,88,8
3349,120,11
4105,46,15
144,574,11
347,107,13
2048,632,14
250,475,15
2330,72,14
180,291,14
1943,67,10
3876,188,15
301,56,14
3526,148,11
44,26,10
2511,19,10
303,23,12
446,44,14
657,67,15
49,31,13
187,36,9
257,145,10
1497,30,13
189,131,11
53,130,10
1894,76,12
1739,90,10
191,99,8
106,179,10
1743,365,7
1967,78,7
3910,95,12
389,116,11
454,119,7
4016,38,10
1110,587,7
930,119,8
932,120,10
3893,101,8
8,72,10
1764,85,13
2084,233,12
1904,545,9
3786,47,10
10,93,12
169,112,12
3163,175,13
118,581,7
1991,49,12
434,97,9
4102,27,9
200,187,9
2012,226,7
3151,134,10
1802,97,13
4118,43,10
129,37,11
2895,212,12
2022,92,13
2423,76,8
399,94,8
208,28,12
439,21,7
2524,247,11
3888,148,11
139,100,11
210,107,10
2517,95,8
83,80,12
1846,232,12
143,98,10
291,389,11
1671,68,8
560,90,13
293,75,8
405,430,9
249,311,13
959,30,8
1020,53,13
473,194,7
3328,63,8
2051,137,7
183,134,12
408,80,9
1947,34,10
368,40,12
1875,24,7
4042,20,9
2060,21,9
46,29,11
304,35,12
3818,53,11
847,608,12
4095,172,7
2482,39,12
1720,268,7
305,67,9
227,81,13
256,57,12
1885,70,8
97,60,8
4019,81,23
597,362,20
456,120,20
372,91,23
3915,175,25
321,231,13
521,189,15
2406,173,17
1602,179,16
376,189,20
360,120,22
647,174,24
588,152,25
2279,581,18
427,224,25
294,97,24
3262,220,17
553,128,20
960,73,21
451,204,23
633,133,21
1111,256,15
828,377,14
564,163,21
1785,115,18
4117,145,13
325,548,23
759,285,18
126,138,14
600,205,22
645,158,13
696,62,20
207,174,17
646,168,17
557,249,21
488,206,23
330,232,23
3179,323,18
242,80,12
364,95,16
244,168,22
175,98,17
3674,592,21
2088,121,22
3531,999,18
1686,374,13
37,170,12
1942,276,21
2672,172,21
652,481,23
299,185,14
151,71,22
3433,125,22
3817,75,15
736,349,17
563,96,23
631,123,22
188,61,22
1501,554,15
308,112,13
449,128,11
266,120,19
746,76,19
108,82,20
2385,159,21
1098,197,14
268,86,15
4017,299,12
4043,81,11
1975,414,15
598,172,11
114,133,12
3107,83,17
2516,199,18
1916,186,17
124,191,21
172,90,16
73,100,18
3708,332,17
587,236,18
400,169,16
636,407,18
3363,129,18
3048,162,12
470,121,14
3567,104,11
1376,300,13
248,202,18
298,594,13
3965,498,20
3440,67,19
3530,87,15
629,87,13
4119,112,20
93,172,19
333,110,14
1057,295,15
2764,324,11
317,463,19
1966,61,11
453,143,15
1543,886,18
4111,236,19
2098,144,13
457,104,14
3821,87,12
2167,252,18
3918,137,11
236,170,12
643,63,12
395,181,11
623,200,18
2026,113,15
3046,178,19
2069,68,17
3405,463,14
471,243,19
1377,147,13
2324,360,10
581,517,10
542,117,10
349,110,17
220,177,10
152,71,10
3267,111,13
221,62,16
253,106,16
768,374,15
1888,127,11
1891,244,12
448,149,12
1735,317,14
3255,301,11
192,164,17
576,198,13
2154,163,14
273,217,11
197,144,9
323,171,10
621,315,10
528,203,16
2085,39,15
1224,138,15
339,142,12
171,89,15
239,512,10
1814,56,10
1240,113,16
173,183,14
2256,149,14
3859,1359,17
468,124,17
30,103,9
209,152,14
2518,92,14
2292,54,17
3964,348,17
90,83,12
3265,55,9
1944,57,16
443,111,9
430,75,16
3443,159,9
2056,198,14
186,29,10
4084,20,13
2520,57,10
409,59,10
545,312,13
2689,257,9
316,97,17
620,267,29
2140,175,41
794,548,39
829,306,39
17,424,23
516,402,34
1823,250,32
614,251,43
649,307,24
3519,231,40
496,280,39
424,111,32
810,408,22
569,703,43
571,109,29
2381,273,39
2389,312,34
2709,532,38
417,157,34
340,284,40
532,404,24
397,122,28
362,143,30
28,260,29
3906,302,31
650,189,30
428,297,39
678,763,41
219,207,33
627,153,23
846,58,29
514,152,23
554,134,20
515,174,31
3114,1023,34
396,209,35
4096,317,37
766,225,35
3993,170,30
2294,287,21
2039,377,37
2440,473,24
543,173,23
2095,81,24
2131,465,34
575,1603,36
3838,292,31
613,252,29
523,113,19
1356,247,19
177,173,21
179,204,25
367,119,24
616,158,19
315,87,32
3446,204,34
594,125,24
1033,631,23
387,239,20
262,178,31
3357,386,33
2192,178,20
359,303,21
2434,214,21
541,249,21
3439,496,23
721,252,24
3901,194,30
403,209,33
1441,241,18
2054,129,25
222,95,35
3448,125,20
3449,135,31
3995,204,32
2525,149,26
754,285,33
913,146,28
3356,213,31
418,143,32
2248,157,17
533,267,18
568,224,32
1326,327,31
379,257,25
3770,607,31
4020,223,32
4057,139,32
3445,353,25
351,95,26
3054,156,31
817,133,26
491,198,16
833,536,17
1996,226,31
358,248,30
206,473,18
375,131,16
738,254,22
602,428,26
467,110,20
3269,129,21
3635,114,18
603,181,16
2443,728,18
3049,96,16
617,115,16
385,70,27
595,48,30
1044,151,22
307,163,21
574,190,23
101,307,25
356,320,27
310,248,17
3970,220,27
2076,122,29
235,207,26
3514,192,27
1590,255,15
3660,257,29
329,91,16
