产品SKU,产品浏览量,产品加入购物车次数
190,99,15
2764,246,14
233,304,13
355,167,10
1532,58,14
390,498,13
1764,160,13
166,268,15
1982,62,11
235,90,13
169,84,13
1992,337,13
65,328,10
642,176,13
2192,61,8
416,126,13
784,70,13
462,48,14
1220,52,12
437,42,9
1612,48,12
465,190,15
340,200,9
2025,93,9
1315,45,11
136,63,15
78,454,14
2510,76,13
1850,95,9
2070,159,14
570,89,15
429,968,12
251,254,12
252,191,13
1943,135,10
301,52,9
151,85,11
443,97,9
91,57,10
2682,51,15
1875,50,9
2063,94,15
226,41,15
48,276,11
95,62,15
1727,77,15
258,214,8
260,108,11
1039,140,9
2485,391,7
1956,132,11
1962,152,7
191,168,8
451,267,10
162,354,11
56,115,9
454,114,13
309,205,13
1549,133,12
272,409,13
1984,94,9
1785,263,13
394,151,13
204,113,13
19,145,7
127,95,13
171,65,11
24,258,12
74,710,11
1821,112,11
1259,45,7
76,62,11
2260,67,9
2765,19,10
1932,30,13
439,42,13
378,166,7
175,34,11
2033,175,13
1845,95,10
2077,182,13
1933,54,12
291,196,8
1395,78,13
2044,126,10
2048,500,9
1857,84,7
146,511,12
1697,106,10
382,103,10
148,70,12
2052,22,10
254,44,13
1947,34,10
153,13,13
46,34,8
2061,14,13
446,86,12
1951,55,10
1036,68,6
1733,136,11
410,146,8
1735,270,8
1893,186,9
262,132,11
265,181,9
1895,130,11
1966,37,6
1896,89,7
1897,57,10
1094,80,11
1973,104,6
1755,125,7
1759,55,10
1762,86,8
8,78,8
1556,60,7
274,87,7
195,158,6
168,370,8
1571,48,9
1989,33,10
1915,138,8
15,191,8
1918,71,6
1214,116,9
1605,64,7
125,41,11
2016,104,11
1609,90,10
1923,142,10
1924,108,7
1814,122,9
2021,39,9
172,50,8
23,365,6
131,356,8
1818,219,7
1623,58,9
25,161,9
1278,105,10
975,58,11
2509,43,10
2493,459,11
1839,36,9
211,218,6
560,147,11
2038,105,10
213,77,10
293,132,10
1680,77,10
347,175,9
214,131,6
2045,216,9
1939,335,11
1693,155,11
1863,331,8
41,62,8
221,79,6
1447,25,10
618,146,10
1720,398,9
49,46,10
1488,82,6
160,348,23
433,191,18
55,365,16
575,631,14
310,192,22
59,1325,24
1905,101,16
459,215,19
200,246,24
236,411,19
643,92,14
239,309,19
419,261,21
207,180,23
397,148,16
328,334,16
364,95,21
469,295,24
33,211,14
250,440,23
1706,48,17
182,276,22
219,260,20
222,111,16
2059,29,23
255,64,13
1453,60,24
386,278,24
227,124,25
1724,195,14
96,60,21
584,203,17
456,82,20
62,102,22
373,262,17
336,335,17
199,335,16
740,221,21
338,174,14
71,171,17
287,228,13
807,137,15
2069,90,17
2072,38,22
2285,94,17
603,299,22
2035,331,14
292,157,17
37,241,20
406,131,19
2083,85,19
180,387,21
217,146,18
181,123,16
1707,60,18
183,207,14
152,128,23
155,65,12
2522,41,17
432,884,20
47,287,16
97,88,17
257,241,18
1,109,15
189,97,17
230,203,21
101,139,11
1508,152,20
1739,81,11
263,155,20
1975,262,18
2388,196,13
269,182,19
1981,267,11
