产品SKU,产品浏览量,产品加入购物车次数
1891,280,11
1733,157,13
2916,87,8
1892,65,15
2119,159,11
1967,92,15
598,117,9
270,139,12
273,405,12
168,83,8
118,666,11
459,305,9
1986,117,10
1780,73,13
1992,186,14
2080,213,14
200,141,9
3165,265,10
71,131,11
1812,214,11
2814,708,11
239,476,12
419,138,15
1246,86,15
287,165,9
359,327,10
2025,51,9
134,124,14
397,252,10
3359,124,9
3520,536,12
1932,49,12
364,107,8
139,126,14
1846,329,14
3635,114,13
143,99,9
213,109,10
1857,82,10
1694,347,14
252,213,12
3415,36,10
186,57,14
156,55,9
546,663,11
657,73,14
1494,22,8
1,192,10
619,66,8
1737,102,11
1893,160,9
5,179,13
1508,99,8
266,114,12
2549,84,10
1748,124,9
1753,145,9
1973,141,11
3239,100,11
564,145,12
1904,649,10
271,45,9
1908,153,8
3545,100,12
1991,108,9
1148,62,12
1150,77,10
1788,50,10
65,330,10
2001,86,12
3477,66,10
1921,95,10
1599,55,8
1799,243,7
68,50,10
968,58,12
1218,300,11
1231,397,9
2818,915,11
3046,86,9
1286,134,9
1299,230,9
243,61,8
1842,41,9
3316,400,13
2903,412,11
3636,83,11
872,97,13
1852,88,9
347,136,13
86,647,12
2475,97,9
366,114,13
1858,203,11
472,765,8
429,1614,7
1430,227,9
1702,59,10
1868,120,11
3440,84,10
301,38,8
151,119,11
220,247,13
430,61,13
1444,59,12
3416,55,13
46,18,12
1876,21,13
409,76,12
501,862,12
226,100,13
305,50,12
1882,37,8
49,41,11
256,92,10
187,54,9
230,174,8
4,449,7
2745,97,8
1057,266,11
1964,329,6
452,356,8
1071,80,11
3511,87,11
1902,88,11
1549,68,8
115,260,11
61,124,11
3103,104,6
3163,145,8
2582,43,10
66,49,11
873,89,6
1187,102,6
3114,55,8
17,165,11
2503,59,7
2229,69,6
437,93,8
2018,75,9
1233,25,11
1814,114,7
1815,133,7
23,238,6
1240,92,8
74,589,10
1828,52,11
1625,26,6
807,79,8
1629,46,8
1279,38,9
2422,88,11
1298,64,7
3360,57,10
2071,76,7
2069,106,6
2763,38,9
210,113,10
2523,153,10
426,211,6
1847,86,11
295,95,8
2441,23,8
406,214,11
442,247,8
298,401,6
2083,57,11
788,74,9
1698,95,6
90,61,10
1704,49,11
408,125,11
254,39,11
223,42,8
44,39,6
255,33,10
92,16,11
304,30,8
445,1291,11
2063,166,6
1474,225,11
1497,591,18
259,174,25
231,201,18
102,52,20
607,147,19
109,78,23
355,208,20
192,243,18
3637,126,16
2011,378,24
2012,251,25
360,172,18
77,129,22
489,273,19
2072,80,22
3442,312,18
378,267,16
147,378,13
2324,985,14
407,280,20
250,669,19
152,251,21
3054,139,25
222,118,13
3433,142,21
573,202,23
95,55,18
448,236,12
189,111,23
3,102,12
450,134,12
2546,2118,12
263,270,22
357,404,13
1911,209,21
2512,96,16
2406,227,13
3450,301,12
421,154,22
341,323,17
2518,224,21
3260,201,17
299,86,18
443,165,21
3443,115,15
91,91,23
386,250,12
618,258,22
98,88,17
53,189,11
1897,104,15
56,124,18
2706,186,19
2084,186,19
194,417,19
235,199,16
1141,180,16
1912,136,15
199,210,20
3177,240,11
463,180,16
173,175,11
28,251,18
3582,92,11
2427,227,19
1321,111,18
2510,83,20
379,194,18
3137,315,12
1348,98,13
33,261,16
2036,552,20
1672,733,21
3224,211,15
2090,77,13
183,200,15
349,214,19
3050,107,12
93,165,18
736,652,21
306,131,17
1951,101,19
2,446,15
1044,188,14
1735,317,17
1963,175,15
3425,78,14
727,717,16
3638,123,11
166,242,13
1132,549,17
2958,254,18
335,324,19
2016,112,15
1805,146,13
171,124,14
22,242,12
172,82,10
464,266,13
25,142,10
2505,291,13
2284,276,11
2517,205,10
1662,114,18
293,133,14
2047,15,16
1940,121,12
652,446,19
41,105,19
218,153,15
3171,29,10
2877,73,17
303,31,18
224,81,18
369,84,12
227,131,16
1727,103,16
2884,273,17
353,95,17
1083,476,16
269,259,11
2389,159,15
1767,116,15
114,115,12
1982,70,15
458,215,10
272,291,15
278,102,15
1920,104,15
1201,200,11
124,174,12
2021,73,17
1821,40,9
2022,192,17
75,146,17
133,62,16
361,268,16
1284,168,9
803,130,11
3347,355,15
624,199,12
175,65,13
211,175,16
2077,196,10
3531,372,11
3041,301,15
560,38,15
292,108,10
37,243,14
88,125,10
858,135,13
180,683,12
3170,103,13
1945,210,16
653,46,12
3526,134,12
221,63,9
1947,35,10
3446,136,10
352,58,12
2522,44,9
225,289,12
158,114,14
446,99,12
831,322,11
96,56,14
188,77,11
257,333,35
387,269,41
539,264,40
324,300,39
358,430,38
645,161,41
425,188,40
2045,692,25
332,344,34
656,297,22
317,688,25
643,117,38
329,228,20
3179,437,37
467,137,34
3639,227,24
427,250,23
552,168,27
367,133,32
350,179,26
768,873,20
333,204,22
2537,116,22
101,265,27
412,285,27
319,189,22
514,305,30
119,395,35
557,291,32
2031,678,32
208,42,31
650,199,35
3264,380,20
3371,143,33
312,497,27
178,677,21
315,158,29
806,591,29
2764,555,24
454,170,25
456,254,29
2392,196,23
325,674,33
882,294,19
622,282,33
579,331,29
2915,174,21
340,349,23
602,478,30
468,166,29
245,523,26
343,144,30
142,171,30
346,309,19
1403,4465,26
524,1204,22
473,250,21
219,152,25
351,115,26
185,84,29
2086,58,28
526,1251,22
711,568,24
229,105,19
1501,339,19
3587,182,21
391,187,19
460,270,31
336,273,17
2914,227,24
3426,152,29
206,224,22
488,342,30
342,289,18
403,310,31
2861,405,27
3178,164,21
638,208,23
383,135,26
2095,149,21
444,64,21
553,92,20
631,102,30
370,136,29
308,145,21
162,387,25
389,155,20
268,131,29
610,261,24
323,177,16
3356,198,28
565,120,19
434,224,21
337,137,21
73,101,18
420,204,17
328,425,26
439,100,27
242,86,26
244,159,19
2990,249,28
140,99,27
177,193,24
1850,134,19
294,127,20
179,222,19
3441,128,25
2054,176,18
384,182,21
763,901,26
1721,248,19
595,79,20
191,91,20
262,209,27
2703,233,23
1530,543,16
1975,495,26
1905,144,22
2795,357,17
3107,86,19
1785,264,29
236,246,25
1798,857,18
339,190,27
376,134,23
549,395,18
422,104,27
399,171,24
400,207,26
2280,191,28
3445,325,17
470,182,16
428,299,20
3530,62,15
184,142,19
3047,201,24
3049,67,28
385,91,27
449,85,17
2776,328,26
55,210,20
633,154,19
453,94,22
318,315,22
634,187,14
356,479,21
309,211,14
2709,330,18
321,168,22
392,309,15
1913,174,27
621,319,14
394,372,23
395,147,27
599,154,26
623,203,18
207,150,20
1260,422,21
646,224,14
2272,267,20
209,322,27
3640,130,14
3048,183,19
2521,288,16
297,532,17
637,1027,14
1942,453,26
545,451,14
1476,141,22
597,740,45
492,515,74
3357,578,57
3053,667,49
3364,440,77
2087,226,56
823,457,51
512,281,40
2081,625,52
3453,184,41
2381,547,59
558,526,69
2989,358,40
534,289,68
3451,739,60
826,399,42
499,1489,61
120,480,69
418,422,66
494,371,57
3641,415,64
824,1097,37
632,124,58
513,280,43
2892,1658,49
38,638,70
3448,250,67
563,136,43
827,300,54
697,645,44
530,371,62
613,422,68
3176,1445,50
582,223,66
924,351,43
832,271,43
836,479,54
2294,535,60
551,376,54
3268,130,38
537,226,38
640,320,59
3244,427,40
3487,764,34
810,234,57
620,254,50
267,477,42
3382,255,54
197,670,39
833,571,43
69,590,61
566,390,54
773,364,48
571,132,57
3452,410,39
780,461,43
644,478,50
784,434,43
532,601,48
738,604,54
569,678,32
520,1002,44
805,553,61
616,132,61
3182,239,55
617,174,39
510,217,49
503,275,38
334,386,36
554,234,50
327,310,53
540,365,44
533,359,56
3263,316,58
816,299,47
589,193,41
253,223,36
538,278,55
491,259,31
758,316,29
417,256,38
647,351,30
581,944,53
1862,6338,54
525,230,50
627,225,35
331,295,50
3267,225,51
604,514,48
2525,250,52
457,165,44
521,198,33
2192,285,53
839,294,51
127,652,42
375,238,55
568,177,29
3436,285,38
344,237,29
542,213,51
182,292,47
793,1227,44
2098,292,32
600,206,31
588,195,29
541,343,46
496,347,39
3363,177,39
3439,449,33
316,180,47
594,134,27
605,327,28
3042,393,50
2154,634,36
59,1274,32
802,685,50
322,624,49
2206,1940,46
567,456,29
362,165,47
636,509,39
330,192,51
2527,217,31
401,248,27
3642,243,42
3052,456,28
3366,144,50
535,310,50
405,906,41
519,231,41
590,216,45
502,182,26
574,494,25
575,724,38
373,530,35
528,337,46
1803,521,38
3252,277,37
1441,182,45
3180,294,28
3365,369,27
544,297,31
847,588,25
307,222,26
606,549,30
1766,221,46
3117,276,46
774,873,32
3262,518,37
