产品SKU,产品浏览量,产品加入购物车次数
258,190,13
5,183,11
1508,171,11
1753,134,9
1973,66,9
1532,90,12
634,185,14
1764,174,9
1767,118,9
114,52,14
115,222,11
1981,210,14
1775,407,12
434,177,9
621,128,15
2512,89,10
15,185,13
1208,395,13
2016,140,11
170,67,11
129,81,9
23,416,10
131,377,14
842,118,14
1839,53,14
30,76,8
210,82,13
470,157,12
291,400,10
1693,200,10
570,88,9
2919,91,9
1430,182,12
1704,34,12
300,166,8
42,164,15
221,49,10
91,95,11
1947,42,12
2058,44,13
1447,20,12
47,328,12
256,39,12
1886,81,13
50,40,10
1,139,9
232,114,9
451,325,8
263,200,8
1742,102,8
271,38,10
235,118,13
11,77,11
1145,187,9
336,91,11
1598,100,9
204,65,9
1801,157,11
124,208,11
462,92,11
130,429,11
1926,469,8
1820,64,12
2023,125,7
25,189,9
2025,130,12
1278,107,13
1286,291,7
1295,51,11
1641,106,10
2028,67,7
1833,92,7
288,135,8
2763,38,10
1344,143,11
1665,106,10
144,399,11
1678,89,8
1680,77,9
347,246,8
249,298,10
146,863,9
1939,734,11
147,361,13
813,245,9
1420,61,7
473,205,9
217,184,8
2920,20,10
408,84,9
2682,48,10
1727,101,13
187,19,10
619,68,7
1733,160,8
1957,50,6
265,214,9
1966,49,11
1070,98,10
162,167,10
1896,97,7
163,68,10
1522,86,6
1760,406,8
1902,91,7
1978,84,11
1557,284,6
1142,120,9
461,246,7
1166,21,10
416,79,6
281,51,6
1201,81,8
2220,101,10
19,81,9
1220,61,11
1923,196,6
2612,257,6
1818,357,10
2418,66,11
1251,227,9
29,143,10
1321,127,7
2729,19,7
243,157,9
1842,81,11
140,60,7
211,106,8
32,86,11
1847,137,7
2298,217,7
2074,188,11
1852,131,8
35,117,11
2044,143,11
1403,135,6
1857,121,10
1410,60,8
1859,78,6
1416,15,9
216,56,11
1696,48,7
252,180,8
1706,54,7
1439,50,8
2055,123,7
154,36,8
1875,48,10
1449,49,7
1450,69,8
1885,128,10
2066,99,10
229,75,15
1734,460,14
53,164,17
262,220,18
264,88,18
413,278,21
1905,198,20
1552,385,14
166,521,15
61,222,19
459,260,24
577,234,21
392,257,13
324,286,20
200,183,24
68,139,20
205,1386,21
463,220,16
71,151,20
172,104,20
2257,342,19
808,165,20
399,297,18
2510,95,22
2069,135,13
425,163,16
33,313,18
345,279,23
404,719,22
214,227,18
1942,380,23
2478,365,23
39,54,19
183,172,21
430,115,25
155,85,19
156,69,24
618,134,24
305,62,22
257,261,15
353,206,14
1961,191,16
596,298,19
266,95,20
56,198,12
389,82,17
1975,206,12
269,174,21
2389,96,13
458,242,15
73,145,21
77,267,20
422,190,17
2081,151,22
208,101,17
439,79,18
364,132,15
496,341,12
82,132,12
626,204,13
1850,145,13
2330,146,22
443,109,22
431,154,23
368,62,17
2520,64,20
304,37,18
1721,220,20
370,80,12
2538,119,18
231,195,15
102,84,19
103,165,13
2776,323,21
453,154,17
924,107,18
2393,182,17
275,1139,17
1785,137,14
1593,209,20
394,189,15
1814,146,19
635,890,19
557,135,21
1299,98,16
28,212,21
244,169,20
2517,141,21
441,89,21
2033,148,18
2038,140,15
1686,193,12
1943,146,14
1873,80,18
152,120,15
1946,167,12
2057,41,14
2059,59,11
386,160,17
159,190,18
226,59,11
228,188,13
98,255,19
2884,224,18
814,147,10
230,116,16
4,540,16
101,270,19
1894,110,17
233,415,16
454,168,15
2921,75,12
1982,83,16
167,127,19
2176,169,19
169,122,10
414,833,12
1150,116,13
13,240,10
642,212,14
121,110,17
127,107,11
171,141,14
1813,135,15
240,159,14
287,289,13
466,210,16
843,252,14
80,187,12
212,327,12
1845,154,11
366,348,14
1940,194,18
1702,105,11
181,137,11
90,75,16
218,101,10
1945,168,13
254,56,17
48,283,11
1725,542,19
97,115,10
2,456,9
1005,249,12
190,73,16
1021,95,13
108,129,17
608,223,15
112,206,14
2566,212,12
272,516,13
195,260,17
168,289,15
1986,7,14
1155,76,9
1799,125,16
2606,72,9
840,64,10
75,235,15
2423,173,17
2427,98,15
1932,65,11
379,170,10
175,56,10
143,86,14
2293,102,17
1379,51,11
2070,168,14
213,117,17
292,120,10
2045,265,16
2048,850,11
215,497,12
297,512,14
1868,138,10
40,113,12
151,87,12
383,122,17
223,70,16
46,40,14
1876,31,14
446,96,13
1720,551,13
307,311,31
2703,300,28
640,242,24
390,665,22
310,358,25
456,176,32
1805,203,33
2022,271,21
580,381,38
376,205,26
568,336,40
467,190,25
440,312,24
2035,759,23
653,108,23
591,1754,32
656,366,41
189,97,25
191,267,22
415,645,20
529,343,20
645,163,36
647,335,21
588,241,33
1650,262,27
636,496,20
541,375,39
471,439,24
2036,647,34
250,632,33
590,178,37
2054,229,26
1453,80,37
583,320,34
1951,107,26
1057,124,20
610,287,35
484,233,20
391,435,37
335,868,20
578,341,33
599,152,36
360,104,28
362,202,31
2434,794,36
469,473,32
581,964,31
182,267,32
629,208,23
409,270,26
450,322,30
412,358,22
192,203,27
356,293,25
320,198,24
309,267,28
1911,245,21
1996,182,26
199,643,22
1160,99,25
1917,809,34
358,425,23
374,338,23
395,329,27
22,225,29
465,314,25
311,313,28
378,205,31
650,386,19
428,394,20
37,296,20
179,361,34
652,621,18
367,126,18
184,72,29
227,200,28
259,295,18
734,2060,27
1900,477,29
194,530,19
64,188,19
398,269,18
954,203,26
624,329,33
468,122,29
294,258,26
298,731,25
1864,258,27
301,76,32
2095,167,26
444,79,29
185,146,24
2511,47,24
303,41,24
562,798,25
369,241,29
1497,576,21
598,401,18
59,1556,30
273,255,28
2398,425,26
1992,488,25
1920,255,26
17,172,24
1610,201,20
1827,184,22
421,184,17
774,1171,25
2089,135,20
2518,228,28
424,97,28
343,207,23
248,312,26
352,81,16
2075,327,28
448,211,23
410,283,26
449,112,20
267,213,22
318,251,22
