产品SKU,产品浏览量,产品加入购物车次数
619,54,12
4,232,10
101,175,11
1057,179,8
1896,69,9
3466,84,11
372,143,11
2708,198,11
2795,277,8
459,189,12
1994,44,14
3388,64,9
2512,47,13
2406,144,15
3390,88,10
3150,68,9
1802,63,8
463,107,8
2818,501,14
1814,98,11
1240,142,11
132,60,13
1246,75,11
465,233,11
376,125,8
774,76,14
81,29,10
364,65,9
3833,211,9
2523,110,14
470,100,11
3041,274,9
2038,172,8
346,245,14
294,100,11
3832,86,10
37,256,11
2673,44,8
1697,50,11
2332,52,10
299,166,9
3440,96,14
301,68,12
151,66,8
332,103,10
3049,74,8
253,99,12
223,35,13
3818,67,10
158,47,11
1721,157,9
306,74,15
1888,181,13
260,113,13
5,141,13
102,64,8
1739,340,7
3259,102,13
605,185,7
1966,60,10
107,92,12
1975,283,13
2706,116,13
112,177,8
8,103,11
2393,55,13
1132,422,12
1775,403,13
275,573,7
3356,130,8
2182,61,9
392,256,7
281,39,11
2012,150,12
337,67,13
3834,291,9
206,334,9
3708,262,12
1626,58,9
1629,79,9
3527,580,9
843,91,13
3562,72,12
175,85,7
3253,474,11
2036,283,10
2519,114,8
2044,104,12
366,96,8
472,567,8
297,502,10
250,403,11
429,1238,7
252,199,8
149,86,10
2051,81,13
1706,66,8
3171,31,13
42,152,13
837,31,9
222,131,8
2059,38,8
385,41,7
303,21,11
225,250,9
93,154,10
1476,187,9
1724,117,11
657,52,11
97,64,13
1496,89,9
2884,164,8
2926,116,7
1497,536,6
258,178,9
1,80,10
1501,84,11
1044,101,6
1736,151,9
353,145,9
2745,76,11
2703,230,11
1511,86,6
1969,43,8
3511,114,9
3537,87,6
1110,156,11
598,121,7
1540,46,9
3239,90,6
3835,82,7
1547,67,7
270,81,9
1127,207,11
115,242,6
2167,290,8
273,376,7
169,71,10
118,514,11
565,96,7
1788,52,11
12,53,10
2193,73,8
358,314,7
1795,27,7
68,116,11
1805,155,7
22,151,8
172,85,7
23,258,8
1816,68,10
207,138,9
2023,150,8
75,85,11
1827,96,6
1258,33,11
807,95,9
76,71,8
3516,239,8
808,1765,6
3360,124,11
3519,128,9
2272,354,8
921,133,9
2729,71,7
2278,90,10
137,36,6
2510,25,8
242,36,8
2069,71,7
2072,48,6
2989,41,11
139,179,10
2521,174,6
211,242,9
3584,198,10
2286,99,6
426,116,9
291,233,10
33,178,6
144,357,9
88,108,11
442,231,9
1704,54,8
3328,127,10
2090,102,7
183,194,11
443,141,6
1442,14,9
2479,22,9
1874,33,8
1947,36,10
153,25,8
3434,15,7
3261,23,9
1876,39,7
49,29,7
2764,194,19
334,325,25
1530,301,13
391,227,15
373,383,25
235,132,25
395,151,20
3151,172,14
69,167,21
1222,557,13
418,293,13
2025,154,23
557,160,14
956,64,21
3179,330,18
439,52,21
289,151,19
1348,95,14
246,359,25
2035,325,23
403,403,25
2070,179,15
2048,255,18
349,143,22
431,171,25
444,56,22
95,74,21
188,77,20
2,265,21
1891,201,16
448,160,15
2704,206,19
3782,123,19
268,87,23
2084,187,14
1770,37,21
3426,79,12
1803,379,13
1804,302,21
3117,201,20
1260,393,20
360,99,22
421,153,18
3836,210,23
3252,283,18
560,173,12
1376,700,19
2045,538,17
1403,1150,18
1868,166,15
1945,229,17
383,134,22
221,50,23
91,63,14
185,132,15
546,677,17
736,629,16
831,256,21
190,95,11
1894,123,11
192,172,16
634,161,18
514,225,13
2001,128,18
200,247,21
621,585,15
838,128,16
2206,1292,20
2011,404,18
691,335,16
3053,461,17
417,203,19
397,138,19
3249,305,14
3349,145,13
467,75,18
1660,347,17
2518,124,21
1846,344,18
3437,245,19
214,195,14
910,187,21
147,247,11
181,91,12
220,142,12
3262,392,17
430,85,14
2056,66,16
3816,31,20
573,169,11
257,364,11
53,146,11
640,192,14
1522,59,18
1092,282,14
1543,1200,13
309,104,10
335,361,14
1141,67,18
539,262,10
1920,206,19
968,63,18
171,60,14
419,141,19
2026,58,12
2422,86,10
2982,171,19
1306,269,11
422,124,12
3487,311,16
2427,256,18
3824,103,17
140,162,10
312,451,17
1672,975,11
428,291,11
1858,296,17
382,174,19
218,150,10
3837,48,11
367,99,11
653,79,12
152,75,12
2054,120,17
384,91,11
3526,107,19
3047,139,14
156,32,18
545,427,16
526,825,16
446,77,13
563,119,17
187,47,13
229,36,16
259,280,10
191,191,10
262,151,15
55,180,16
452,183,12
1748,83,13
56,145,13
318,191,17
1984,72,9
1992,135,11
199,260,14
325,287,12
764,240,11
1800,67,16
239,425,17
73,83,12
2022,184,9
399,122,16
328,338,10
208,18,9
1842,24,14
378,252,11
343,108,12
143,145,13
603,235,11
2298,226,12
1939,526,13
756,93,15
1942,346,13
180,293,10
3265,52,14
182,169,15
44,28,9
186,25,14
409,129,14
386,240,9
656,156,9
96,39,11
620,357,27
355,162,25
695,204,26
460,244,38
532,427,30
540,322,32
533,218,33
2527,88,26
401,233,38
427,247,22
542,204,41
3365,284,33
543,150,26
544,267,39
768,452,24
491,133,27
564,238,35
2392,431,28
802,426,29
