产品SKU,产品浏览量,产品加入购物车次数
98,77,14
229,41,10
450,105,9
2703,92,10
2704,126,8
607,123,9
512,106,13
1530,262,8
1770,54,9
114,98,15
115,171,10
61,92,12
169,51,10
118,381,10
276,97,12
565,48,15
2714,86,10
17,198,8
3297,615,12
124,137,12
129,61,12
1814,93,15
1240,107,13
207,119,13
2022,106,14
25,139,10
2025,71,13
488,209,10
467,94,13
208,44,11
439,56,12
242,54,13
364,45,14
2072,32,8
468,131,15
138,322,9
2521,148,9
2517,87,11
289,73,15
343,114,13
290,102,9
291,304,11
1934,74,12
2035,323,15
1376,307,9
179,207,14
407,171,12
824,333,12
180,331,8
1868,192,15
218,283,11
3990,54,12
183,150,15
220,170,11
44,23,15
2060,39,8
2520,47,15
545,223,12
256,59,10
188,73,14
583,62,13
1057,273,12
233,121,11
633,220,9
453,73,10
1896,86,11
2135,74,9
412,111,13
192,139,13
2154,307,8
1904,446,13
2708,114,9
2167,181,7
1132,149,7
321,157,9
3163,160,10
459,258,13
3292,74,12
3444,86,9
325,385,8
2011,329,8
493,273,7
68,79,7
69,140,7
1218,103,11
463,161,9
1804,242,12
1812,121,7
464,144,11
2023,63,12
75,68,9
1930,307,9
422,125,8
3928,77,10
28,116,9
400,76,8
136,249,9
3349,87,11
311,148,13
140,75,9
83,115,13
33,126,7
3041,270,9
144,590,10
249,242,10
297,340,7
250,342,8
1940,64,13
2673,49,12
252,105,13
3328,75,8
41,56,13
3171,37,10
301,37,10
1945,180,13
253,74,8
368,28,9
1712,28,8
3261,12,11
1719,64,11
736,548,9
502,108,7
563,66,8
2066,64,11
1497,290,11
2,458,10
2537,55,8
2538,66,11
1005,91,6
230,99,7
452,225,11
1969,45,9
3910,42,9
3984,58,9
1751,53,7
2922,74,8
3466,157,9
389,101,7
3199,100,6
1759,62,8
2389,177,10
3285,15,6
1767,70,9
728,26,6
357,260,11
199,163,9
2001,238,9
3899,25,10
415,228,6
2516,96,7
1189,53,8
358,302,8
203,102,11
2490,36,11
1202,48,8
1208,38,9
1220,59,10
437,75,8
1231,259,10
2019,262,8
22,101,6
2915,56,10
580,111,7
1255,95,7
2505,84,10
1299,62,7
3483,34,6
3957,76,9
2425,45,7
81,31,10
209,56,6
3989,60,8
139,69,6
175,87,8
3678,288,10
1360,37,11
2519,89,9
1672,532,6
34,311,6
294,95,8
86,86,9
2475,86,8
1856,56,7
1702,72,7
3877,68,7
42,83,7
152,85,8
408,81,9
91,38,9
222,113,10
1874,32,7
2058,39,6
153,33,6
3438,26,6
1720,233,7
305,29,10
831,227,10
306,41,6
97,36,6
259,299,25
190,88,20
3511,318,25
634,187,25
235,112,18
336,393,13
395,133,13
3364,244,24
338,101,19
3967,317,14
645,88,18
359,261,23
360,124,19
2638,407,24
3264,461,23
1942,420,25
148,94,24
3875,280,25
3262,240,15
3446,173,23
352,29,22
303,41,16
745,1321,22
307,123,17
191,106,17
451,257,18
1549,60,13
1905,88,22
1992,107,22
3356,163,22
200,157,13
2206,920,12
337,49,16
3298,246,20
1802,98,23
599,189,18
239,306,17
929,343,20
3046,140,12
329,84,13
636,338,18
624,113,16
3521,161,16
3993,104,16
3445,169,14
3531,782,17
3962,63,19
403,176,23
858,112,13
3265,77,12
542,222,16
350,106,19
430,82,13
3526,81,18
184,87,22
2056,78,17
768,367,18
711,447,15
1476,195,19
257,188,17
308,93,17
162,278,21
193,77,20
2709,224,18
373,391,19
434,171,12
1996,152,11
236,301,19
2085,92,17
339,177,18
340,247,19
523,72,12
558,194,13
1326,336,13
244,101,17
379,149,12
3987,192,14
1348,95,11
3437,196,14
3440,81,15
182,150,21
367,101,12
3443,141,20
629,165,19
224,38,12
573,111,12
2884,131,16
189,70,17
449,86,14
262,122,19
317,298,10
878,122,18
2131,81,16
1748,96,16
454,152,17
268,154,10
610,173,17
3835,151,15
322,544,12
323,174,17
392,335,17
644,311,14
3151,92,19
376,187,17
470,69,14
471,259,10
178,546,15
214,236,18
473,175,14
2051,90,18
653,62,11
3049,97,18
49,54,18
1501,570,12
53,108,15
1975,333,14
2393,107,10
63,77,10
1785,85,10
539,191,10
13,124,10
1588,90,9
171,68,9
172,71,16
73,112,17
77,192,15
421,99,13
330,129,15
243,53,10
1842,21,15
174,117,17
3994,211,12
246,101,15
3260,402,10
248,202,10
472,512,11
147,211,13
429,701,16
1706,41,17
443,108,12
383,120,15
3530,74,11
3047,141,11
3050,119,16
3947,298,16
225,215,12
481,826,17
546,592,11
187,65,12
267,267,34
2525,172,27
832,300,24
486,260,26
3053,363,22
1269,246,42
496,417,26
2045,488,31
2876,333,23
3182,191,30
543,106,25
3972,137,27
333,103,35
640,131,24
576,238,23
538,192,39
758,212,21
126,112,28
568,242,32
142,261,40
3441,120,40
617,152,30
3448,141,23
387,139,39
356,459,35
1543,1069,23
2098,168,37
491,178,21
782,354,34
420,236,36
567,201,23
738,349,27
3263,507,37
650,129,22
3048,238,27
245,480,20
823,252,21
581,424,37
351,126,33
3054,143,36
571,139,25
1891,562,19
604,463,20
597,486,19
2381,414,25
827,343,32
3107,322,32
1181,1054,32
417,244,32
600,212,28
516,307,32
835,245,20
649,178,34
401,165,28
2087,355,33
344,253,31
569,251,35
729,272,19
637,620,34
331,222,36
2749,862,26
575,591,32
477,191,34
456,94,18
3915,184,33
1803,409,33
3708,233,25
587,219,23
3906,178,35
2434,180,20
3269,129,31
743,319,22
3178,293,23
90,126,19
384,141,18
482,135,19
510,211,33
631,79,27
1743,353,31
59,360,30
2953,476,18
700,141,23
1805,126,30
532,541,19
588,134,30
328,183,30
378,146,28
3439,331,32
143,161,21
524,1521,22
2444,649,28
804,889,32
382,195,24
1441,221,33
2054,183,32
526,608,25
446,109,31
574,222,16
4,166,17
620,286,16
2747,182,25
3447,140,31
372,94,27
273,358,25
324,183,25
120,136,20
206,206,22
3117,404,21
646,146,23
362,170,17
602,400,23
3824,357,20
427,133,19
2039,453,17
