产品SKU,产品浏览量,产品加入购物车次数
257,145,13
1955,60,12
189,58,9
190,60,12
4,257,12
101,167,10
1508,58,12
233,236,10
1967,77,8
3239,179,11
2958,181,14
3163,120,12
1780,41,13
2001,252,8
325,416,11
68,122,15
463,85,9
171,78,11
419,75,10
23,219,15
556,75,8
75,72,14
3450,91,14
3046,161,15
421,127,12
3519,135,13
3743,236,11
3349,155,13
208,35,13
439,40,13
2434,294,9
2517,64,12
1348,79,9
3865,46,8
1846,266,10
2523,127,14
343,81,11
143,108,12
33,176,8
2035,578,14
1852,57,15
214,141,8
442,140,8
3159,111,8
1868,118,10
181,106,8
3328,112,8
2052,52,15
183,115,15
443,67,13
3443,170,15
221,71,8
254,62,15
1876,32,9
545,200,9
562,990,11
93,88,8
158,59,13
1721,101,9
1886,89,14
1492,47,11
2884,220,11
258,133,11
259,302,11
53,112,9
3083,216,9
452,151,9
605,155,8
109,55,7
412,239,10
734,69,7
454,155,13
1098,214,9
2154,446,7
2084,168,10
3827,179,10
2708,189,7
166,213,7
62,63,12
3356,143,13
565,42,12
2801,88,9
3390,50,7
1208,552,10
1231,183,7
623,114,11
2021,88,8
132,42,12
3708,162,12
2023,200,9
1623,58,13
399,166,8
2425,97,10
624,110,7
843,62,7
2069,41,10
175,61,10
210,109,7
2033,98,7
470,84,11
426,105,9
246,123,8
560,80,11
37,182,13
180,482,12
252,234,12
2051,67,13
1706,34,8
2876,81,7
3877,102,12
220,125,11
1946,75,7
430,51,10
431,160,10
3415,48,8
44,25,13
156,35,7
3818,79,12
1472,102,10
1474,187,8
831,193,11
95,45,7
50,34,13
1952,224,10
1733,779,9
3255,144,8
1057,212,11
1894,90,7
2462,276,11
2775,318,9
2703,120,9
2549,28,9
107,74,8
3035,511,11
1973,82,11
268,88,7
1904,547,9
1127,252,7
115,222,6
1557,152,9
2167,412,11
2795,180,8
392,254,7
1788,26,9
2512,88,8
1202,81,11
2012,212,9
337,67,9
72,61,11
22,126,10
1240,114,8
359,278,7
2025,48,10
1629,51,8
2272,181,11
3527,525,8
139,124,9
211,172,11
83,83,7
2077,159,11
3437,152,11
3252,166,10
291,228,8
2298,178,10
1378,55,6
872,185,8
346,245,7
313,37,6
2478,130,7
2673,39,11
3774,68,6
1698,57,7
149,113,8
2050,61,6
2090,121,11
1945,148,8
151,57,11
2059,24,9
2060,28,11
255,24,7
1447,14,11
227,79,11
49,33,10
2066,109,6
370,236,19
263,213,20
317,610,22
1530,222,20
634,252,21
2389,124,20
193,151,20
276,208,21
200,196,17
236,252,24
873,116,20
528,207,23
17,167,15
599,129,18
206,329,22
418,183,19
3117,369,22
532,360,15
496,398,16
312,395,24
403,261,23
296,80,14
2048,248,24
179,192,20
1943,204,15
351,98,14
3268,134,22
617,117,14
155,25,17
2520,33,16
409,81,23
304,36,19
3817,85,22
657,76,17
1497,389,12
1891,280,14
307,148,20
2119,100,17
1092,245,14
355,244,15
192,136,15
1975,431,17
2706,107,17
1768,164,21
460,342,18
198,58,22
1992,141,18
434,146,15
2192,146,20
3444,75,22
764,318,16
327,163,23
647,255,12
557,113,13
567,280,16
540,271,19
541,287,22
2521,119,23
3269,230,13
1850,154,20
428,290,14
405,669,23
429,865,13
3265,84,22
3900,132,17
301,52,12
152,129,13
350,88,14
383,137,15
2095,119,21
444,56,23
253,98,14
446,66,14
2,298,17
450,93,20
2704,159,16
633,157,16
112,149,11
3447,101,16
1905,91,16
391,203,16
321,109,21
459,177,12
323,155,15
358,302,18
3150,126,15
1255,140,13
3359,286,16
28,152,18
311,221,20
2527,69,19
209,114,14
3888,120,14
140,96,20
3901,105,18
345,237,16
581,475,18
473,162,13
653,100,11
349,122,15
3446,149,14
480,671,18
763,407,15
546,649,11
2537,173,14
308,117,16
232,76,11
607,137,19
3511,180,12
56,138,16
356,454,14
372,79,15
271,47,17
2796,610,15
61,106,13
1141,116,13
197,321,15
2182,73,10
199,274,11
1785,61,17
1913,210,13
621,385,19
1920,113,11
493,349,15
1804,325,15
1805,267,18
172,67,15
464,124,17
397,157,11
3562,83,16
2510,33,14
379,242,15
34,194,19
2045,602,10
1403,294,17
250,279,12
1942,445,15
3530,83,16
3261,19,15
303,26,14
224,30,16
3816,42,10
618,148,10
656,283,10
736,540,14
1476,165,14
2764,235,17
1083,208,17
318,171,11
3702,81,12
1908,124,12
118,451,14
2011,308,10
395,88,10
239,271,10
646,158,15
77,220,15
3516,214,14
3249,176,14
3487,421,11
2427,347,17
1839,33,10
2072,64,10
3442,271,14
3048,224,11
471,227,17
294,110,12
472,475,11
756,239,13
3875,141,9
42,162,12
219,97,11
3526,65,10
91,71,12
225,306,17
386,170,16
187,24,14
780,392,27
267,316,25
324,242,31
3053,390,23
1803,532,34
645,153,22
580,322,31
340,154,30
836,281,32
558,225,36
3263,359,38
3439,373,31
519,125,25
3054,167,22
655,144,41
536,110,22
629,133,26
482,158,41
632,76,34
2374,373,22
3646,327,35
538,236,25
1543,901,35
373,350,37
644,282,25
839,189,38
649,299,37
636,223,28
2087,359,31
571,98,35
806,284,26
502,179,20
594,93,20
229,59,27
597,477,26
794,427,23
309,178,34
838,265,21
69,301,21
3371,75,22
2733,535,24
2302,567,37
518,353,30
524,1065,23
824,600,28
218,181,33
1441,240,34
331,228,20
3448,79,31
481,678,27
768,309,19
333,140,21
575,471,26
2525,199,31
491,222,25
59,421,35
2892,1016,30
833,568,20
643,79,26
2914,464,21
417,177,25
376,222,33
650,138,33
3445,414,28
535,289,30
182,159,26
3433,125,20
537,261,27
801,540,25
711,470,28
745,1224,21
620,349,20
606,134,31
456,133,22
457,130,21
488,333,22
467,89,18
244,100,32
3837,122,22
3267,139,30
3902,161,18
184,71,22
385,44,18
847,567,25
387,228,28
640,154,23
610,146,16
2098,146,26
1007,242,16
1802,143,25
1260,426,30
523,157,21
3833,163,25
177,135,18
427,135,21
2070,227,21
38,566,25
382,157,25
352,39,19
573,228,26
563,135,31
595,54,30
512,105,16
453,131,20
319,128,22
477,221,29
1766,174,20
802,362,16
322,674,17
832,177,21
2206,1908,16
1922,222,29
622,179,23
73,114,24
530,202,15
420,141,27
808,528,26
588,124,22
362,120,23
401,173,29
3635,118,24
178,313,21
1376,536,16
213,238,23
407,187,22
90,75,25
3441,77,21
185,90,25
2522,38,18
316,104,18
553,79,18
514,280,27
2709,233,22
2076,100,16
336,221,17
539,168,27
119,203,17
3244,356,26
579,217,16
339,115,23
173,239,25
360,163,22
549,251,21
328,320,22
342,268,17
378,212,22
425,153,15
3903,176,27
3896,260,22
652,285,15
542,233,21
367,63,25
616,142,19
222,104,23
256,51,27
188,86,14
2749,1118,76
829,265,56
772,387,78
3184,416,42
3531,1513,70
1025,1209,73
1743,324,58
835,238,74
3639,484,73
3789,295,56
744,425,70
686,548,47
513,218,63
754,379,52
705,304,57
3834,667,38
760,237,41
2294,469,66
762,428,51
2528,319,71
757,462,47
