产品SKU,订单产品数量,订单产品收入
1,1,47
1734,0,0
230,3,88
53,1,24
232,5,141
162,1,39
1083,2,108
1971,30,522
192,0,0
1764,66,1560
2157,10,255
564,16,520
1905,16,471
195,3,67
2080,3,94
392,24,723
200,0,0
1920,1,44
1196,7,216
1218,17,650
1609,25,765
419,0,0
74,0,0
75,0,0
2719,0,0
2025,1,36
2423,7,299
399,1,46
1833,48,1568
843,2,85
242,8,179
211,1,43
1933,2,79
2293,3,76
1665,22,722
1851,40,987
292,16,657
406,4,79
180,1,24
1868,2,61
148,2,54
301,2,55
152,3,51
91,6,169
1874,1,27
155,7,40
3353,1,8
3261,2,10
95,0,0
1496,10,289
2538,11,154
189,1,44
353,0,0
354,3,86
1894,14,342
266,0,0
55,0,0
633,21,378
1070,2,115
1902,1,46
1126,5,140
168,21,569
235,18,322
1141,17,441
2892,25,598
1593,2,88
887,1,28
3177,25,623
68,9,274
127,1,50
1811,3,61
1614,4,110
2825,0,0
2612,0,0
1278,3,120
1319,13,219
1838,0,0
81,5,134
1932,0,0
30,2,52
3363,3,40
426,1,25
2473,1,41
345,3,105
214,3,73
247,2,74
146,2,80
250,2,75
2478,0,0
40,3,47
1706,4,43
42,0,0
153,3,17
2059,3,26
1712,2,19
2511,0,0
1447,0,0
1449,1,9
1885,0,0
1044,7,158
1503,25,565
745,3,122
231,3,87
1893,2,97
2775,0,0
3259,0,0
2549,55,1554
106,10,299
2748,18,974
1760,1,48
112,4,94
8,4,158
1904,0,0
1906,38,992
1129,0,0
2168,27,924
1132,3,49
1908,5,112
274,22,388
62,43,1091
3163,0,0
13,27,544
1579,10,356
2512,20,715
1596,5,124
2599,10,260
2012,3,144
1805,14,515
2818,1,26
172,2,58
131,3,96
1240,21,338
134,0,0
1633,8,202
2257,1,37
2028,17,591
422,0,0
624,1,35
3157,0,0
2071,0,0
137,1,32
2763,3,65
210,0,0
470,0,0
3001,5,217
2038,40,851
2074,18,417
213,2,81
86,16,400
295,32,560
313,10,223
1420,13,235
570,28,1141
1698,13,256
1702,0,0
1433,0,0
2679,1,17
1944,0,0
383,0,0
3047,0,0
1947,5,105
2057,5,56
45,3,19
1450,1,12
96,0,0
229,0,0
1951,0,0
433,0,0
449,2,85
319,3,87
