产品SKU,订单产品数量,订单产品收入
1955,16,421
230,1,28
232,0,0
55,3,63
1895,0,0
1966,18,688
106,17,479
108,2,98
163,34,777
165,0,0
371,0,0
1902,1,25
1904,0,0
1906,16,627
1565,19,755
1568,5,83
1985,10,224
1911,14,403
1996,7,200
13,39,968
2068,1,37
1182,24,733
279,6,246
19,10,281
1609,25,1122
21,0,0
22,0,0
23,1,46
1926,3,87
1821,2,82
2026,19,679
1299,12,290
398,3,75
288,2,98
2069,0,0
1355,0,0
32,6,144
2070,1,35
293,5,148
37,0,0
1418,0,0
1862,5,245
1947,3,63
302,2,23
158,1,36
305,0,0
2065,1,21
256,0,0
96,0,0
1888,16,399
1951,0,0
1501,2,97
189,1,32
261,1,43
1961,0,0
267,61,1121
1751,12,283
388,7,159
57,21,839
455,17,454
1900,5,129
1978,8,384
10,18,330
1775,3,100
1986,16,764
1145,0,0
1152,1,35
1585,15,636
204,17,494
2015,10,343
71,0,0
437,7,347
75,3,86
1623,10,294
287,0,0
1641,14,487
422,3,56
1312,4,122
2071,3,91
2072,2,46
1933,1,29
1664,0,0
1665,11,384
2073,0,0
2036,0,0
1672,0,0
2074,23,859
1852,51,1394
247,10,255
2044,1,30
248,9,280
2048,1,30
215,1,40
146,2,66
442,0,0
1694,1,59
42,1,47
1873,0,0
368,3,91
43,1,7
154,0,0
2059,4,44
223,4,36
1875,1,7
46,0,0
1876,1,13
1877,1,36
2062,1,39
369,1,21
2075,0,0
228,1,22
50,0,0
98,0,0
1503,22,675
433,1,33
449,0,0
1510,0,0
1969,17,232
56,11,293
1753,2,125
1759,14,389
1118,0,0
1767,1,27
1556,0,0
194,0,0
2076,19,615
62,33,1402
1984,48,1315
168,27,706
196,6,188
11,5,138
1991,10,257
1913,17,462
1788,6,255
278,45,1682
280,0,0
2008,16,437
1208,0,0
122,37,1567
127,3,136
1233,5,99
1239,1,37
2023,40,918
2025,1,49
1929,20,478
1839,3,57
1845,0,0
2077,1,40
143,1,25
1379,12,350
86,11,255
1395,21,318
2043,6,175
2045,10,213
1857,56,1108
1937,9,313
249,2,91
406,0,0
1420,7,279
570,16,321
1861,8,330
1698,16,387
1702,1,33
149,1,13
1870,0,0
1706,4,59
150,1,21
254,5,124
92,2,25
1449,3,22
159,2,66
2063,0,0
2064,0,0
95,1,17
257,7,158
160,3,82
4,0,0
1739,32,1165
103,1,51
162,4,127
269,16,309
2078,1,30
12,11,352
15,3,61
2012,6,309
463,0,0
1246,1,30
2022,0,0
1827,0,0
421,2,82
342,0,0
295,35,911
1945,6,156
185,3,68
44,5,26
303,6,32
47,1,20
231,1,46
102,1,31
1057,64,2543
450,0,0
59,0,0
114,35,882
166,4,138
235,43,648
169,0,0
459,3,74
643,1,38
374,1,48
1799,27,1006
124,2,99
69,13,378
1610,11,327
466,20,468
27,3,76
399,2,57
174,12,316
209,3,92
211,4,144
2033,17,390
33,1,31
347,17,663
145,21,607
1403,1,30
1939,1,24
180,0,0
1943,3,41
301,3,98
219,4,116
152,1,43
350,0,0
91,5,179
2060,0,0
255,2,13
432,4,173
226,2,54
187,0,0
2079,1,38
229,0,0
53,1,41
1893,0,0
1963,8,222
454,0,0
641,4,114
1761,22,809
1762,15,645
112,1,25
1981,6,201
1982,1,58
273,2,86
61,5,95
63,11,192
118,2,53
2080,0,0
1187,19,539
1920,1,46
17,19,542
436,0,0
1220,35,923
25,4,94
808,1,37
377,0,0
2081,8,181
81,2,98
139,4,144
2032,3,120
246,0,0
603,10,198
2038,24,1008
213,5,124
298,2,52
1697,6,222
299,0,0
90,0,0
151,2,57
93,0,0
48,1,22
630,2,72
2,1,37
1891,0,0
619,14,476
1958,9,199
745,0,0
190,1,35
5,3,91
1508,53,1131
452,0,0
1070,5,126
1973,13,445
1764,29,475
272,0,0
1992,1,52
392,20,665
199,2,97
393,4,60
1915,6,147
2082,1,30
282,19,469
72,27,695
1812,7,200
239,0,0
1814,0,0
74,1,43
328,1,44
400,0,0
843,2,51
137,0,0
242,0,0
243,1,46
140,2,73
212,1,49
289,10,245
1846,0,0
1850,19,392
1686,48,1103
2083,5,123
41,2,47
430,5,141
155,3,15
45,7,50
446,0,0
227,0,0
657,3,41
97,0,0
390,1,42
2084,2,67
275,1,29
323,7,136
375,1,28
807,11,174
360,0,0
397,2,74
614,3,97
651,50,1217
407,1,46
313,20,421
332,3,63
253,3,132
386,1,54
526,0,0
316,5,67
354,1,33
527,4,187
640,1,33
575,0,0
611,21,739
456,0,0
236,24,559
2085,8,154
623,5,96
73,2,62
1257,3,60
311,1,53
425,1,52
177,1,30
344,5,103
560,0,0
220,5,89
2086,12,49
618,0,0
632,2,29
584,1,30
596,3,116
334,4,83
457,6,191
720,3,110
1790,13,393
645,1,45
1614,5,166
423,3,85
424,4,72
178,4,116
346,3,109
352,10,52
156,12,68
304,15,115
319,0,0
832,0,0
461,4,85
740,2,75
364,8,185
379,4,165
470,1,29
290,1,25
345,2,82
250,8,154
183,1,36
443,14,272
191,2,67
639,2,78
317,4,149
318,1,42
477,2,98
193,2,68
64,4,134
621,25,619
201,2,51
358,3,88
1211,1,36
418,0,0
173,5,123
612,2,69
647,3,80
401,1,43
2087,3,101
2088,1,45
428,1,27
637,5,63
181,3,41
222,3,81
593,0,0
370,5,204
447,0,0
101,3,125
262,0,0
309,1,39
564,15,701
271,1,32
336,10,160
67,3,67
205,1,48
1805,13,352
420,0,0
28,4,91
