产品SKU,订单产品数量,订单产品收入
2698,11,215
257,1,36
1951,1,29
2776,3,78
3259,5,90
1895,2,97
8,0,0
113,0,0
2499,0,0
274,14,501
169,0,0
392,12,353
199,4,188
1916,6,164
1596,0,0
1920,3,117
1600,14,449
2012,6,320
1218,34,594
463,3,84
2016,5,186
1610,18,604
1923,3,60
1811,0,0
239,2,94
1814,0,0
73,5,144
74,5,133
2915,4,96
2022,5,172
25,6,104
1932,3,83
208,2,76
243,0,0
365,1,26
1334,1,28
3134,2,91
2517,1,42
2293,2,42
35,11,408
37,0,0
313,8,238
1697,17,406
299,0,0
3170,2,68
3047,4,88
2682,0,0
154,3,17
223,6,44
302,1,9
1475,0,0
49,0,0
228,0,0
960,28,1278
258,4,164
1955,20,555
1737,11,350
1961,1,55
989,1,28
2703,1,40
233,1,26
108,1,28
1969,17,198
1083,0,0
2135,9,166
56,10,432
58,18,247
1094,3,98
319,5,131
1532,17,526
1533,1,41
611,9,314
269,2,73
59,0,0
1905,13,346
1556,1,58
1129,1,28
458,0,0
1132,0,0
235,19,682
15,1,41
990,0,0
2220,2,60
69,9,175
1812,1,45
1234,0,0
171,0,0
22,1,29
954,0,0
3179,3,47
137,3,68
81,2,59
2072,3,64
426,1,29
290,0,0
3260,0,0
34,1,31
1851,23,842
292,27,504
345,2,110
295,32,910
1402,0,0
366,27,404
1694,1,61
1701,0,0
525,9,125
2054,11,173
2059,5,57
446,0,0
256,0,0
50,0,0
97,0,0
2926,9,294
745,0,0
1735,0,0
1505,2,62
1892,19,700
1893,1,32
102,1,47
3172,26,1116
2145,0,0
2157,14,395
271,1,43
115,0,0
272,0,0
1141,17,665
642,43,1266
2006,24,538
898,0,0
2010,0,0
849,1,43
71,0,0
2023,23,1154
1623,11,295
1629,8,244
3046,0,0
1833,50,948
78,0,0
2729,0,0
140,0,0
210,1,39
2077,1,31
1849,14,684
144,0,0
2074,12,284
2044,1,25
1863,1,23
180,0,0
1698,18,375
1700,1,15
1702,0,0
1867,0,0
41,0,0
2051,5,56
218,1,38
1706,4,83
443,5,132
430,3,97
221,2,45
254,1,38
2057,9,73
1875,5,41
3261,2,11
159,1,24
2065,1,13
2067,0,0
2084,1,37
434,1,49
1580,17,524
325,5,108
394,46,1448
374,2,93
1800,14,358
740,14,234
557,24,543
28,0,0
1315,12,492
242,9,211
2287,5,176
177,3,66
2038,50,854
214,0,0
147,31,1056
220,3,98
3262,3,109
156,10,45
1476,0,0
259,3,210
1891,2,67
448,0,0
353,2,77
453,0,0
318,1,42
598,14,396
310,116,3050
564,20,738
2795,3,96
61,4,107
336,7,290
1155,17,267
236,43,1230
578,33,866
2606,16,327
419,1,30
23,4,86
1926,3,91
397,0,0
2423,26,581
362,3,106
921,0,0
175,0,0
469,1,31
2035,3,114
2048,4,201
249,0,0
2478,3,100
181,2,65
1945,3,136
351,4,119
408,1,53
3054,5,138
2060,6,39
303,11,49
225,0,0
526,0,0
546,0,0
226,1,17
47,0,0
48,2,67
96,2,35
188,2,38
370,8,209
229,0,0
260,0,0
189,1,32
1734,0,0
230,3,73
231,1,27
4,1,37
1057,63,1614
1894,22,729
640,0,0
389,1,28
454,1,29
1762,14,448
456,1,44
1775,3,124
195,3,50
2512,19,403
17,20,376
124,1,31
421,0,0
3263,3,70
2510,5,104
364,5,107
468,2,97
2518,1,30
3264,0,0
2523,0,0
143,0,0
406,2,67
297,3,107
570,14,335
3265,1,22
2090,9,133
183,4,172
152,6,186
3049,3,137
2520,1,7
1963,5,138
266,0,0
633,19,338
1748,1,32
1753,3,100
1975,27,1250
112,0,0
1902,1,44
1764,33,1302
1766,3,126
2709,3,157
168,14,451
459,4,106
1150,10,507
1913,27,599
65,0,0
2193,3,106
1919,10,447
1202,1,35
337,1,34
968,9,130
765,0,0
77,1,33
139,1,25
868,1,35
252,8,163
473,2,85
3171,1,20
2345,6,36
1721,0,0
306,1,24
410,7,157
262,1,29
55,2,53
162,3,90
412,1,42
634,3,129
356,4,102
111,13,448
7,8,295
118,0,0
2080,3,81
1799,35,891
395,1,30
131,2,93
361,6,154
1299,1,25
288,1,36
1652,0,0
624,0,0
2069,5,99
211,0,0
441,0,0
3041,0,0
1665,26,944
2307,1,52
293,1,27
347,9,166
247,19,653
146,2,82
442,1,57
1868,2,44
301,1,18
151,1,26
91,3,81
2522,1,5
979,1,42
1720,1,34
305,0,0
227,0,0
657,1,23
187,1,14
307,1,47
584,4,84
191,1,24
