产品SKU,订单产品数量,订单产品收入
257,1,47
1955,19,484
189,1,31
190,0,0
4,1,33
101,1,26
1508,0,0
233,4,129
1967,0,0
3239,1,26
2958,1,38
3163,1,26
1780,3,73
2001,17,476
325,2,45
68,3,119
463,2,66
171,0,0
419,0,0
23,4,96
556,15,559
75,1,37
3450,13,355
3046,0,0
421,1,41
3519,1,29
3743,4,103
3349,13,398
208,1,30
439,2,80
2434,7,221
2517,0,0
1348,0,0
3865,1,35
1846,0,0
2523,2,57
343,1,54
143,2,51
33,1,30
2035,3,55
1852,29,598
214,4,97
442,1,33
3159,7,176
1868,1,37
181,1,19
3328,1,23
2052,0,0
183,0,0
443,1,26
3443,5,144
221,1,20
254,0,0
1876,6,50
545,1,41
562,0,0
93,0,0
158,0,0
1721,0,0
1886,0,0
1492,7,163
2884,0,0
258,0,0
259,4,212
53,3,89
3083,0,0
452,1,36
605,26,865
109,1,37
412,0,0
734,0,0
454,0,0
1098,0,0
2154,1,37
2084,0,0
3827,11,302
2708,7,165
166,0,0
62,24,447
3356,40,633
565,5,103
2801,2,86
3390,1,27
1208,0,0
1231,1,30
623,0,0
2021,0,0
132,3,49
3708,16,644
2023,11,280
1623,11,293
399,1,41
2425,1,37
624,0,0
843,5,127
2069,1,35
175,0,0
210,1,39
2033,17,496
470,1,48
426,1,25
246,1,35
560,1,40
37,1,25
180,0,0
252,11,213
2051,0,0
1706,0,0
2876,20,250
3877,1,24
220,1,27
1946,1,31
430,3,64
431,1,22
3415,3,22
44,4,20
156,4,18
3818,0,0
1472,1,33
1474,0,0
831,0,0
95,0,0
50,1,22
1952,1,29
1733,0,0
3255,0,0
1057,53,845
1894,19,405
2462,1,42
2775,0,0
2703,1,29
2549,31,742
107,1,42
3035,2,93
1973,4,144
268,0,0
1904,0,0
1127,2,50
115,1,54
1557,1,35
2167,1,32
2795,1,38
392,17,466
1788,6,257
2512,11,458
1202,0,0
2012,5,130
337,0,0
72,7,180
22,0,0
1240,12,273
359,3,63
2025,0,0
1629,12,322
2272,1,48
3527,0,0
139,3,79
211,1,49
83,15,229
2077,0,0
3437,1,35
3252,3,127
291,0,0
2298,9,268
1378,3,132
872,2,78
346,8,202
313,4,135
2478,0,0
2673,23,638
3774,17,426
1698,5,126
149,0,0
2050,3,72
2090,1,33
1945,1,46
151,0,0
2059,1,9
2060,1,8
255,4,23
1447,3,27
227,0,0
49,0,0
2066,4,81
370,17,442
263,1,36
317,6,230
1530,1,45
634,5,112
2389,1,29
193,1,22
276,1,42
200,2,93
236,17,600
873,1,36
528,1,39
17,11,364
599,2,89
206,25,1137
418,1,40
3117,0,0
532,0,0
496,0,0
312,3,82
403,4,84
296,12,218
2048,1,31
179,1,35
1943,1,27
351,2,54
3268,9,170
617,0,0
155,5,35
2520,7,35
409,1,9
304,4,34
3817,1,27
657,1,25
1497,5,125
1891,5,138
307,1,46
2119,5,114
1092,4,138
355,1,40
192,0,0
1975,12,417
2706,9,146
1768,6,185
460,1,50
198,10,274
1992,0,0
434,1,34
2192,8,422
3444,6,216
764,41,1144
327,0,0
647,1,34
557,4,158
567,3,61
540,3,65
541,0,0
2521,2,59
3269,7,177
1850,6,248
428,2,41
405,2,60
429,1,47
3265,0,0
3900,1,15
301,1,30
152,7,147
350,1,35
383,7,134
2095,1,35
444,3,104
253,5,170
446,1,29
2,0,0
450,0,0
2704,5,153
633,22,551
112,0,0
3447,0,0
1905,10,224
391,2,74
321,1,41
459,0,0
323,1,38
358,1,41
3150,20,479
1255,1,35
3359,15,547
28,1,37
311,1,52
2527,7,72
209,1,39
3888,1,32
140,0,0
3901,1,25
345,0,0
581,4,111
473,1,26
653,0,0
349,3,70
3446,0,0
480,1,36
763,2,109
546,0,0
2537,7,142
308,1,26
232,1,55
607,1,42
3511,18,403
56,14,389
356,1,31
372,1,33
271,0,0
2796,5,140
61,1,43
1141,3,89
197,6,186
2182,12,438
199,3,116
1785,0,0
1913,18,550
621,12,450
1920,1,42
493,29,1041
1804,3,52
1805,33,815
172,1,36
464,0,0
397,0,0
3562,1,33
2510,2,47
379,1,31
34,0,0
2045,0,0
1403,1,29
250,1,39
1942,18,455
3530,4,84
3261,3,17
303,5,22
224,0,0
3816,0,0
618,0,0
656,0,0
736,1,35
1476,1,27
2764,0,0
1083,0,0
318,2,68
3702,7,180
1908,0,0
118,3,67
2011,3,145
395,1,27
239,0,0
646,0,0
77,0,0
3516,1,32
3249,13,359
3487,0,0
2427,0,0
1839,6,206
2072,0,0
3442,5,88
3048,0,0
471,1,27
294,1,36
472,2,83
756,11,592
3875,15,135
42,1,31
219,4,113
3526,4,131
91,3,50
225,1,51
386,0,0
187,0,0
780,4,160
267,32,705
324,5,85
3053,50,929
1803,1,25
645,1,46
580,5,133
340,1,43
836,9,241
558,0,0
3263,1,20
3439,7,160
519,1,43
3054,7,130
655,4,87
536,3,100
629,6,117
482,5,76
632,2,35
2374,5,134
3646,1,31
538,1,47
1543,1,53
373,5,163
644,1,27
839,2,70
649,4,102
636,2,60
2087,3,61
571,3,87
806,1,56
502,2,79
594,3,48
229,0,0
597,3,86
794,1,38
309,2,85
838,2,71
69,16,471
3371,8,223
2733,5,93
2302,5,105
518,4,83
524,4,100
824,1,20
218,1,34
1441,3,35
331,11,198
3448,2,87
481,0,0
768,0,0
333,3,93
575,0,0
2525,2,65
491,1,43
59,1,38
2892,11,399
833,4,77
643,0,0
2914,11,208
417,0,0
376,1,35
650,6,189
3445,0,0
535,3,87
182,1,45
3433,3,83
537,1,48
801,2,71
711,2,90
745,0,0
620,3,73
606,5,79
456,0,0
457,1,37
488,1,52
467,13,180
244,1,43
3837,0,0
3267,4,83
3902,7,131
184,9,155
385,9,49
847,0,0
387,0,0
640,1,24
610,3,80
2098,6,146
1007,3,106
1802,36,765
1260,3,90
523,5,101
3833,1,48
177,0,0
427,3,93
2070,1,42
38,54,1194
382,1,19
352,5,16
573,6,101
563,3,48
595,1,18
512,1,31
453,1,31
319,5,129
477,0,0
1766,1,32
802,1,35
322,5,123
832,3,58
2206,0,0
1922,3,87
622,2,69
73,4,145
530,3,143
420,0,0
808,1,28
588,3,93
362,0,0
401,1,26
3635,3,76
178,3,72
1376,2,85
213,13,320
407,0,0
90,0,0
3441,3,43
185,5,69
2522,7,43
316,0,0
553,1,21
514,0,0
2709,7,119
2076,21,497
336,8,138
539,0,0
119,23,607
3244,7,100
579,1,31
339,1,41
173,2,78
360,1,47
549,0,0
328,4,136
342,1,38
378,0,0
425,10,374
3903,0,0
3896,1,37
652,0,0
542,4,97
367,6,162
616,9,217
222,7,160
256,1,27
188,2,38
2749,61,2747
829,1,34
772,7,226
3184,2,74
3531,7,258
1025,6,153
1743,3,155
835,5,113
3639,0,0
3789,7,247
744,8,236
686,5,158
513,11,260
754,6,94
705,6,125
3834,5,228
760,11,308
2294,14,375
762,6,242
2528,4,70
757,8,226
486,4,128
830,7,117
692,6,179
787,9,149
702,15,223
627,21,373
679,12,224
770,0,0
741,5,125
506,2,50
1710,14,256
498,9,384
543,19,248
673,0,0
784,66,1968
752,2,96
798,4,84
1314,0,0
365,0,0
812,5,136
730,14,254
500,15,240
826,9,229
3785,12,89
548,3,127
1004,5,111
782,6,209
3640,1,33
659,9,358
490,8,144
637,2,47
804,3,76
2381,3,80
3904,0,0
661,7,143
800,22,376
3266,13,205
3,8,264
3839,19,363
3436,3,111
552,12,241
805,5,100
3714,2,78
706,2,67
3786,1,39
492,5,92
3023,3,89
3859,0,0
2096,1,46
3836,3,86
3366,1,29
769,0,0
604,5,152
701,0,0
3180,4,101
3051,6,119
494,5,98
551,1,78
823,3,48
3178,1,20
590,1,13
753,3,57
554,5,119
521,1,46
613,4,98
614,5,130
289,10,270
497,5,162
822,7,320
723,13,209
729,5,158
561,11,154
668,9,201
2747,1,48
827,3,57
522,2,76
