产品SKU,订单产品数量,订单产品收入
1891,3,82
1733,0,0
2916,0,0
1892,31,951
2119,3,66
1967,0,0
598,7,288
270,3,69
273,1,39
168,10,244
118,0,0
459,2,89
1986,32,1145
1780,12,394
1992,1,39
2080,0,0
200,1,47
3165,19,306
71,1,26
1812,1,46
2814,1,31
239,0,0
419,1,27
1246,0,0
287,1,20
359,2,65
2025,1,34
134,1,45
397,0,0
3359,31,1112
3520,2,56
1932,1,32
364,2,96
139,1,39
1846,0,0
3635,0,0
143,0,0
213,5,140
1857,56,1628
1694,1,39
252,16,333
3415,3,19
186,4,30
156,1,9
546,0,0
657,1,27
1494,5,209
1,0,0
619,16,596
1737,4,193
1893,0,0
5,3,76
1508,0,0
266,0,0
2549,20,730
1748,0,0
1753,0,0
1973,18,450
3239,1,34
564,15,443
1904,1,33
271,1,33
1908,4,101
3545,5,104
1991,16,473
1148,0,0
1150,5,195
1788,7,140
65,1,37
2001,22,738
3477,10,189
1921,1,38
1599,0,0
1799,27,1029
68,16,356
968,3,66
1218,32,1016
1231,3,86
2818,0,0
3046,0,0
1286,4,144
1299,8,241
243,1,48
1842,2,39
3316,1,41
2903,0,0
3636,0,0
872,2,107
1852,22,830
347,17,454
86,7,358
2475,0,0
366,18,522
1858,0,0
472,1,33
429,1,30
1430,0,0
1702,0,0
1868,1,24
3440,1,15
301,0,0
151,5,104
220,1,38
430,3,55
1444,2,16
3416,0,0
46,1,8
1876,2,28
409,2,15
501,2,87
226,3,43
305,1,18
1882,0,0
49,0,0
256,1,26
187,0,0
230,1,33
4,1,33
2745,2,85
1057,61,1129
1964,1,44
452,2,60
1071,3,42
3511,5,123
1902,1,43
1549,13,222
115,0,0
61,0,0
3103,0,0
3163,1,36
2582,19,375
66,6,159
873,1,30
1187,15,520
3114,4,98
17,18,640
2503,4,195
2229,3,81
437,7,387
2018,23,418
1233,8,174
1814,1,43
1815,0,0
23,0,0
1240,14,315
74,0,0
1828,10,432
1625,5,225
807,19,478
1629,3,100
1279,6,217
2422,3,56
1298,5,72
3360,15,646
2071,2,92
2069,1,34
2763,0,0
210,0,0
2523,0,0
426,5,142
1847,17,739
295,27,1092
2441,13,216
406,0,0
442,1,51
298,0,0
2083,10,398
788,3,86
1698,8,248
90,0,0
1704,2,41
408,1,36
254,0,0
223,1,10
44,3,10
255,0,0
92,0,0
304,1,13
445,0,0
2063,0,0
1474,1,30
1497,1,37
259,4,170
231,2,78
102,1,36
607,0,0
109,3,77
355,2,135
192,2,68
3637,0,0
2011,3,70
2012,6,336
360,1,45
77,0,0
489,9,164
2072,3,46
3442,0,0
378,0,0
147,16,299
2324,4,77
407,1,24
250,1,42
152,2,95
3054,5,119
222,1,31
3433,1,44
573,4,96
95,1,19
448,0,0
