产品SKU,订单产品数量,订单产品收入
960,20,815
263,1,29
3259,3,61
266,0,0
2704,9,307
3646,1,48
3199,3,93
319,1,33
1552,1,42
115,0,0
61,1,29
322,5,124
357,1,35
1920,1,29
203,30,706
1201,0,0
2012,9,162
1602,3,73
493,36,659
68,4,185
172,2,48
556,17,707
1828,13,319
77,0,0
3519,5,135
329,1,43
624,0,0
2069,0,0
2506,3,54
2521,0,0
2286,0,0
3962,0,0
3636,3,48
3041,0,0
1672,1,36
294,0,0
428,1,16
2048,1,38
756,7,267
299,1,27
2090,1,26
3050,0,0
1449,1,10
3693,6,34
156,4,28
224,2,25
618,0,0
546,0,0
446,2,38
226,1,24
49,0,0
370,9,190
2,0,0
1955,26,659
2916,0,0
2703,3,85
452,1,26
1741,1,32
605,16,385
3435,0,0
108,0,0
56,25,525
1098,3,78
611,10,333
3835,1,39
8,1,35
372,0,0
1768,7,183
1551,3,57
193,0,0
2708,11,211
3786,1,54
2167,1,43
2393,37,1078
272,1,26
273,0,0
1132,1,25
323,0,0
3356,35,1448
3106,2,67
1788,4,183
2403,17,490
239,0,0
419,1,36
465,0,0
557,12,379
3359,27,1330
488,0,0
2638,3,71
1839,3,98
439,3,50
650,1,36
289,15,406
470,0,0
603,8,302
2036,1,42
345,2,56
659,1,33
1686,25,714
180,0,0
181,0,0
3265,2,58
2052,0,0
1944,0,0
42,0,0
301,1,27
408,3,163
384,1,43
222,3,78
2511,0,0
303,3,23
409,9,30
2063,1,23
305,0,0
98,0,0
257,0,0
1497,2,78
258,0,0
2537,7,123
230,1,32
1055,0,0
450,0,0
1967,1,37
163,9,315
1969,9,154
3910,16,543
598,9,310
1549,6,269
3696,8,190
168,11,369
335,8,416
1992,1,44
2182,16,654
3514,2,60
2516,12,481
1182,21,874
2490,0,0
3165,0,0
122,21,476
1802,38,697
437,7,174
3117,1,49
22,1,26
2234,1,33
207,0,0
3708,9,437
1820,8,269
25,1,28
327,0,0
2025,1,37
2425,1,45
2427,0,0
3521,0,0
208,4,118
2510,1,26
209,0,0
2731,0,0
2517,0,0
3496,5,169
1663,10,294
2035,11,231
2070,0,0
214,3,49
1403,0,0
3896,3,103
570,23,567
1697,12,297
148,0,0
3171,1,19
151,1,23
443,2,60
221,7,137
3047,0,0
2057,3,58
223,5,41
3692,1,7
3946,2,75
2884,1,54
1891,7,200
574,0,0
308,0,0
1739,20,645
668,1,40
355,1,38
634,5,97
477,3,78
321,0,0
459,1,40
197,0,0
120,24,684
2406,4,92
3390,4,81
3244,14,211
623,0,0
464,3,71
3802,3,132
3349,25,649
242,3,82
143,1,32
183,5,123
367,4,78
152,1,27
3441,2,63
526,1,33
763,1,54
847,0,0
736,2,87
256,0,0
101,1,28
451,9,159
512,3,117
1530,1,56
2953,7,173
118,4,123
3357,1,44
1913,29,1012
119,16,716
3444,5,130
1803,2,90
125,1,30
2818,1,27
173,1,45
549,0,0
399,1,26
342,1,27
174,16,475
139,4,139
3048,0,0
177,3,59
1382,0,0
1939,0,0
2324,2,98
407,0,0
3440,1,21
351,2,56
2054,7,148
444,0,0
629,7,165
3261,2,19
545,0,0
502,3,48
307,1,26
190,0,0
1057,41,1432
453,0,0
454,3,72
1902,1,42
391,0,0
358,2,54
3053,26,633
3299,4,142
418,0,0
375,4,89
376,1,35
362,1,45
1306,5,172
28,0,0
1932,0,0
364,3,50
2434,9,138
83,12,410
346,4,128
472,1,28
3328,0,0
220,1,35
2095,0,0
3433,3,126
44,2,17
386,0,0
229,3,68
3455,1,36
1501,3,71
189,1,47
353,1,41
449,1,47
192,0,0
1973,11,274
2084,0,0
564,18,486
1785,1,39
1208,0,0
69,16,600
1804,1,33
137,3,84
2523,1,33
343,0,0
290,0,0
3260,0,0
471,0,0
3159,3,125
1868,0,0
90,0,0
2051,3,46
3530,7,256
185,3,44
155,3,10
255,2,11
801,0,0
1474,1,26
95,3,53
187,2,40
259,1,65
448,0,0
53,3,67
191,3,62
1066,1,35
607,0,0
640,0,0
1748,1,49
162,1,42
3466,24,729
412,1,34
2154,1,33
309,0,0
1557,0,0
166,0,0
235,14,202
3163,1,47
392,33,936
13,16,454
2206,1,52
2085,0,0
764,39,1338
17,15,348
337,1,43
395,2,52
73,1,32
1240,7,177
422,0,0
328,0,0
81,2,97
3888,1,38
211,1,45
3445,0,0
3678,0,0
2298,10,271
403,0,0
213,2,66
179,0,0
297,0,0
250,1,27
252,1,43
349,4,92
3526,2,73
91,1,36
2059,2,21
225,0,0
158,1,37
1721,1,23
1743,1,53
3447,1,26
2392,3,117
200,4,141
2192,19,654
1805,22,537
3166,0,0
340,1,52
587,2,88
2527,10,129
3269,5,135
2302,3,65
1376,2,92
2685,0,0
711,1,52
387,5,113
2764,2,78
456,3,58
832,2,70
539,0,0
643,3,90
882,0,0
360,1,35
533,2,97
496,0,0
822,11,177
248,15,357
3837,2,30
3262,6,156
3947,1,25
806,0,0
575,2,86
548,0,0
567,0,0
588,1,48
3562,7,278
467,11,247
378,5,195
535,4,119
3875,10,179
1441,2,52
653,3,85
616,4,173
430,6,249
594,1,25
324,1,41
236,32,523
3839,8,209
3834,5,91
579,7,121
600,1,49
645,2,103
580,1,25
614,1,46
523,3,85
330,1,25
468,2,71
1348,0,0
519,5,143
1943,1,23
542,8,204
182,7,106
352,12,88
573,3,57
597,5,165
2381,3,75
514,0,0
276,1,25
336,8,204
3107,8,199
838,2,83
463,0,0
2837,1,26
245,5,95
427,1,25
2039,3,93
405,4,132
429,4,191
218,4,67
184,7,169
768,2,114
316,0,0
333,1,28
553,0,0
317,12,405
610,1,31
59,1,40
460,5,215
839,3,82
599,3,95
359,0,0
421,1,28
809,9,223
636,1,31
