产品SKU,订单产品数量,订单产品收入
960,35,1022
98,0,0
1503,29,1004
1893,1,26
5,0,0
2703,1,48
1895,1,54
1079,8,265
1766,3,79
1904,2,93
459,2,87
393,1,21
1201,1,33
2714,17,167
740,7,292
71,1,37
2021,0,0
23,1,37
286,1,55
1625,9,263
3046,1,29
557,22,731
2260,58,1700
2423,14,305
288,1,49
378,1,31
1346,1,33
2517,0,0
2077,1,43
1849,34,773
1672,3,66
1379,5,186
2074,25,603
292,27,751
1939,1,21
298,5,76
2919,3,55
40,0,0
41,1,24
218,0,0
183,0,0
1946,2,76
46,1,8
302,1,14
1727,0,0
583,6,170
258,1,43
317,5,248
266,0,0
452,1,34
1966,47,733
1742,3,65
1070,0,0
1748,0,0
163,18,567
1522,2,70
1527,16,332
2921,4,138
1129,0,0
117,18,558
62,53,1344
1775,1,62
1985,6,153
1780,9,385
1987,4,95
1996,25,328
392,17,510
13,24,563
1915,6,128
1800,8,220
2220,1,43
950,1,58
2016,4,155
127,6,297
437,23,472
72,31,1036
2019,0,0
1924,15,717
131,1,28
1240,18,586
2023,30,1015
25,0,0
79,11,391
30,2,55
175,1,39
143,0,0
291,1,30
1847,16,710
293,1,44
214,1,28
1686,51,1252
1859,9,379
1419,6,272
1940,21,675
1420,8,307
652,3,42
1947,1,23
2057,4,38
154,0,0
1446,3,21
1449,9,43
156,4,15
158,2,73
1474,1,28
48,0,0
1885,0,0
1490,0,0
229,0,0
2537,29,980
1733,0,0
1005,33,1122
1958,8,211
745,0,0
107,0,0
1095,7,195
1902,1,26
8,0,0
1978,5,168
1767,1,32
1768,7,219
1770,50,1056
271,0,0
1126,6,242
1979,6,198
2168,28,997
10,5,125
273,1,31
1774,2,71
2582,12,238
1582,2,87
1187,21,486
1198,1,35
462,0,0
24,0,0
1245,6,178
1248,41,587
1821,1,34
287,0,0
466,21,474
2025,0,0
975,0,0
2278,13,398
138,1,38
210,2,93
1846,0,0
32,10,188
2293,9,193
1377,37,704
144,0,0
2306,15,327
1852,43,1695
35,5,124
404,5,85
2044,0,0
778,0,0
88,4,119
216,6,187
1426,3,68
1863,0,0
1697,18,434
1943,0,0
